From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Uganda,Tanzania,2030,1,1000,500,40,2
Ethiopia,Somaliland,2031,1,250,220,40,2
Ethiopia,SouthSudan,2032,1,150,150,40,2
Uganda,Drc_E,2033,1,150,150,40,2
Kenya,Tanzania,2036,5,200,150,40,3
Kenya,Uganda,2036,5,200,175,40,3
Uganda,SouthSudan,2036,5,200,175,40,3
Sudan,SouthSudan,2036,5,200,175,40,3
Egypt,Sudan,2036,5,200,175,40,3
Ethiopia,Sudan,2036,5,200,175,40,3
Ethiopia,Mogadishu,2036,5,200,175,40,3
Egypt,Libya,2036,5,200,175,40,3
Ethiopia,Kenya,2036,5,200,175,40,3
Rwanda,Tanzania,2036,5,200,175,40,3
Rwanda,Drc_E,2036,5,200,175,40,3
Burundi,Drc_E,2036,5,200,175,40,3
Burundi,Rwanda,2036,5,200,175,40,3
