gen,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
BESS2025_8h_Alb,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2025_8h_N_Mac,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2025_8h_Kos,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2025_8h_Ser,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2025_8h_Mon,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2030_8h_BiH,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2030_8h_Alb,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2030_8h_N_Mac,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2030_8h_Kos,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
BESS2030_8h_Ser,1.00,0.90,0.80,0.75,0.70,0.64,0.59,0.54,0.53,0.52,0.51,0.50,0.49,0.48,0.47,0.46,0.44,0.43,0.42,0.41,0.40,0.39,0.38,0.37,0.36,0.35,0.34,0.33
