gen,zone,tech,fuel,StYr,RetrYr,Capacity,UnitSize,Status,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost,Life
TPP_Tuzla3,BiH,ST,Coal,1966,2023,90,,1,,,,90,,13.94,0.7,0.7,0,,0,19200,6,0,
TPP_Tuzla4,BiH,ST,Coal,1971,2022,180,,1,,,,180,,11.76,0.7,0.7,0,,0,34800,5.3,0,
TPP_Tuzla5,BiH,ST,Coal,1974,2025,180,,1,,,,180,,11.47,0.7,0.7,0,,0,32400,5.3,0,
TPP_Tuzla6,BiH,ST,Coal,1978,2051,200,,1,,,,200,,10.24,0.7,0.7,0,,0,34800,3.7,0,
TPP_Kakanj5,BiH,ST,Coal,1969,2022,100,,1,,,,100,,12.32,0.7,0.7,0,,0,48000,3.8,0,
TPP_Kakanj6,BiH,ST,Coal,1977,2051,100,,1,,,,100,,12.42,0.7,0.7,0,,0,42000,3.7,0,
TPP_Kakanj7,BiH,ST,Coal,1988,2051,208,,1,,,,208,,12.04,0.7,0.7,0,,0,48000,3.8,0,
TPP_Gacko,BiH,ST,Coal,1983,2035,276,,1,,,,276,,10.9,0.7,0.7,0,,0,48000,4.5,0,
TPP_Ugljevik,BiH,ST,Coal,1985,2035,279,,1,,,,279,,10.9,0.7,0.7,0,,0,48000,5,0,
TPP_Stanari,BiH,ST,Coal,2015,2060,275,,1,,,,275,,9.2,0.7,0.7,0,,0,38000,4,0,
Coal_SubNew_BiH,BiH,ST,Coal,2026,2051,5000,,3,,,,2000,,8.75,1,1,0,,1.7,45000,3,0,40
Coal_SuperNew_BiH,BiH,ST,Coal,2026,2051,5000,,3,,,,2000,,7.94,1,1,0,,2,60000,3,0,40
Coal_UltraNew_BiH,BiH,ST,Coal,2028,2061,5000,,3,,,,2000,,7.58,1,1,0,,2.2,65000,3,0,40
CoalCCS_New_BiH,BiH,ST,Coal,2045,2080,10000,,3,,,,4000,,9.48,1,1,0,,5.08,100000,43.8,0,40
TPP_Tuzla3_100Biomass,BiH,BiomassPlant,Biomass,2028,2061,76,,3,,,,76,,9.48,1,1,0,,1.32,38000,4,0,40
TPP_Tuzla4_10Biomass,BiH,ST,Coal,2022,2051,180,,1,,,,180,,12.35,1,1,0,,0,34800,5.3,0,
TPP_Kakanj5_10Biomass,BiH,ST,Coal,2022,2051,100,,1,,,,100,,12.98,1,1,0,,0,48000,3.8,0,
TPP_Kakanj5_100Biomass,BiH,BiomassPlant,Biomass,2031,2060,70,,3,,,,70,,10.19,1,1,0,,0.43,48000,3.8,0,40
Biomass_New_BiH,BiH,BiomassPlant,Biomass,2026,2060,304,,3,,,,10000,,9.75,1,1,0,,2.4,77500,3.5,0,40
BECCS_New_BiH,BiH,BiomassPlant,Coal,2045,2080,10000,,3,,,,10000,,11.37,1,1,0,,5.4,135000,30,0,40
CCGT_New_BiH,BiH,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,25000,3.5,0,40
OCGT_New_BiH,BiH,OCGT,Gas,2026,2060,10000,,3,,,,10000,,8.53,1,1,0,,0.5,20000,3.5,0,40
CCGTCCS_New_BiH,BiH,CCGT,Gas,2045,2080,10000,,3,,,,10000,,6.7,1,1,0,,3.08,80000,21.8,0,40
CCGTH2_New_BiH,BiH,CCGT,Gas,2026,2060,10000,,3,,,,10000,,5.78,1,1,0,,1,47500,3.5,0,40
RoR_Ex_BiH,BiH,ROR,Water,1960,2051,261,,1,,,,261,,,1,1,0,,0,15000,,0,
RoR_Com_BiH,BiH,ROR,Water,2025,2051,100,,2,,,,100,,,1,1,0,,2.65,60000,,0,30
RoR_New_BiH,BiH,ROR,Water,2026,2051,1000,,3,,,,1000,,,1,1,0,,2.65,60000,,0,30
HySto_Ex_BiH,BiH,ReservoirHydro,Pumped,1955,2051,1465,,1,,,,1465,,,1,1,0,,0,15000,,0,
HySto_Com_BiH,BiH,ReservoirHydro,Pumped,2025,2051,215,,2,,,,215,,,1,1,0,,2.65,60000,,0,30
HySto_New_BiH,BiH,ReservoirHydro,Pumped,2026,2051,2200,,3,,,,2200,,,1,1,0,,2.65,60000,,0,30
Wind_Ex_BiH,BiH,OnshoreWind,Wind,2018,2044,135,,1,,,,135,,,,,,,0,28180,,0,
Wind_Com_BiH,BiH,OnshoreWind,Wind,2025,2060,109,,2,,,,5000,,,,,,,1.26,38000,,0,30
Wind_New_BiH,BiH,OnshoreWind,Wind,2026,2060,6300,,3,,,,10000,,,,,,,1.26,38000,,0,30
PV_Ex_BiH,BiH,PV,Solar,2020,2044,56,,1,,,,5000,,,,,,,0,10000,,0,
PV_Com_BiH,BiH,PV,Solar,2025,2060,290,,2,,,,5000,,,,,,,0.9,10000,,0,25
PV_New_BiH,BiH,PV,Solar,2026,2060,30300,,3,,,,10000,,,,,,,0.9,10000,,0,25
PSPCapljina,BiH,Storage,Pumped,1968,2051,440,,1,,,,440,,,1,1,0,,0,35872,,0,
PHP_Vrilo ,BiH,Storage,Pumped,2030,2060,66,,2,,,,66,,,1,1,0,,1.23,35872,,0,40
PHP_New_BiH,BiH,Storage,Pumped,2051,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
PHP_New_Alb,Albania,Storage,Pumped,2025,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
PHP_New_Kos,Kosovo,Storage,Pumped,2025,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
PHP_New_N_Mac,N_Macedonia,Storage,Pumped,2025,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
PHP_New_Mon,Serbia,Storage,Pumped,2025,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
PHP_New_Ser,Serbia,Storage,Pumped,2025,2060,1000,,3,,,,1000,,,1,1,0,,1.23,35872,,0,40
BESS2025_4h_BiH,BiH,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2025_4h_Alb,Albania,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2025_4h_N_Mac,N_Macedonia,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2025_4h_Kos,Kosovo,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2025_4h_Ser,Serbia,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2025_4h_Mon,Montenegro,Storage,Battery,2025,2045,5000,,3,,,,5000,,,1,1,0,,1.05,21000,,0,20
BESS2030_4h_BiH,BiH,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2030_4h_Alb,Albania,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2030_4h_N_Mac,N_Macedonia,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2030_4h_Kos,Kosovo,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2030_4h_Ser,Serbia,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2030_4h_Mon,Montenegro,Storage,Battery,2030,2050,5000,,3,,,,5000,,,1,1,0,,0.57,14000,,0,20
BESS2035_4h_BiH,BiH,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
BESS2035_4h_Alb,Albania,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
BESS2035_4h_N_Mac,N_Macedonia,Storage,Battery,2035,2055,5000,,3,,,,5000,,,1,1,0,,0.51,13000,,0,20
