gen,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
TPP_Tuzla3,0.432588,0.426215,0.452055,0.248606,0.23,0.23,0.452427,0.374339,0.325061,0.599102,0.405028,0.491981
TPP_Tuzla4,0.69895,0.692577,0.718417,0.514968,0.417581,0.467329,0.718789,0.640701,0.591423,0.865465,0.67139,0.758343
TPP_Tuzla5,0.705292,0.698919,0.724759,0.52131,0.423923,0.473671,0.725131,0.647043,0.597765,0.871807,0.677732,0.764685
TPP_Tuzla6,0.708463,0.70209,0.72793,0.524481,0.427094,0.476842,0.728302,0.650214,0.600936,0.874978,0.680903,0.767856
TPP_Kakanj5,0.495341,0.206877,0.183425,0.15766,0.35478,0.577014,0.625076,0.413657,0.541576,0.698176,0.62539,0.525514
TPP_Kakanj6,0.614017,0.325552,0.3021,0.276336,0.473455,0.695689,0.743752,0.532332,0.660252,0.816852,0.744066,0.644189
TPP_Kakanj7,0.701829,0.413364,0.389912,0.364148,0.561267,0.783501,0.831563,0.620144,0.748064,0.904664,0.831877,0.732001
TPP_Gacko,0.577768,0.554349,0.247713,0.248,0.62094,0.579399,0.520081,0.577456,0.424775,0.489384,0.558614,0.635625
TPP_Ugljevik,0.680508,0.645365,0.720637,0.668211,0.734018,0.315403,0.31,0.729491,0.764753,0.670577,0.758712,0.594639
TPP_Stanari,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Coal_SubNew_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Coal_SuperNew_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Coal_UltraNew_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CoalCCS_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
TPP_Tuzla3_100Biomass,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
TPP_Tuzla4_10Biomass,0.69895,0.692577,0.718417,0.514968,0.417581,0.467329,0.718789,0.640701,0.591423,0.865465,0.67139,0.758343
TPP_Kakanj5_10Biomass,0.495341,0.23,0.23,0.23,0.35478,0.577014,0.625076,0.413657,0.541576,0.698176,0.62539,0.525514
TPP_Kakanj5_100Biomass,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Biomass_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
BECCS_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CCGT_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
OCGT_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CCGTCCS_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CCGTH2_New_BiH,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
RoR_Ex_BiH,1,1,1,1,1,1,1,1,1,1,1,1
RoR_Com_BiH,1,1,1,1,1,1,1,1,1,1,1,1
