zone,tech,fuel,2023,2025,2030,2035,2040,2045,2050
BiH,ST,Coal,1,0.916849015,0.708971554,0.689277899,0.669584245,0.649890591,0.630196937
BiH,BiomassPlant,Biomass,1,0.990654206,0.96728972,0.956775701,0.946261682,0.935747664,0.925233645
BiH,OCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
BiH,CCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
BiH,OnshoreWind,Wind,1,0.965923038,0.880730633,0.867229803,0.853728973,0.840228142,0.826727312
BiH,PV,Solar,1,0.897616414,0.641657447,0.597128633,0.552599819,0.508071005,0.46354219
BiH,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
Albania,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
N_Macedonia,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
Kosovo,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
Serbia,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
Montenegro,Storage,Battery,1,0.801031125,0.540385717,0.488829483,0.433454268,0.381898033,0.330341799
Albania,OnshoreWind,Wind,1,0.965923038,0.880730633,0.867229803,0.853728973,0.840228142,0.826727312
Albania,PV,Solar,1,0.897616414,0.641657447,0.597128633,0.552599819,0.508071005,0.46354219
Albania,ST,Coal,1,0.916849015,0.708971554,0.689277899,0.669584245,0.649890591,0.630196937
Albania,BiomassPlant,Biomass,1,0.990654206,0.96728972,0.956775701,0.946261682,0.935747664,0.925233645
Albania,OCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Albania,CCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Serbia,ST,Coal,1,0.916849015,0.708971554,0.689277899,0.669584245,0.649890591,0.630196937
Serbia,BiomassPlant,Biomass,1,0.990654206,0.96728972,0.956775701,0.946261682,0.935747664,0.925233645
Serbia,OCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Serbia,CCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Serbia,OnshoreWind,Wind,1,0.965923038,0.880730633,0.867229803,0.853728973,0.840228142,0.826727312
Serbia,PV,Solar,1,0.897616414,0.641657447,0.597128633,0.552599819,0.508071005,0.46354219
Kosovo,ST,Coal,1,0.916849015,0.708971554,0.689277899,0.669584245,0.649890591,0.630196937
Kosovo,BiomassPlant,Biomass,1,0.990654206,0.96728972,0.956775701,0.946261682,0.935747664,0.925233645
Kosovo,OCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Kosovo,CCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Kosovo,OnshoreWind,Wind,1,1,1,0.98,0.95,0.93,0.93
Kosovo,PV,Solar,1,0.897616414,0.641657447,0.597128633,0.552599819,0.508071005,0.46354219
Montenegro,ST,Coal,1,0.916849015,0.708971554,0.689277899,0.669584245,0.649890591,0.630196937
Montenegro,BiomassPlant,Biomass,1,0.990654206,0.96728972,0.956775701,0.946261682,0.935747664,0.925233645
Montenegro,OCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Montenegro,CCGT,Gas,1,0.992779783,0.974729242,0.869133574,0.763537906,0.657942238,0.55234657
Montenegro,OnshoreWind,Wind,1,0.965923038,0.880730633,0.867229803,0.853728973,0.840228142,0.826727312
Montenegro,PV,Solar,1,0.897616414,0.641657447,0.597128633,0.552599819,0.508071005,0.46354219
N_Macedonia,OnshoreWind,Wind,1,0.965923038,0.880730633,0.867229803,0.853728973,0.840228142,0.826727312
