gen,Linked plant,CapacityMWh,CapexMWh,VOMMWh,FixedOMMWh,Efficiency
PSPCapljina,,3520,1,0,0,0.8
PHP_Vrilo ,,528,1,0,0,0.8
PHP_New_BiH,,8000,1,0,0,0.8
PHP_New_Alb,,8000,1,0,0,0.8
PHP_New_Kos,,8000,1,0,0,0.8
PHP_New_N_Mac,,8000,1,0,0,0.8
PHP_New_Mon,,8000,1,0,0,0.8
PHP_New_Ser,,8000,1,0,0,0.8
BESS2025_4h_BiH,,20000,1,0,0,0.87
BESS2025_4h_Alb,,20000,1,0,0,0.87
BESS2025_4h_N_Mac,,20000,1,0,0,0.87
BESS2025_4h_Kos,,20000,1,0,0,0.87
BESS2025_4h_Ser,,20000,1,0,0,0.87
BESS2025_4h_Mon,,20000,1,0,0,0.87
BESS2030_4h_BiH,,20000,1,0,0,0.87
BESS2030_4h_Alb,,20000,1,0,0,0.87
BESS2030_4h_N_Mac,,20000,1,0,0,0.87
BESS2030_4h_Kos,,20000,1,0,0,0.87
BESS2030_4h_Ser,,20000,1,0,0,0.87
BESS2030_4h_Mon,,20000,1,0,0,0.87
BESS2035_4h_BiH,,20000,1,0,0,0.87
BESS2035_4h_Alb,,20000,1,0,0,0.87
BESS2035_4h_N_Mac,,20000,1,0,0,0.87
BESS2035_4h_Kos,,20000,1,0,0,0.87
BESS2035_4h_Ser,,20000,1,0,0,0.87
BESS2035_4h_Mon,,20000,1,0,0,0.87
BESS2040_4h_BiH,,20000,1,0,0,0.87
BESS2040_4h_Alb,,20000,1,0,0,0.87
BESS2040_4h_N_Mac,,20000,1,0,0,0.87
BESS2040_4h_Kos,,20000,1,0,0,0.87
BESS2040_4h_Ser,,20000,1,0,0,0.87
BESS2040_4h_Mon,,20000,1,0,0,0.87
BESS2045_4h_BiH,,20000,1,0,0,0.87
BESS2045_4h_Alb,,20000,1,0,0,0.87
BESS2045_4h_N_Mac,,20000,1,0,0,0.87
BESS2045_4h_Kos,,20000,1,0,0,0.87
BESS2045_4h_Ser,,20000,1,0,0,0.87
BESS2045_4h_Mon,,20000,1,0,0,0.87
BESS2050_4h_BiH,,20000,1,0,0,0.87
BESS2050_4h_Alb,,20000,1,0,0,0.87
BESS2050_4h_N_Mac,,20000,1,0,0,0.87
BESS2050_4h_Kos,,20000,1,0,0,0.87
BESS2050_4h_Ser,,20000,1,0,0,0.87
BESS2050_4h_Mon,,20000,1,0,0,0.87
BESS2025_8h_BiH,,40000,1,0,0,0.87
BESS2025_8h_Alb,,40000,1,0,0,0.87
BESS2025_8h_N_Mac,,40000,1,0,0,0.87
BESS2025_8h_Kos,,40000,1,0,0,0.87
BESS2025_8h_Ser,,40000,1,0,0,0.87
BESS2025_8h_Mon,,40000,1,0,0,0.87
BESS2030_8h_BiH,,40000,1,0,0,0.87
BESS2030_8h_Alb,,40000,1,0,0,0.87
BESS2030_8h_N_Mac,,40000,1,0,0,0.87
BESS2030_8h_Kos,,40000,1,0,0,0.87
BESS2030_8h_Ser,,40000,1,0,0,0.87
BESS2030_8h_Mon,,40000,1,0,0,0.87
BESS2035_8h_BiH,,40000,1,0,0,0.87
BESS2035_8h_Alb,,40000,1,0,0,0.87
BESS2035_8h_N_Mac,,40000,1,0,0,0.87
BESS2035_8h_Kos,,40000,1,0,0,0.87
BESS2035_8h_Ser,,40000,1,0,0,0.87
BESS2035_8h_Mon,,40000,1,0,0,0.87
BESS2040_8h_BiH,,40000,1,0,0,0.87
BESS2040_8h_Alb,,40000,1,0,0,0.87
BESS2040_8h_N_Mac,,40000,1,0,0,0.87
BESS2040_8h_Kos,,40000,1,0,0,0.87
BESS2040_8h_Ser,,40000,1,0,0,0.87
BESS2040_8h_Mon,,40000,1,0,0,0.87
BESS2045_8h_BiH,,40000,1,0,0,0.87
BESS2045_8h_Alb,,40000,1,0,0,0.87
BESS2045_8h_N_Mac,,40000,1,0,0,0.87
BESS2045_8h_Kos,,40000,1,0,0,0.87
BESS2045_8h_Ser,,40000,1,0,0,0.87
BESS2045_8h_Mon,,40000,1,0,0,0.87
BESS2050_8h_BiH,,40000,1,0,0,0.87
BESS2050_8h_Alb,,40000,1,0,0,0.87
BESS2050_8h_N_Mac,,40000,1,0,0,0.87
BESS2050_8h_Kos,,40000,1,0,0,0.87
BESS2050_8h_Ser,,40000,1,0,0,0.87
BESS2050_8h_Mon,,40000,1,0,0,0.87
PHP__Cebren,,3330,1,0,0,0.87
BESS2027_Mon,,200,1,0,0,0.87
PHP__Serbia,,5440,1,0,0,0.87
BESS2028_Ser,,1000,1,0,0,0.87
Bistrica,,680,1,0,0,0.87
Derdap 3,,1800,1,0,0,0.87
