zone,tech,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Kosovo,ROR,m4,d2,0.148775,0.14685,0.1463,0.146025,0.14575,0.14465,0.142725,0.427138,0.426588,0.426313,0.425763,0.139425,0.139425,0.13915,0.138875,0.1386,0.137225,0.136125,0.420538,0.420538,0.420263,0.420263,0.136125,0.135575
Kosovo,ROR,m4,d3,0.082225,0.082225,0.082225,0.082225,0.0825,0.082225,0.0825,0.363312,0.363587,0.363037,0.360562,0.07865,0.077825,0.07755,0.077825,0.077825,0.078375,0.080025,0.312808,0.365787,0.367437,0.367437,0.087175,0.08745
Kosovo,ROR,m4,d4,0.11825,0.117975,0.117975,0.117975,0.1177,0.1177,0.117975,0.387575,0.387575,0.3873,0.387575,0.116875,0.116875,0.116875,0.11715,0.117425,0.1188,0.1166,0.388675,0.3895,0.39005,0.389775,0.120175,0.12155
Kosovo,ROR,m4,d5,0.122375,0.121825,0.12155,0.121825,0.1221,0.1221,0.1221,0.396835,0.39656,0.39601,0.39601,0.120175,0.1199,0.1199,0.11605,0.115775,0.115775,0.1155,0.390785,0.390785,0.390235,0.387485,0.100925,0.100375
Kosovo,ROR,m4,d6,0.113025,0.1133,0.1133,0.1133,0.113575,0.113575,0.1133,0.386038,0.385213,0.384938,0.384663,0.111925,0.111925,0.11495,0.122925,0.124025,0.126225,0.1309,0.404463,0.405013,0.405288,0.405288,0.1331,0.134475
Kosovo,ROR,m4,d7,0.1936,0.1936,0.1936,0.1936,0.193325,0.19305,0.463131,0.463131,0.463131,0.457081,0.464506,0.194425,0.191675,0.1925,0.193325,0.19305,0.463681,0.463681,0.463681,0.463406,0.463956,0.464231,0.419956,0.152625
Kosovo,ROR,m5,d1,0.1386,0.138325,0.138325,0.13805,0.1375,0.135575,0.135025,0.400464,0.403764,0.403764,0.401014,0.1287,0.1287,0.1287,0.132,0.133925,0.132275,0.132275,0.404864,0.405964,0.407339,0.407339,0.1353,0.135025
Kosovo,ROR,m5,d2,0.196625,0.196625,0.196625,0.1969,0.196625,0.19635,0.196625,0.327966,0.327416,0.314216,0.315866,0.184525,0.1936,0.196075,0.196075,0.196075,0.196075,0.1958,0.327691,0.327416,0.327416,0.328241,0.19635,0.197175
Kosovo,ROR,m5,d3,0.151525,0.15125,0.1507,0.150425,0.15015,0.15015,0.1485,0.413353,0.413078,0.413078,0.412528,0.147675,0.144375,0.127325,0.128425,0.1287,0.128975,0.12925,0.394103,0.393828,0.393828,0.393553,0.1287,0.1342
Kosovo,ROR,m5,d4,0.135025,0.137225,0.13695,0.136675,0.13695,0.136675,0.13585,0.398109,0.397284,0.396459,0.395084,0.1309,0.131175,0.1309,0.130625,0.394534,0.394259,0.394809,0.394534,0.394534,0.394259,0.394534,0.130625,0.1309
Kosovo,ROR,m5,d5,0.162525,0.16225,0.16225,0.16225,0.16225,0.1606,0.161425,0.443119,0.451919,0.459894,0.463744,0.181775,0.192225,0.1936,0.196075,0.196625,0.196625,0.196625,0.473644,0.474194,0.474194,0.474194,0.190575,0.182875
Kosovo,ROR,m5,d6,0.19085,0.190575,0.1903,0.1903,0.190025,0.18975,0.469124,0.468849,0.468574,0.188375,0.188375,0.18865,0.188925,0.190025,0.189475,0.18975,0.19085,0.470499,0.471324,0.471599,0.471874,0.471599,0.192225,0.19195
Kosovo,ROR,m5,d7,0.1903,0.190575,0.190025,0.18975,0.189475,0.465083,0.464808,0.464258,0.187825,0.18645,0.1859,0.18535,0.18535,0.185625,0.186175,0.186725,0.187275,0.463433,0.463433,0.463433,0.463433,0.463433,0.18755,0.1881
Kosovo,ROR,m6,d1,0.0308,0.0308,0.0308,0.03245,0.066275,0.352017,0.352017,0.351742,0.327542,0.0638,0.097075,0.082225,0.068475,0.067375,0.067375,0.0671,0.07205,0.355592,0.353667,0.247614,0.353667,0.0704,0.070125,0.0704
Kosovo,ROR,m6,d2,0.04345,0.043175,0.04345,0.04345,0.04345,0.314135,0.31441,0.31441,0.31441,0.04345,0.04345,0.043175,0.043725,0.043175,0.04345,0.04345,0.04345,0.26223,0.312485,0.306435,0.31111,0.040425,0.040425,0.040425
Kosovo,ROR,m6,d3,0.19635,0.1958,0.196625,0.19635,0.196625,0.19635,0.19635,0.231169,0.459554,0.476826,0.19635,0.19635,0.196625,0.1969,0.196625,0.477651,0.477651,0.477101,0.477376,0.477376,0.477101,0.477101,0.196075,0.19635
Kosovo,ROR,m6,d4,0.192225,0.19195,0.1914,0.191125,0.224126,0.458432,0.457882,0.457057,0.456232,0.455957,0.454582,0.185075,0.1848,0.18425,0.18425,0.18535,0.454032,0.454032,0.454307,0.454582,0.454307,0.454307,0.185625,0.18535
Kosovo,ROR,m6,d5,0.147125,0.14685,0.14685,0.146575,0.1485,0.1485,0.427903,0.427903,0.425153,0.144925,0.14245,0.145475,0.143825,0.14355,0.143825,0.143825,0.143825,0.1441,0.424603,0.424603,0.422128,0.1419,0.1419,0.1419
Kosovo,ROR,m6,d6,0.06655,0.06655,0.066275,0.066275,0.083547,0.338508,0.338508,0.338508,0.338508,0.06655,0.06655,0.06655,0.066,0.065725,0.06545,0.065175,0.0616,0.314033,0.335483,0.334658,0.334383,0.06215,0.061875,0.06215
Kosovo,ROR,m6,d7,0.04565,0.04565,0.04565,0.04565,0.04565,0.322142,0.322142,0.322142,0.322142,0.045375,0.04565,0.044825,0.0451,0.045375,0.0451,0.04455,0.043725,0.319667,0.319942,0.319667,0.319942,0.04345,0.043175,0.04345
Kosovo,ROR,m7,d1,0.0418,0.042075,0.057401,0.287015,0.287015,0.28729,0.287015,0.28729,0.287015,0.287015,0.28729,0.164133,0.164133,0.164408,0.164133,0.164133,0.163858,0.164408,0.163858,0.286465,0.28454,0.284815,0.28454,0.285773
Kosovo,ROR,m7,d2,0.10395,0.09295,0.0902,0.083875,0.080575,0.07645,0.0715,0.209959,0.208034,0.205009,0.204459,0.203909,0.203909,0.203359,0.203909,0.203909,0.203634,0.203084,0.203084,0.202809,0.203909,0.204734,0.204734,0.07095
Kosovo,ROR,m7,d3,0.03355,0.033825,0.033825,0.03355,0.033825,0.033825,0.03355,0.283066,0.299682,0.299682,0.299682,0.299407,0.299132,0.300232,0.303257,0.307107,0.318657,0.332682,0.335157,0.07535,0.065175,0.05995,0.055825,0.053625
Kosovo,ROR,m7,d4,0.03355,0.033825,0.03355,0.03355,0.03355,0.03355,0.06663,0.298469,0.298194,0.297919,0.033825,0.033,0.033275,0.03355,0.033,0.056985,0.296269,0.296269,0.296269,0.0319,0.031625,0.031625,0.0319,0.031625
Kosovo,ROR,m7,d5,0.058575,0.058575,0.058575,0.058025,0.0583,0.056375,0.054175,0.053075,0.05445,0.054725,0.322934,0.322659,0.054725,0.055,0.055,0.054725,0.054725,0.05775,0.05885,0.326234,0.323759,0.323759,0.055825,0.04785
Kosovo,ROR,m7,d6,0.049775,0.049775,0.05005,0.049775,0.049225,0.053075,0.053075,0.187137,0.187412,0.187687,0.187412,0.187412,0.187137,0.187412,0.186862,0.187137,0.187137,0.186862,0.184112,0.182737,0.182462,0.182737,0.182737,0.050325
Kosovo,ROR,m7,d7,0.0462,0.0462,0.0462,0.046475,0.0462,0.0462,0.0462,0.179221,0.178671,0.178946,0.178946,0.179221,0.178946,0.180046,0.180596,0.180321,0.180596,0.180321,0.180596,0.180871,0.180596,0.180596,0.178671,0.068151
Kosovo,ROR,m8,d1,0.0396,0.0396,0.039875,0.0396,0.0396,0.0396,0.039875,0.306623,0.306348,0.306073,0.306348,0.306073,0.306073,0.306073,0.305798,0.305798,0.306073,0.305523,0.306073,0.172424,0.172424,0.172424,0.171324,0.03685
Kosovo,ROR,m8,d2,0.02585,0.026125,0.02585,0.026125,0.025575,0.02585,0.026125,0.026125,0.042574,0.298103,0.299753,0.299478,0.299753,0.299753,0.299753,0.299478,0.299478,0.299753,0.299478,0.163489,0.163764,0.163489,0.163764,0.027775
Kosovo,ROR,m8,d3,0.068475,0.068475,0.0682,0.066,0.0638,0.0638,0.0638,0.305719,0.340004,0.340004,0.339729,0.340004,0.340279,0.339729,0.338904,0.339179,0.339729,0.339179,0.337254,0.19654,0.19654,0.19654,0.197365,0.05885
Kosovo,ROR,m8,d4,0.049225,0.0495,0.0495,0.049225,0.0495,0.049225,0.0495,0.31263,0.312905,0.312355,0.31263,0.31263,0.312355,0.31208,0.312355,0.31208,0.312355,0.31208,0.31043,0.178452,0.178452,0.178452,0.178452,0.046475
Kosovo,ROR,m8,d5,0.02695,0.02695,0.02695,0.02695,0.02695,0.02695,0.02695,0.02695,0.062353,0.310174,0.304949,0.307699,0.306324,0.313749,0.313199,0.310999,0.309349,0.309624,0.309349,0.185714,0.166637,0.166362,0.166637,0.025025
Kosovo,ROR,m8,d6,0.01595,0.0231,0.0231,0.020075,0.0231,0.0231,0.01925,0.0231,0.056791,0.290975,0.290975,0.038983,0.023925,0.02365,0.02365,0.02365,0.023375,0.02365,0.28905,0.290975,0.290975,0.040358,0.02365,0.02365
Kosovo,ROR,m8,d7,0.027225,0.027775,0.0264,0.02585,0.0253,0.02585,0.0253,0.02585,0.025575,0.30104,0.301315,0.300765,0.30104,0.266607,0.249116,0.300765,0.300765,0.163033,0.163033,0.163308,0.163033,0.163033,0.163033,0.0253
Kosovo,ROR,m9,d1,0.02145,0.021725,0.02145,0.021725,0.02145,0.021175,0.0055,0.282514,0.282514,0.282239,0.282514,0.294064,0.299839,0.300389,0.300114,0.300114,0.300114,0.300114,0.300114,0.161607,0.161607,0.161332,0.161607,0.022825
Kosovo,ROR,m9,d2,0.022825,0.0231,0.0231,0.022825,0.022825,0.004125,0.003575,0.00385,0.00385,0.27476,0.27476,0.27476,0.274485,0.27476,0.27476,0.275585,0.31051,0.309135,0.314085,0.31106,0.303635,0.0319,0.0319,0.0308
Kosovo,ROR,m9,d3,0.0044,0.004675,0.004675,0.004675,0.022,0.02255,0.022825,0.022825,0.048705,0.298603,0.298878,0.298603,0.298603,0.298878,0.298603,0.297778,0.298603,0.296403,0.279903,0.279628,0.279903,0.279903,0.281553,0.0308
Kosovo,ROR,m9,d4,0.022825,0.02255,0.02255,0.02255,0.02255,0.02255,0.02145,0.02255,0.166475,0.166475,0.022275,0.022,0.02255,0.02255,0.02255,0.0209,0.02255,0.14805,0.147775,0.147775,0.00385,0.003575,0.00385,0.0044
Kosovo,ROR,m9,d5,0.0198,0.022,0.02255,0.022275,0.022275,0.02255,0.02145,0.00385,0.020396,0.274365,0.27464,0.27464,0.27299,0.27299,0.27299,0.27629,0.291415,0.291415,0.289765,0.291415,0.290315,0.291415,0.291415,0.022825
Kosovo,ROR,m9,d6,0.029425,0.028875,0.0297,0.0297,0.029975,0.0297,0.0297,0.0253,0.02365,0.279489,0.29627,0.29737,0.297645,0.29792,0.297645,0.29627,0.295995,0.29572,0.295995,0.295995,0.29572,0.022825,0.022825,0.022825
Kosovo,ROR,m9,d7,0.00385,0.005775,0.022275,0.022275,0.022275,0.022275,0.02255,0.0231,0.039953,0.28835,0.28835,0.0231,0.022,0.00385,0.00385,0.00385,0.00385,0.136475,0.1362,0.136475,0.003575,0.022275,0.022825,0.022825
Kosovo,ROR,m10,d1,0,0,0,0,0,0,0,0,0.017265,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0.138123,0,0,0
Kosovo,ROR,m10,d2,0.003575,0.003575,0.00385,0.003575,0.003575,0.00385,0.003575,0.003575,0.00385,0.003575,0.143113,0.143388,0.143113,0.143388,0.143113,0.143388,0.143113,0.146138,0.161538,0.161813,0.0209,0.022275,0.019525,0.020075
Kosovo,ROR,m10,d3,0.02475,0.02475,0.02475,0.025025,0.02475,0.02475,0.02475,0.02475,0.024475,0.178783,0.283898,0.023925,0.0231,0.02365,0.02365,0.023925,0.047971,0.153087,0.153362,0.153087,0.02365,0.02365,0.023375,0.004125
Kosovo,ROR,m10,d4,0.003575,0.00385,0.003575,0.00385,0.003575,0.00385,0.003575,0.00385,0.00605,0.275467,0.274367,0.00385,0.00385,0.022275,0.022825,0.022825,0.0231,0.158359,0.158084,0.157809,0.022825,0.022825,0.02255,0.00385
