country,zone,attribute,resolution,year,baseline,baseline_INGA,baseline_limexp,baseline_noBTKG
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2027,1.9,1.9,1.9,1.9
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2035,127.1,115.0,,127.0
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2038,564.0,933.9,417.0,560.6
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2040,973.3,169.7,909.8,985.6
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2042,1019.5,,1030.1,1020.0
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2045,1082.2,,1067.2,1081.0
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2048,1187.7,139.2,1361.8,1189.9
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_North,2050,1930.8,274.5,2399.8,1956.2
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2030,4160.3,4160.3,4123.4,4160.3
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2032,3957.6,3948.9,3913.8,3957.6
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2035,2133.7,1845.8,1828.9,2133.6
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2038,1464.3,1083.6,1381.9,1466.0
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2040,1270.1,2828.9,1250.7,1266.6
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2042,1043.5,2520.7,1138.5,1043.5
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2045,1170.3,2085.6,1240.1,1170.5
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2048,1089.6,2046.0,1067.5,1089.8
Angola,Angola_Central,Annual Energy Exchanges: GWh,Angola_South,2050,934.9,1712.9,1063.8,934.6
Angola,Angola_Central,Capacity: MW,Battery,2030,16.5,16.5,,16.5
Angola,Angola_Central,Capacity: MW,Battery,2032,19.3,27.0,,19.3
Angola,Angola_Central,Capacity: MW,Battery,2035,22.8,27.0,,22.8
Angola,Angola_Central,Capacity: MW,Battery,2038,172.8,177.0,95.3,172.8
Angola,Angola_Central,Capacity: MW,Battery,2040,270.3,203.7,145.3,270.3
Angola,Angola_Central,Capacity: MW,Battery,2042,370.3,280.6,195.3,370.3
Angola,Angola_Central,Capacity: MW,Battery,2045,520.3,430.6,225.2,520.3
Angola,Angola_Central,Capacity: MW,Battery,2048,670.3,580.6,375.2,670.3
