paramNames,baseline,baseline_INGA,baseline_noBTKG,baseline_limexp
modeltype,RMIP,RMIP,RMIP,RMIP
cplexfile,input/data_sapp_june26/cplex/cplex_baseline.opt,input/data_sapp_june26/cplex/cplex_baseline.opt,input/data_sapp_june26/cplex/cplex_baseline.opt,input/data_sapp_june26/cplex/cplex_baseline.opt
pSettings,input/data_sapp_june26/pSettings.csv,input/data_sapp_june26/pSettings.csv,input/data_sapp_june26/pSettings.csv,input/data_sapp_june26/pSettings.csv
y,input/data_sapp_june26/y.csv,input/data_sapp_june26/y.csv,input/data_sapp_june26/y.csv,input/data_sapp_june26/y.csv
zcmap,input/data_sapp_june26/zcmap.csv,input/data_sapp_june26/zcmap.csv,input/data_sapp_june26/zcmap.csv,input/data_sapp_june26/zcmap.csv
pHours,input/data_sapp_june26/pHours.csv,input/data_sapp_june26/pHours.csv,input/data_sapp_june26/pHours.csv,input/data_sapp_june26/pHours.csv
pDemandProfile,input/data_sapp_june26/load/pDemandProfile.csv,input/data_sapp_june26/load/pDemandProfile.csv,input/data_sapp_june26/load/pDemandProfile.csv,input/data_sapp_june26/load/pDemandProfile.csv
pDemandData,input/data_sapp_june26/load/pDemandData.csv,input/data_sapp_june26/load/pDemandData.csv,input/data_sapp_june26/load/pDemandData.csv,input/data_sapp_june26/load/pDemandData.csv
pDemandForecast,input/data_sapp_june26/load/pDemandForecast_sapp_adapted_v2_mozalout.csv,input/data_sapp_june26/load/pDemandForecast_sapp_adapted_v2_mozalout.csv,input/data_sapp_june26/load/pDemandForecast_sapp_adapted_v2_mozalout.csv,input/data_sapp_june26/load/pDemandForecast_sapp_adapted_v2_mozalout.csv
sRelevant,input/data_sapp_june26/load/sRelevant.csv,input/data_sapp_june26/load/sRelevant.csv,input/data_sapp_june26/load/sRelevant.csv,input/data_sapp_june26/load/sRelevant.csv
pEnergyEfficiencyFactor,input/data_sapp_june26/load/pEnergyEfficiencyFactor.csv,input/data_sapp_june26/load/pEnergyEfficiencyFactor.csv,input/data_sapp_june26/load/pEnergyEfficiencyFactor.csv,input/data_sapp_june26/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_sapp_june26/supply/pGenDataInput_SAPP_v3.csv,input/data_sapp_june26/supply/pGenDataInput_SAPP_v3_INGA.csv,input/data_sapp_june26/supply/pGenDataInput_SAPP_v3_noBTKG.csv,input/data_sapp_june26/supply/pGenDataInput_SAPP_v3.csv
pGenDataInputDefault,input/data_sapp_june26/supply/pGenDataInputDefault.csv,input/data_sapp_june26/supply/pGenDataInputDefault.csv,input/data_sapp_june26/supply/pGenDataInputDefault.csv,input/data_sapp_june26/supply/pGenDataInputDefault.csv
pAvailability,input/data_sapp_june26/supply/pAvailabilityCustom.csv,input/data_sapp_june26/supply/pAvailabilityCustom.csv,input/data_sapp_june26/supply/pAvailabilityCustom.csv,input/data_sapp_june26/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_sapp_june26/supply/pAvailabilityDefault.csv,input/data_sapp_june26/supply/pAvailabilityDefault.csv,input/data_sapp_june26/supply/pAvailabilityDefault.csv,input/data_sapp_june26/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_sapp_june26/supply/pEvolutionAvailability.csv,input/data_sapp_june26/supply/pEvolutionAvailability.csv,input/data_sapp_june26/supply/pEvolutionAvailability.csv,input/data_sapp_june26/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_sapp_june26/supply/pCapexTrajectoriesCustom.csv,input/data_sapp_june26/supply/pCapexTrajectoriesCustom.csv,input/data_sapp_june26/supply/pCapexTrajectoriesCustom.csv,input/data_sapp_june26/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_sapp_june26/supply/pCapexTrajectoriesDefault.csv,input/data_sapp_june26/supply/pCapexTrajectoriesDefault.csv,input/data_sapp_june26/supply/pCapexTrajectoriesDefault.csv,input/data_sapp_june26/supply/pCapexTrajectoriesDefault.csv
