Variable,country,zone,generator,fuel,year,baseline,baseline_INGA,baseline_limexp,baseline_noBTKG
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2025,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2027,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2030,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2032,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2035,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2038,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2040,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2042,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2045,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2048,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_COMBI_HY_AGO_CE,Reservoir,2050,32.0,32.0,32.0,32.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2025,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2027,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2030,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2032,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2035,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2038,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2040,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2042,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2045,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2048,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,AH_Gove_HY_AGO_CE,Reservoir,2050,60.0,60.0,60.0,60.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2025,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2027,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2030,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2032,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2035,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2038,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2040,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2042,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2045,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2048,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Bailundo_PV_AGO_CE,PV,2050,7.0,7.0,7.0,7.0
Capacity: MW,Angola,Angola_Central,Baynes(Angola)_HY_AGO_SO,Reservoir,2040,33.14,,136.04,33.14
Capacity: MW,Angola,Angola_Central,Baynes(Angola)_HY_AGO_SO,Reservoir,2042,72.81,,272.55,69.3
Capacity: MW,Angola,Angola_Central,Baynes(Angola)_HY_AGO_SO,Reservoir,2045,72.81,,272.55,69.3
Capacity: MW,Angola,Angola_Central,Baynes(Angola)_HY_AGO_SO,Reservoir,2048,282.11,,430.0,282.11
Capacity: MW,Angola,Angola_Central,Baynes(Angola)_HY_AGO_SO,Reservoir,2050,430.0,352.22,430.0,430.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2025,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2027,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2030,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2032,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2035,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2038,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2040,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2042,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2045,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2048,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Bafia_Farta_PV_AGO_CE,PV,2050,76.0,76.0,76.0,76.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2025,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2027,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2030,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2032,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2035,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2038,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2040,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2042,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2045,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2048,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,CF_Biopio_PV_AGO_CE,PV,2050,145.0,145.0,145.0,145.0
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2025,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2027,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2030,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2032,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2035,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2038,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2040,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2042,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_AGO_CE,ICE-Diesel,2045,88.7,88.7,88.7,88.7
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2025,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2027,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2030,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2032,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2035,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2038,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2040,7.25,7.25,7.25,7.25
