Variable,country,zone,generator,fuel,year,baseline,baseline_INGA,baseline_limexp,baseline_noBTKG
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2042,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2045,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,COMBI_Diesel_OFF_AGO_CE,ICE-Diesel,2048,7.25,7.25,7.25,7.25
Capacity: MW,Angola,Angola_Central,LobitoI_TH_AGO_CE,CCGT-Gas,2050,258.68,,400.0,270.68
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2030,16.45,16.45,,16.45
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2032,19.26,26.97,,19.26
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2035,22.78,26.97,,22.78
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2038,172.78,176.97,95.26,172.78
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2040,270.28,203.72,145.26,270.28
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2042,370.28,280.58,195.26,370.28
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2045,520.28,430.58,225.22,520.28
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2048,670.28,580.58,375.22,670.28
Capacity: MW,Angola,Angola_Central,New_BESS_AGO_CE,Battery,2050,770.28,680.58,475.22,770.28
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2032,80.0,26.95,40.0,80.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2035,200.0,146.95,160.0,200.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2038,320.0,266.95,280.0,320.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2040,400.0,266.95,360.0,400.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2042,480.0,266.95,440.0,480.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2045,600.0,350.87,560.0,600.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2048,720.0,470.87,680.0,720.0
Capacity: MW,Angola,Angola_Central,New_PV_2029_AGO_CE,PV,2050,800.0,550.87,760.0,800.0
Capacity: MW,Angola,Angola_Central,Quilengues_HY_AGO_CE,Reservoir,2045,210.0,24.59,210.0,210.0
Capacity: MW,Angola,Angola_Central,Quilengues_HY_AGO_CE,Reservoir,2048,210.0,210.0,210.0,210.0
Capacity: MW,Angola,Angola_Central,Quilengues_HY_AGO_CE,Reservoir,2050,210.0,210.0,210.0,210.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2025,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2027,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2030,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2032,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2035,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2038,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2040,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2042,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2045,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2048,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_HIDROCHICAPA_OFF_AGO_EA,ROR,2050,16.0,16.0,16.0,16.0
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2025,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2027,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2030,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2032,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2035,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2038,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2040,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2042,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2045,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2048,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,AH_TCHIUMBEDALA_OFF_AGO_EA,ROR,2050,12.42,12.42,12.42,12.42
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2025,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2027,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2030,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2032,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2035,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2038,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2040,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2042,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2045,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2048,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,COMBI_Diesel_OFF_AGO_EA,ICE-Diesel,2050,80.05,80.05,80.05,80.05
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2030,24.89,26.15,11.54,24.89
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2032,24.89,26.15,11.54,24.89
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2035,24.89,26.15,11.54,24.89
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2038,41.4,41.4,11.54,41.4
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2040,41.4,41.4,41.4,41.4
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2042,41.4,41.4,41.4,41.4
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2045,41.4,41.4,41.4,41.4
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2048,41.4,41.4,41.4,41.4
Capacity: MW,Angola,Angola_East,CafunfoHybrid_PV_AGO_EA,PV,2050,41.4,41.4,41.4,41.4
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2030,22.97,22.97,14.22,22.54
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2032,22.97,22.97,14.22,22.54
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2035,22.97,22.97,14.22,22.54
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2038,36.8,36.8,14.22,36.8
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2040,36.8,36.8,36.8,36.8
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2042,36.8,36.8,36.8,36.8
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2045,36.8,36.8,36.8,36.8
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2048,36.8,36.8,36.8,36.8
Capacity: MW,Angola,Angola_East,CambuloHybrid_PV_AGO_EA,PV,2050,36.8,36.8,36.8,36.8
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2030,11.43,11.5,11.12,11.43
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2032,11.43,11.5,11.12,11.43
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2035,11.43,11.5,11.12,11.43
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2038,11.5,11.5,11.12,11.5
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2040,11.5,11.5,11.12,11.5
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2042,11.5,11.5,11.12,11.5
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2045,11.5,11.5,11.12,11.5
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2048,11.5,11.5,11.5,11.5
Capacity: MW,Angola,Angola_East,Cuango_PV_AGO_EA,PV,2050,11.5,11.5,11.5,11.5
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2030,24.64,24.64,12.16,25.07
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2032,24.64,24.64,12.16,25.07
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2035,24.64,24.64,12.16,25.07
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2038,32.2,32.2,12.16,32.2
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2040,32.2,32.2,16.35,32.2
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2042,32.2,32.2,16.35,32.2
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2045,32.2,32.2,16.35,32.2
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2048,32.2,32.2,32.2,32.2
Capacity: MW,Angola,Angola_East,Lau_PV_AGO_EA,PV,2050,32.2,32.2,32.2,32.2
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2030,15.0,15.0,15.0,15.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2032,15.0,15.0,15.0,15.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2035,15.0,15.0,15.0,15.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2038,15.0,15.0,15.0,15.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2040,15.0,15.0,15.0,15.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2042,25.0,15.0,15.0,25.0
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2045,35.27,15.0,15.0,35.27
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2048,50.27,15.0,30.0,50.27
Capacity: MW,Angola,Angola_East,New_OnshoreWind_AGO_EA,Onshore Wind,2050,60.27,15.0,40.0,60.27
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2032,110.95,110.95,112.79,110.95
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2035,119.82,112.92,121.0,119.82
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2038,119.82,112.92,121.0,119.82
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2040,121.0,112.92,121.0,121.0
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2042,121.0,112.92,121.0,121.0
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2045,121.0,112.92,121.0,121.0
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2048,121.0,112.92,121.0,121.0
Capacity: MW,Angola,Angola_East,Vuka_HY_AGO_EA,ROR,2050,121.0,121.0,121.0,121.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2025,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2027,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2030,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2032,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2035,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2038,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2040,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2042,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2045,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2048,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C1_HY_AGO_NO,Reservoir,2050,260.0,260.0,260.0,260.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2025,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2027,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2030,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2032,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2035,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2038,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2040,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2042,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2045,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2048,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Cambambe_C2_HY_AGO_NO,Reservoir,2050,700.0,700.0,700.0,700.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2025,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2027,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2030,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2032,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2035,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2038,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2040,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2042,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2045,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2048,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Capanda_HY_AGO_NO,Reservoir,2050,520.0,520.0,520.0,520.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2025,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2027,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2030,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2032,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2035,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2038,2070.0,2070.0,2070.0,2070.0
Capacity: MW,Angola,Angola_North,AH_Lauca_HY_AGO_NO,Reservoir,2040,2070.0,2070.0,2070.0,2070.0
