zone,tech,fuel,Q1,Q2,Q3,Q4
Zimbabwe,ST,Coal,0.65,0.65,0.65,0.65
Zimbabwe,ST,Coal_Bula,0.85,0.85,0.85,0.85
Zimbabwe,ST,Coal_Hara,0.85,0.85,0.85,0.85
Zimbabwe,ST,Coal_Hwan,0.85,0.85,0.85,0.85
Zimbabwe,ST,Coal_Munya,0.85,0.85,0.85,0.85
Zimbabwe,ST,Coal_Zhon,0.85,0.85,0.85,0.85
Zimbabwe,EXP,Export,0.9,0.9,0.9,0.9
Zimbabwe,OCGT,Gas,0.85,0.85,0.85,0.85
Zimbabwe,CCGT,Gas,0.85,0.85,0.85,0.85
Zimbabwe,CCGT,Gas_Moz,0.85,0.85,0.85,0.85
Zimbabwe,ICE,Diesel,0.85,0.85,0.85,0.85
Zimbabwe,ICE,HFO,0.85,0.85,0.85,0.85
Zimbabwe,OCGT,HFO,0.85,0.85,0.85,0.85
Zimbabwe,Nuclear,Uranium,0.9,0.9,0.9,0.9
Zimbabwe,ST,Biomass,0.85,0.85,0.85,0.85
Zimbabwe,CCGT,LNG,0.85,0.85,0.85,0.85
Zimbabwe,OCGT,LNG,0.85,0.85,0.85,0.85
Zimbabwe,PV,Solar,1,1,1,1
Zimbabwe,CSPPlant,CSP,1,1,1,1
Zimbabwe,OnshoreWind,Wind,1,1,1,1
Zimbabwe,OffshoreWind,Wind,1,1,1,1
Zimbabwe,ST,Geothermal,0.85,0.85,0.85,0.85
Zimbabwe,Storage,Battery,1,1,1,1
Zimbabwe,Storage,Water,0.85,0.85,0.85,0.85
Zimbabwe,ReservoirHydro,Water,0.85,0.85,0.85,0.85
Zimbabwe,ROR,Water,1,1,1,1
Zimbabwe,INT,Import_SAR,0.9,0.9,0.9,0.9
Zimbabwe,INT,Import_MOZ_EDM,0.9,0.9,0.9,0.9
Zimbabwe,INT,Import_MOZ_HCB,0.9,0.9,0.9,0.9
Zimbabwe,INT,Import_ZAM,0.9,0.9,0.9,0.9
Zimbabwe,INT,Import_SAPP,0.9,0.9,0.9,0.9
Zimbabwe,INT,Import_BWA,0.9,0.9,0.9,0.9
