zone,tech,fuel,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Angola,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Botswana,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
DRC,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
DRC_South,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Eswatini,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Lesotho,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Malawi,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Mozambique,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Namibia,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
South_Africa,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Tanzania,CCGT,Gas,6.75,,,0,0.2,30000,4.5,0,1.2,30
Zambia,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Zimbabwe,CCGT,Gas,6.4,,,0,0.05,30000,2,0,,30
Angola,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Botswana,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
DRC,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
DRC_South,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Eswatini,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Lesotho,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Malawi,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Mozambique,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Namibia,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
South_Africa,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Tanzania,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Zambia,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Zimbabwe,CCGT,LNG,6.4,,,0,0.05,30000,2,0,,30
Angola,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
Botswana,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
DRC,ICE,HFO,,,,0,0.4,8000,6.4,0,,30
