g,z,tech,fuel,StYr,RetrYr,Capacity,Status,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life,BuildLimitperYear,DescreteCap,fuel2,HeatRate2,MinUtilization,RETech,UnitSize
Bulawayo_TH_ZWE,Zimbabwe,ST,Coal_Bula,1999,2055,90,1,,20.78001219,0.33,0.33,,,,,,,,,0,,0,0.1,0,90
DemaEmergency_TH_ZWE,Zimbabwe,ICE,HFO,2017,2020,200,1,,11.373804,,,,,,,,,,,0,,0,0,0,0
Existing_PV_ZIM,Zimbabwe,PV,Solar,2022,2060,132,1,,,,,,,,,,,,,0,,0,0,1,0
BlanketMine_PV_ZIM,Zimbabwe,PV,Solar,2022,2047,14,1,,,,,,,,,,,,,0,,0,0,1,0
Centragrid_PV_ZIM,Zimbabwe,PV,Solar,2024,2049,25,1,,,,,,,,,,,,,0,,0,0,1,0
Harare1_TH_ZWE,Zimbabwe,ST,Coal_Hara,1942,1970,21,1,,20.78001219,0.33,0.33,,,,,,,,,0,,0,0.1,0,32
Harare2_TH_ZWE,Zimbabwe,ST,Coal_Hara,1955,2024,20,1,,20.78001219,0.33,0.33,,,,,,,,,0,,0,0.1,0,18
Harare3_TH_ZWE,Zimbabwe,ST,Coal_Hara,1956,2035,60,1,,20.78001219,0.33,0.33,,,,,,,,,0,,0,0.1,0,30
Hwange3Extension_TH_ZWE,Zimbabwe,ST,Coal_Hwan,2023,2073,600,1,,12.00281591,0.33,0.33,,,,,,,,0,0,,0,0.05,0,300
HwangeI_TH_ZWE,Zimbabwe,ST,Coal_Hwan,1987,2037,600,1,,12.00281591,0.33,0.33,,,,,,,,,0,,0,0.1,0,347
HwangeII_TH_ZWE,Zimbabwe,ST,Coal_Hwan,2020,2070,320,1,,12.00281591,0.33,0.33,,,,,,,,,0,,0,0.1,0,320
KaribaSouth1_HY_ZWE,Zimbabwe,ReservoirHydro,Water,1962,2060,1050,1,,,,,,0.275342466,,,0,,50,,0,,0,0,0,0
Munyati_TH_ZWE,Zimbabwe,ST,Coal_Munya,1957,2035,100,1,,20.78001219,0.33,0.33,,,,,0,,50,0,0,,0,0,0,0
ZhongXinIPP_TH_ZWE,Zimbabwe,ST,Coal_Zhon,2022,2060,50,1,,11.36666667,0.33,0.33,,,,,0,,50,0,0,,0,0,0,0
SunnyJinLong_P1_PV_ZWE,Zimbabwe,ST,Coal,2026,2061,60,3,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
SunnyJinLong_P2_PV_ZWE,Zimbabwe,ST,Coal,2027,2062,60,3,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
ZhongXinIPP_P2_TH_ZWE,Zimbabwe,ST,Coal_Zhon,2026,2061,135,3,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
Afrochine_TH_ZWE,Zimbabwe,ST,Coal,2027,2062,150,3,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
CloverNewEnergy_TH_ZWE,Zimbabwe,ST,Coal,2028,2063,100,3,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
Hwange7_8_TH_ZWE,Zimbabwe,ST,Coal_Hwan,2032,2067,291,0,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
Xhongxin_TH_ZWE,Zimbabwe,ST,Coal_Zhon,2032,2067,261,0,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
Hwange_Rehab_TH_ZWE,Zimbabwe,ST,Coal_Hwan,2032,2067,700,0,,11.36666667,0.33,0.33,,,,,,,,,,,,,,
Afrochine_PV_ZWE,Zimbabwe,PV,Solar,2026,2060,100,2,,,,,,,,,,,,,,,,,1,
ChidobeMizpah_PV_ZWE,Zimbabwe,PV,Solar,2027,2057,20,2,,,,,,,,,,,,,,,,,1,
