zone,attribute,resolution,year,simulation_baseline
,NPV of system cost: $m,,,3019.0627016117965
,Total Demand: GWh,,,21655.083682599772
,Total Emission: mt,,,10.471696450916964
,Total Generation: GWh,,,15396.996649811872
,Total USE: GWh,,,6258.181858228975
Gambia,Capacity (MW),Battery Storage,2025.0,2.0
Gambia,Capacity (MW),Battery Storage,2030.0,2.0
Gambia,Capacity (MW),Battery Storage,2035.0,2.0
Gambia,Capacity (MW),Battery Storage,2040.0,2.0
Gambia,Capacity (MW),Oil,2025.0,126.5
Gambia,Capacity (MW),Oil,2030.0,126.5
Gambia,Capacity (MW),Oil,2035.0,126.5
Gambia,Capacity (MW),Oil,2040.0,126.5
Gambia,Capacity (MW),Solar,2025.0,23.0
Gambia,Capacity (MW),Solar,2030.0,23.0
Gambia,Capacity (MW),Solar,2035.0,23.0
Gambia,Capacity (MW),Solar,2040.0,23.0
Gambia,Energy (GWh),Battery Storage,2025.0,17.52
Gambia,Energy (GWh),Battery Storage,2030.0,17.52
Gambia,Energy (GWh),Battery Storage,2035.0,17.52
Gambia,Energy (GWh),Battery Storage,2040.0,17.52
Gambia,Energy (GWh),Oil,2025.0,574.1394821250282
Gambia,Energy (GWh),Oil,2030.0,842.6572441323416
Gambia,Energy (GWh),Oil,2035.0,941.9190044503638
Gambia,Energy (GWh),Oil,2040.0,941.919000001477
Gambia,Energy (GWh),Solar,2025.0,56.87880779877485
Gambia,Energy (GWh),Solar,2030.0,56.87880779877485
Gambia,Energy (GWh),Solar,2035.0,56.87880779877485
Gambia,Energy (GWh),Solar,2040.0,56.87880779877485
Gambia,Fixed O&M: $m,,2025.0,3.0749999999999997
Gambia,Fixed O&M: $m,,2030.0,3.0749999999999997
Gambia,Fixed O&M: $m,,2035.0,3.0749999999999997
Gambia,Fixed O&M: $m,,2040.0,3.0749999999999997
Gambia,Total Annual Cost by Zone: $m,,2025.0,83.11004458851701
Gambia,Total Annual Cost by Zone: $m,,2030.0,128.26134902718687
Gambia,Total Annual Cost by Zone: $m,,2035.0,296.6356695912717
Gambia,Total Annual Cost by Zone: $m,,2040.0,590.2196047006064
Gambia,Total fuel Costs: $m,,2025.0,77.5088300868805
Gambia,Total fuel Costs: $m,,2030.0,113.7587279578335
Gambia,Total fuel Costs: $m,,2035.0,127.1590656006403
Gambia,Total fuel Costs: $m,,2040.0,127.15906500000014
Gambia,Unmet demand costs: $m,,2030.0,7.719929195172057
Gambia,Unmet demand costs: $m,,2035.0,162.25716037105465
Gambia,Unmet demand costs: $m,,2040.0,455.8410961006062
Gambia,Variable O&M: $m,,2025.0,2.5262137213501235
Gambia,Variable O&M: $m,,2030.0,3.707691874181338
Gambia,Variable O&M: $m,,2035.0,4.144443619576753
Gambia,Variable O&M: $m,,2040.0,4.144443600000072
