# Order of Processing is the one is stacked plots,
EPM_Fuel,Processing
ST-Coal,ST-Coal
CCGT-Gas,CCGT-Gas
ICE-Gas,ICE-Gas
ICE-HFO,ICE-HFO
ICE-LFO,ICE-LFO
BiomassPlant-Biomass,Biomass
ST-Bagasse,Bagasse
ST-Woodchip,Woodchip
INT-Import_SAR,Import_SAR
INT-Import_MOZ,Import_MOZ
INT-Import_SAPP,Import_SAPP
Uranium,Uranium
Coal,Coal
Gas,Gas
LNG,LNG
CCGT-LNG,CCGT-LNG
OCGT-LNG,OCGT-LNG
OCGT-Gas,OCGT-Gas
Diesel,Diesel
ICE-Diesel,ICE-Diesel
PV-Diesel,PV-Diesel
OCGT-Diesel,OCGT-Diesel
OCGT-HFO,OCGT-HFO
OCGT-LFO,OCGT-LFO
Biomass,Biomass
ST-Biomass,Biomass
CSPPlant-CSP,CSP
PV-Solar,PV
Wind,Wind
OnshoreWind-Wind,Onshore Wind
OffshoreWind-Wind,Offshore Wind
Battery,Battery
Storage-Battery,Battery
Storage-Water,Storage-Water
Water,Water
ReservoirHydro-Water,Reservoir-Water
ROR-Water,ROR-Water
HFO,HFO
LFO,LFO
Geothermal,Geothermal
ST-Geothermal,Geothermal
CSP,CSP
Solar,Solar
Import,Import
Imports,Import
