EPM_Zone,Location
Greece,"[21.9, 39.5]"
Italy," [17.7800, 40.46]"
Croatia,"[18.8, 45.25]"
Bulgaria,"[25.0000, 43.0000]"
Hungary,"[20.0000, 47.0000]"
Romania,"[25.0000, 45.8433]"
Guinea,"[9.9, -11.3]"
