EPM_Zone,EPM_Country,Geojson_Country,Geojson_Zone,Color
Albania,Albania,Albania,Albania,tan
BiH,BiH,Bosnia and Herzegovina,Bosnia and Herzegovina,mediumaquamarine
Kosovo,Kosovo,Kosovo,Kosovo,lemonchiffon
Montenegro,Montenegro,Montenegro,Montenegro,steelblue
N_Macedonia,N_Macedonia,Macedonia,Macedonia,lightblue
Serbia,Serbia,Republic of Serbia,Republic of Serbia,rosybrown
Guinea,Guinea,Guinea,Guinea,lightblue
