ZONE,Seasons,Day types,Year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
SAPP,Q1,d1,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d2,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d3,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d4,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d1,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d2,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d3,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d4,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d1,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d2,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d3,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d4,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d1,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d2,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d3,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d4,2025,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d1,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d2,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d3,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d4,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d1,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d2,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d3,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q2,d4,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d1,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d2,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d3,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q3,d4,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d1,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d2,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d3,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q4,d4,2026,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
SAPP,Q1,d1,2027,70,70,70,70,70,170,170,170,170,170,115,115,115,115,115,115,170,170,170,170,170,70,70,70
