y,South_Africa,Namibia,Zambia,Zimbabwe,Angola,Botswana,Tanzania,Eswatini,Lesotho,Malawi
2024,0.05,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2025,0.05,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2026,0.05,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2027,0.05,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2028,0.05,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
2029,0.05,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2030,0.05,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2031,0.01,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
2032,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2033,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2034,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2035,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2036,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2037,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2038,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2039,0.01,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
2040,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2041,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2042,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2043,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2044,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2045,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2046,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2047,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2048,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2049,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2050,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2051,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2052,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2053,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2054,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
2055,0.005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
