Internal zone,External zone,Seasons,Import-Export,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Rwanda,Burundi,Q1,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q2,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q3,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q4,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q1,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q2,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q3,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Burundi,Q4,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q1,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q2,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q3,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q4,Import,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q1,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q2,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q3,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Tanzania,Q4,Export,27,27,27,27,27,27,27,27,27,27,27,27
Rwanda,Uganda,Q1,Import,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q2,Import,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q3,Import,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q4,Import,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q1,Export,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q2,Export,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q3,Export,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,Uganda,Q4,Export,342,342,342,342,342,342,342,342,342,342,342,342
Rwanda,DRC,Q1,Import,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q2,Import,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q3,Import,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q4,Import,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q1,Export,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q2,Export,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q3,Export,12,112,112,112,112,112,112,112,112,112,112,112
Rwanda,DRC,Q4,Export,12,112,112,112,112,112,112,112,112,112,112,112
