z,tech,f,Life,StorageDuration,UnitSize,BuildLimitperYear,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
CEN,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
ORI,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
OCC,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
NOR,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
NTE,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
NES,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
PEN,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
SIBC,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
SIBCS,Storage,Battery,20,,,,,0.85,0.3,40000,0,0,290,0,0,,,1,1,,0.5,,,,,,,0
