g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
CCGT_Candi_CEN,CEN,CCGT,Gas,Candidate,2033,2060,30,837.85272216796875,,837.85272216796875,NO,6.4,0.9,27309.730253137699,6.3733059999999995,5,0.15,1,1,0,0.2,,,,,,,,,
PV_Candi_CEN,CEN,PV,Solar,Candidate,2032,2060,25,725,,725,NO,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
ST_Candi_CEN,CEN,ST,Gas,Candidate,2024,2060,30,136.6177978515625,,136.6177978515625,NO,9.4,2,38757,5.72,5,0,0.8,0.8,0,0.2,,,,,,,,,
STO HY_Candi_CEN,CEN,STO HY,Water,Candidate,2027,2060,50,26.864999999999998,,26.864999999999998,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
CCGT_Candi_NES,NES,CCGT,Gas,Candidate,2035,2060,30,520.37933349609375,,520.37933349609375,NO,6.4,0.9,8291.0412887056464,2.882959350000001,5,0.15,1,1,0,0.2,,,,,,,,,
CCGTH2_Candi_NES,NES,CCGTH2,Hydrogen,Candidate,2036,2060,30,1079.7642059326172,,1079.7642059326172,NO,6.4,0.9,30000.000000000004,2,,,,,,,,,,,,,,,
GT_Candi_NES,NES,GT,Gas,Candidate,2032,2060,30,875.00000762939453,,875.00000762939453,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,,
PV_Candi_NES,NES,PV,Solar,Candidate,2030,2060,25,2700,,2700,NO,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NES,NES,STO HY,Water,Candidate,2029,2060,50,30.486800000000002,,30.486800000000002,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NES,NES,WIND,Wind,Candidate,2026,2060,30,6088,,608.79999999999995,NO,0,0.9,25273.010000000002,0,0,0,1,1,0,0,,,,,,,,,
CCGTH2_Candi_NOR,NOR,CCGTH2,Hydrogen,Candidate,2035,2060,30,1674.1869201660156,,1674.1869201660156,NO,6.4,0.9,30000.000000000004,2,,,,,,,,,,,,,,,
NUCLEAR_Candi_NOR,NOR,NUCLEAR,Uranium,Candidate,2036,2060,50,600,,600,YES,10.240096038415366,4,150000,2.2432300000000001,5,0.3,0.8,0.8,0,0.05,,,,,,,,,
PV_Candi_NOR,NOR,PV,Solar,Candidate,2027,2060,25,2215,,2215,NO,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NOR,NOR,STO HY,Water,Candidate,2028,2060,50,116.813,,116.813,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NOR,NOR,WIND,Wind,Candidate,2026,2060,30,21,,21,NO,0,0.9,25273.01,0,0,0,1,1,0,0,,,,,,,,,
CCGT_Candi_NTE,NTE,CCGT,Gas,Candidate,2033,2060,30,960.262939453125,,960.262939453125,NO,6.4,0.9,10436.451484779533,3.4443855384615385,5,0.15,1,1,0,0.2,,,,,,,,,
ICE_Candi_NTE,NTE,ICE,Diesel,Candidate,2024,2060,30,406.49246215820313,,406.49246215820313,NO,10.41544727496,1.6831666666666665,28390.51911938396,3.1992440000000002,5,0,1,1,0,0.2,,,,,,,,,
PV_Candi_NTE,NTE,PV,Solar,Candidate,2027,2060,25,2876,,2876,NO,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NTE,NTE,STO HY,Water,Candidate,2028,2060,50,35.82,,35.82,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NTE,NTE,WIND,Wind,Candidate,2026,2060,30,330,,330,NO,0,0.9,25273.01,0,0,0,1,1,0,0,,,,,,,,,
CCGT_Candi_OCC,OCC,CCGT,Gas,Candidate,2037,2060,30,3243.6178283691406,,3243.6178283691406,NO,6.4,0.9,10278.235643763164,2.7600176363636364,5,0.15,1,1,0,0.2,,,,,,,,,
ICE_Candi_OCC,OCC,ICE,Diesel,Candidate,2024,2060,30,406.49246215820313,,406.49246215820313,NO,10.41544727496,1.6831666666666665,28408.98891966759,3.1992440000000002,5,0,1,1,0,0.2,,,,,,,,,
PV_Candi_OCC,OCC,PV,Solar,Candidate,2027,2060,25,5275,,5275,NO,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_OCC,OCC,STO HY,Water,Candidate,2030,2060,50,293.13249999999999,,293.13249999999999,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_OCC,OCC,WIND,Wind,Candidate,2026,2060,30,182,,182,NO,0,0.9,25273.010000000002,0,0,0,1,1,0,0,,,,,,,,,
