z,tech,fuel,Life,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
CEN,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
CEN,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
CEN,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
CEN,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
CEN,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
CEN,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
CEN,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
CEN,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
CEN,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
CEN,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
CEN,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
CEN,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
CEN,OCGT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,OCGT_CCS,GasCCS,30,,0,0,9.5,1.4,30000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,OffshoreWind,Wind,30,,0,0,,3,70000,0,0,0,,,,,,0,0,0,0,0,0,,
CEN,OnshoreWind,Wind,30,,0,0,,1.3,40000,0,0,0,,,,,,0,0,0,0,0,0,,
CEN,PV,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,PV,Solar,25,,0,0,,0.8,15000,0,0,0,,,,,,0,0,0,0,0,0,,
CEN,ST,ChemReaction,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
CEN,ST,Coal,30,,0,0,8.5,2,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
CEN,ST,Coke,30,,0,0,9.5,2.1,60000,3.2,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
CEN,ST,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,ST,HFO,30,,0,0,9.9,0.8,20000,4.4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
CEN,ST,Steam,25,,0,0,11,2.2,55000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
CEN,STO HY,Water,50,,0,0,,3.3,50000,0.5,5,0,1,1,0,0.45,0,0,0,0,0,0,0,,
CEN,Storage,Battery,20,,0,0,,0.3,40000,0,0,0,1,1,0,,0,0,0,0,0,0,0,,
ORI,BiomassPlant,Biomass,30,,0,0,12.5,2,100000,2.5,5,0,1,1,0,0.05,0,0,0,0,0,0,0,,
ORI,CCGT,Gas,30,,0,0,6.4,0.9,30000,2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
ORI,CCGT,Hydrogen,30,,0,0,6.8,1.1,30000,2.2,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
ORI,CCGT_CCS,GasCCS,30,,0,0,7.2,1.5,35000,3,5,0,1,1,0,0.05,0.6,0,0,4,6,2000,0,,
ORI,Geothermal,Geothermal,30,,0,0,,3.5,90000,1,5,0,1,1,0,0,0.8,0,0,0,0,0,0,,
ORI,GT,Diesel,30,,0,0,10.5,0.8,20000,4.5,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,GT,Gas,30,,0,0,9,0.8,20000,4,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,GT,Hydrogen,30,,0,0,9.5,0.9,20000,4.2,5,0,1,1,0,0.2,0.3,0,0,3,4,1000,0,,
ORI,GT,LicorNegro,25,,0,0,13,1.5,60000,3,5,0,0.5,0.5,0,0,0.3,0,0,0,0,0,0,,
ORI,ICE,Biogas,20,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
ORI,ICE,Diesel,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
ORI,ICE,Gas,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
ORI,ICE,HFO,25,,0,0,9,1.2,36000,7.5,5,0,1,1,0,0.2,0,0,0,0,0,0,0,,
ORI,ImportTransmission,Import,30,,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
ORI,Nuclear,Uranium,40,,0,0,10.5,5.5,110000,1.5,5,0,0.2,0.2,0,0,0.8,0,0,0,0,0,0,,
