Scenario,c,fuel,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Alto,MEXICO,Coal,,,,,3.6974545465939399,3.7083636382151601,3.7236363194845299,3.7432726687359401,3.7629090963212501,3.7803636115816399,3.7978181268420199,3.8174545544273299,3.8349090696877202,3.8567272529301602,3.8741817681905499,3.8938181957758502,3.9156363790182902,3.9309090602876502,3.9505454095390702,3.9704848304561864,3.9896484672874521,4.0088121041187179,4.0279757409499837,4.0471393777812494,4.0663030146125223,4.0854666514437881,4.1046302882750538,4.1237939251063196,4.1429575619375854,4.1621211987688511,4.1812848356001169,4.2004484724313826,4.2196121092626484,4.2387757460939213,4.257939382925187,4.2771030197564528,4.2962666565877186,4.3154302934189843,4.3345939302502501,4.3537575670815158,4.3729212039127816
Medio,MEXICO,Coal,,,,,3.6974545465939399,3.7083636382151601,3.7236363194845299,3.7432726687359401,3.7629090963212501,3.7803636115816399,3.7978181268420199,3.8174545544273299,3.8349090696877202,3.8567272529301602,3.8741817681905499,3.8938181957758502,3.9156363790182902,3.9309090602876502,3.9505454095390702,3.9704848304561864,3.9896484672874521,4.0088121041187179,4.0279757409499837,4.0471393777812494,4.0663030146125223,4.0854666514437881,4.1046302882750538,4.1237939251063196,4.1429575619375854,4.1621211987688511,4.1812848356001169,4.2004484724313826,4.2196121092626484,4.2387757460939213,4.257939382925187,4.2771030197564528,4.2962666565877186,4.3154302934189843,4.3345939302502501,4.3537575670815158,4.3729212039127816
Bajo,MEXICO,Coal,,,,,3.4727272905304298,3.4836363821516398,3.5010908974120301,3.5185454126724198,3.53599992793281,3.5556363555181201,3.5709091151213799,3.5883636303817701,3.6079999796331799,3.6232726609025501,3.6407272544968299,3.6603636037482499,3.6778181190086401,3.6974545465939399,3.7127272278633101,3.7314544948500554,3.7493090352034031,3.7671635755567507,3.7850181159100984,3.8028726562634461,3.8207271966167937,3.8385817369701414,3.856436277323489,3.8742908176768367,3.8921453580301844,3.909999898383532,3.9278544387368797,3.9457089790902273,3.963563519443575,3.9814180597969226,3.9992726001502703,4.017127140503618,4.0349816808569656,4.0528362212103133,4.0706907615636609,4.0885453019170086,4.1063998422703563
Alto,MEXICO,HFO,,,,,3.3831497819708014,2.8889734043517104,2.6353614075244192,2.337642632215045,2.2825095550013788,2.2714832562697951,2.2384031724082307,2.2604565616492738,2.2384031724082307,2.2053234844356076,2.2053234844356076,2.2273764777877094,2.2384031724082307,2.2825095550013788,2.3486693268355663,2.2935362056342394,2.3023574821528676,2.3111787586714985,2.3200000351901271,2.3288213117087557,2.3376425882273861,2.3464638647460148,2.3552851412646434,2.3641064177832742,2.3729276943019029,2.3817489708205315,2.3905702473391619,2.3993915238577905,2.4082128003764214,2.41703407689505,2.4258553534136786,2.434676629932309,2.4434979064509377,2.4523191829695685,2.4611404594881967,2.4699617360068253,2.4787830125254562
Medio,MEXICO,HFO,,,,,3.3831497819708014,2.8889734043517104,2.6353614075244192,2.337642632215045,2.2825095550013788,2.2714832562697951,2.2384031724082307,2.2604565616492738,2.2384031724082307,2.2053234844356076,2.2053234844356076,2.2273764777877094,2.2384031724082307,2.2825095550013788,2.3486693268355663,2.2935362056342394,2.3023574821528676,2.3111787586714985,2.3200000351901271,2.3288213117087557,2.3376425882273861,2.3464638647460148,2.3552851412646434,2.3641064177832742,2.3729276943019029,2.3817489708205315,2.3905702473391619,2.3993915238577905,2.4082128003764214,2.41703407689505,2.4258553534136786,2.434676629932309,2.4434979064509377,2.4523191829695685,2.4611404594881967,2.4699617360068253,2.4787830125254562
Bajo,MEXICO,HFO,,,,,2.8086527666063366,2.5250952530970867,2.1832700951945645,1.7311787828647096,1.4444870980647952,1.2349810879417102,1.1798480107280438,1.1136886347827943,1.0916352455417515,1.0475284670596654,1.0585555575691252,1.0475284670596654,1.0475284670596654,1.0916352455417515,1.1136886347827943,1.0530420343082261,1.0460585138337524,1.0390749933592809,1.0320914728848094,1.0251079524103379,1.0181244319358662,1.0111409114613947,1.0041573909869232,0.99717387051245177,0.99019035003798028,0.98320682956350869,0.97622330908903721,0.96923978861456572,0.96225626814009413,0.95527274766562265,0.94828922719115116,0.94130570671667957,0.93432218624220809,0.92733866576773449,0.92035514529326301,0.91337162481879153,0.90638810434431993
Alto,MEXICO,Diesel,,,,,31.5,31.086141768108099,29.9999996638292,28.876404105330401,28.6142312704742,28.277152871861201,28.352059780300898,28.202245963421401,28.014980037005,27.977527927468,27.640448184172001,27.4906357119755,27.4906357119755,27.528089166195301,27.602996074635101,27.264876555247668,27.155638120582779,27.046399685917919,26.937161251253031,26.827922816588142,26.718684381923254,26.609445947258365,26.500207512593505,26.390969077928617,26.281730643263728,26.17249220859884,26.063253773933951,25.954015339269091,25.844776904604203,25.735538469939314,25.626300035274426,25.517061600609537,25.407823165944677,25.298584731279789,25.1893462966149,25.080107861950012,24.970869427285123
Medio,MEXICO,Diesel,,,,,31.5,31.086141768108099,29.9999996638292,28.876404105330401,28.6142312704742,28.277152871861201,28.352059780300898,28.202245963421401,28.014980037005,27.977527927468,27.640448184172001,27.4906357119755,27.4906357119755,27.528089166195301,27.602996074635101,27.264876555247668,27.155638120582779,27.046399685917919,26.937161251253031,26.827922816588142,26.718684381923254,26.609445947258365,26.500207512593505,26.390969077928617,26.281730643263728,26.17249220859884,26.063253773933951,25.954015339269091,25.844776904604203,25.735538469939314,25.626300035274426,25.517061600609537,25.407823165944677,25.298584731279789,25.1893462966149,25.080107861950012,24.970869427285123
Bajo,MEXICO,Diesel,,,,,7.5399999999999991,7.5812730241236865,7.3749064411624161,7.0382018375159525,6.9187264884287112,6.8752804815336264,6.8752804815336264,6.8644193697679254,6.8970034849811688,6.842696366320383,6.8318352545546821,6.810112251107169,6.7992503594253284,6.7992503594253284,6.810112251107169,6.7796397154365451,6.7682352101189007,6.7568307048012608,6.74542619948362,6.7340216941659765,6.7226171888483357,6.7112126835306913,6.6998081782130514,6.688403672895407,6.6769991675777671,6.6655946622601272,6.6541901569424828,6.642785651624842,6.6313811463071977,6.6199766409895577,6.6085721356719134,6.5971676303542734,6.5857631250366335,6.5743586197189892,6.5629541144013492,6.5515496090837049,6.5401451037660641
Alto_orig,MEXICO,Gas,,,,,5.7729999660357301,6.8069998128015898,6.6639999810432,6.6145000240909297,6.5650000671386604,6.2019998562442602,6.0040000284351898,6.09199986414293,6.07000010268266,6.1800000947839999,6.5429999107450598,6.7300000552906596,6.7739999731445302,6.8839999652458603,6.9829998791503902,7.1608332699246375,7.2983332600513222,7.43583325017795,7.5733332403046347,7.7108332304313194,7.8483332205579472,7.9858332106846319,8.1233332008113166,8.2608331909379444,8.3983331810646291,8.5358331711913138,8.6733331613179416,8.8108331514446263,8.948333141571311,9.0858331316979388,9.2233331218246235,9.3608331119513082,9.498333102077936,9.6358330922046207,9.7733330823313054,9.9108330724579332,10.048333062584618
