g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
STO HY_Exist_01AMD-U1_CEN,CEN,STO HY,Water,Existing,2020,2071,50,6.9,,,NO,0,,50000,0.5,5,7.2463768115942032E-2,1,1,0,0.4,,,,,,,,,
GT_Exist_01ARA-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01ATE-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,,20000,32.044070000000005,5,0,1,1,0,0.2,,,,,,,,Diesel,
STO HY_Exist_01BBR-U3_CEN,CEN,STO HY,Water,Existing,2020,2071,50,22,,,NO,0,,50000,#N/A,5,0,1,1,0,0.4,,,,,,,,,
INT_Exist_01BDK-COG_CEN,CEN,INT,Import,Existing,2020,2081,60,6.54,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
GT_Exist_01COA-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01CRU-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01CTT-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,31.8,,,NO,9.4499999999999993,,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01CYO-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01CYO-U2_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,,20000,32.044070000000005,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01ECA-U1_CEN,CEN,GT,Gas,Existing,2020,2051,30,30.5,,,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
BIOMASS_Exist_01EEU-PM1_CEN,CEN,BIOMASS,Biomass,Existing,2020,2051,30,1.6,,,NO,12.5,1.5,100000,2.5,5,0,0.8,0.8,0,0.05,,,,,,,,,
INT_Exist_01EGD-AA2_CEN,CEN,INT,Import,Existing,2020,2081,60,3.7679999999999998,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
STO HY_Exist_01ELG-AUT_CEN,CEN,STO HY,Water,Existing,2020,2071,50,30,,,NO,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
INT_Exist_01ELU-AA1_CEN,CEN,INT,Import,Existing,2020,2081,60,1.7869999999999999,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
BIOMASS_Exist_01EPC-AUT_CEN,CEN,BIOMASS,Biomass,Existing,2020,2051,30,1.0469999999999999,,,NO,12.5,,25273.010000000002,0,5,0,0.8,0.8,0,0.05,,,,,,,,,
INT_Exist_01FCA-AUT_CEN,CEN,INT,Import,Existing,2020,2081,60,9.1999999999999993,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
PV_Exist_01FTD-EX1_CEN,CEN,PV,Solar,Existing,2020,2046,25,0.499,,,NO,0,1,15000,0,0,0,1,1,0,0,,,,,,,,,
GT_Exist_01GEV-PTA_CEN,CEN,GT,Gas,Existing,2020,2051,30,100,,,NO,9.4499999999999993,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
GT_Exist_01GMN-AUT_CEN,CEN,GT,Gas,Existing,2020,2051,30,0.8,,,NO,9.4499999999999993,,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
INT_Exist_01GPS-AUT_CEN,CEN,INT,Import,Existing,2020,2081,60,1.42,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
GT_Exist_01GRD-AUT_CEN,CEN,GT,Gas,Existing,2020,2051,30,0.8,,,NO,9.4499999999999993,,20000,4,5,0,1,1,0,0.2,,,,,,,,Diesel,
PV_Exist_01GTT-EX1_CEN,CEN,PV,Solar,Existing,2020,2046,25,0.42,,,NO,0,,25273.010000000002,0,0,1,1,1,0,0,,,,,,,,,
INT_Exist_01HEG-AUT_CEN,CEN,INT,Import,Existing,2020,2081,60,2,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
INT_Exist_01HUG-COG_CEN,CEN,INT,Import,Existing,2020,2081,60,6.6,,,NO,0,0,0,0,5,0,1,1,0,0.2,,,,,,,,,
PV_Exist_01IAO-EX1_CEN,CEN,PV,Solar,Existing,2020,2046,25,0.498,,,NO,0,1,15000,0,0,0,1,1,0,0,,,,,,,,,
