gen,attribute,Capacity,Capex,FixedOM,VOM,Availability,Efficiency
NN_CSP,Thermal Field,200000,0.9,0,0,0.8,0.85
NN_CSP,Storage,1000000,330,0,0,0.8,0.85
Kuriemat_CSP,Thermal Field,40,0,0,0,0.8,0.85
Kuriemat_CSP,Storage,100,0,0,0,0.8,0.85
