g,Q1,Q2,Q3,Q4
CCGT_Candi_CEN,0.91994272857142856,0.91994272857142856,0.91994272857142856,0.91994272857142856
PV_Candi_CEN,1,1,1,1
ST_Candi_CEN,0.9228344249999999,0.9228344249999999,0.9228344249999999,0.9228344249999999
STO HY_Candi_CEN,0.40259464888890584,0.36023893967170689,0.77415469879248078,0.54056656859583041
CCGT_Candi_NES,0.91413709999999992,0.91413709999999992,0.91413709999999992,0.91413709999999992
CCGTH2_Candi_NES,0,0,0,0
GT_Candi_NES,0.99861900000000003,0.99861900000000003,0.99861900000000003,0.99861900000000003
PV_Candi_NES,1,1,1,1
STO HY_Candi_NES,0.33315293846802935,0.36546447143374355,0.42380399384273798,0.35259944593769416
WIND_Candi_NES,1,1,1,1
CCGTH2_Candi_NOR,0,0,0,0
NUCLEAR_Candi_NOR,0.90066666666666662,0.90066666666666662,0.90066666666666662,0.90066666666666662
PV_Candi_NOR,1,1,1,1
STO HY_Candi_NOR,0.21315095462597239,0.21315095462597239,0.21315095462597239,0.21315095462597239
WIND_Candi_NOR,1,1,1,1
CCGT_Candi_NTE,0.92137049230769219,0.92137049230769219,0.92137049230769219,0.92137049230769219
ICE_Candi_NTE,0.98496510000000004,0.98496510000000004,0.98496510000000004,0.98496510000000004
PV_Candi_NTE,1,1,1,1
STO HY_Candi_NTE,0.32822019678893333,0.6034090520630363,0.41545610706594199,0.26556921512323522
WIND_Candi_NTE,1,1,1,1
CCGT_Candi_OCC,0.91662398181818183,0.91662398181818183,0.91662398181818183,0.91662398181818183
ICE_Candi_OCC,0.97,0.97,0.97,0.97
PV_Candi_OCC,1,1,1,1
STO HY_Candi_OCC,0.82808219178082199,0.82808219178082199,0.82808219178082199,0.82808219178082199
WIND_Candi_OCC,1,1,1,1
CCGT_Candi_ORI,0.90670800000000007,0.90670800000000007,0.90670800000000007,0.90670800000000007
CCGTH2_Candi_ORI,0,0,0,0
GT_Candi_ORI,0.98,0.98,0.98,0.98
NUCLEAR_Candi_ORI,0.90066666666666662,0.90066666666666662,0.90066666666666662,0.90066666666666662
PV_Candi_ORI,1,1,1,1
STO HY_Candi_ORI,0.33769660071029939,0.33769660071029939,0.33769660071029939,0.33769660071029939
WIND_Candi_ORI,1,1,1,1
CCGT_Candi_PEN,0.91970852000000003,0.91970852000000003,0.91970852000000003,0.91970852000000003
CCGTH2_Candi_PEN,0,0,0,0
PV_Candi_PEN,1,1,1,1
WIND_Candi_PEN,1,1,1,1
ST_Candi_CEN_0140,0.9228344249999999,0.9228344249999999,0.9228344249999999,0.9228344249999999
CCGT_Candi_NES_1050,0.91413709999999992,0.91413709999999992,0.91413709999999992,0.91413709999999992
CCGT_Candi_NOR_1045,0.92584305833333336,0.92584305833333336,0.92584305833333336,0.92584305833333336
CCGT_Candi_NTE_0462,0.92137049230769219,0.92137049230769219,0.92137049230769219,0.92137049230769219
CCGT_Candi_OCC_0432,0.91662398181818183,0.91662398181818183,0.91662398181818183,0.91662398181818183
CCGT_Candi_ORI_0524,0.90670800000000007,0.90670800000000007,0.90670800000000007,0.90670800000000007
GEO_Candi_ORI,0.98548521666666666,0.98548521666666666,0.98548521666666666,0.98548521666666666
CCGT_Candi_PEN_0521,0.91970852000000003,0.91970852000000003,0.91970852000000003,0.91970852000000003
BIOMASS_Gener_CEN,0.65,0.65,0.65,0.65
CCGT_Gener_CEN,0.91994272857142856,0.91994272857142856,0.91994272857142856,0.91994272857142856
COAL_Gener_CEN,0.85,0.85,0.85,0.85
GT_Gener_CEN,0.94343976874999991,0.94343976874999991,0.94343976874999991,0.94343976874999991
ICE_Gener_CEN,0.97321999999999997,0.97321999999999997,0.97321999999999997,0.97321999999999997
WIND_Gener_CEN,1,1,1,1
PV_Gener_CEN,1,1,1,1
ST_Gener_CEN,0.9228344249999999,0.9228344249999999,0.9228344249999999,0.9228344249999999
STO HY_Gener_CEN,0.40259464888890584,0.36023893967170689,0.77415469879248078,0.54056656859583041
CCGT_Gener_NES,0.91413709999999992,0.91413709999999992,0.91413709999999992,0.91413709999999992
COAL_Gener_NES,0.85,0.85,0.85,0.85
GT_Gener_NES,0.99861900000000003,0.99861900000000003,0.99861900000000003,0.99861900000000003
ICE_Gener_NES,0.97080499999999992,0.97080499999999992,0.97080499999999992,0.97080499999999992
