g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
CCGT_Candi_CEN,CEN,CCGT,Gas,3,2033,2060,30,837.8527222,,837.8527222,0,6.4,0.9,27309.73025,6.373306,5,0.15,1,1,0,0.2,,,,,,,,,
PV_Candi_CEN,CEN,PV,Solar,3,2032,2060,25,725,,725,0,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
ST_Candi_CEN,CEN,ST,Gas,1,2024,2060,30,136.6177979,,136.6177979,0,9.4,2,38757,5.72,5,0,0.8,0.8,0,0.2,,,,,,,,,
STO HY_Candi_CEN,CEN,STO HY,Water,3,2027,2060,50,26.865,,26.865,0,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
CCGT_Candi_NES,NES,CCGT,Gas,3,2035,2060,30,520.3793335,,520.3793335,0,6.4,0.9,8291.041289,2.88295935,5,0.15,1,1,0,0.2,,,,,,,,,
CCGTH2_Candi_NES,NES,CCGT,Hydrogen,3,2036,2060,30,1079.764206,,1079.764206,0,6.4,0.9,30000,2,,,,,,,,,,,,,,,
GT_Candi_NES,NES,GT,Gas,3,2032,2060,30,875.0000076,,875.0000076,0,9.45,0.8,20000,4,5,0,1,1,0,0.2,,,,,,,,,
PV_Candi_NES,NES,PV,Solar,3,2030,2060,25,2700,,2700,0,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NES,NES,STO HY,Water,3,2029,2060,50,30.4868,,30.4868,0,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NES,NES,OnshoreWind,Wind,3,2026,2060,30,6088,,608.8,0,0,0.9,25273.01,0,0,0,1,1,0,0,,,,,,,,,
CCGTH2_Candi_NOR,NOR,CCGT,Hydrogen,3,2035,2060,30,1674.18692,,1674.18692,0,6.4,0.9,30000,2,,,,,,,,,,,,,,,
NUCLEAR_Candi_NOR,NOR,Nuclear,Uranium,3,2036,2060,50,600,,600,1,10.24009604,4,150000,2.24323,5,0.3,0.8,0.8,0,0.05,,,,,,,,,
PV_Candi_NOR,NOR,PV,Solar,3,2027,2060,25,2215,,2215,0,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NOR,NOR,STO HY,Water,3,2028,2060,50,116.813,,116.813,0,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NOR,NOR,OnshoreWind,Wind,3,2026,2060,30,21,,21,0,0,0.9,25273.01,0,0,0,1,1,0,0,,,,,,,,,
CCGT_Candi_NTE,NTE,CCGT,Gas,3,2033,2060,30,960.2629395,,960.2629395,0,6.4,0.9,10436.45148,3.444385538,5,0.15,1,1,0,0.2,,,,,,,,,
ICE_Candi_NTE,NTE,ICE,Diesel,1,2024,2060,30,406.4924622,,406.4924622,0,10.41544727,1.683166667,28390.51912,3.199244,5,0,1,1,0,0.2,,,,,,,,,
PV_Candi_NTE,NTE,PV,Solar,3,2027,2060,25,2876,,2876,0,0,1.2,15000,0,0,0,1,1,0,0,,,,,,,,,
STO HY_Candi_NTE,NTE,STO HY,Water,3,2028,2060,50,35.82,,35.82,0,0,3.3,50000,0.5,5,0,1,1,0,0.4,,,,,,,,,
WIND_Candi_NTE,NTE,OnshoreWind,Wind,3,2026,2060,30,330,,330,0,0,0.9,25273.01,0,0,0,1,1,0,0,,,,,,,,,
CCGT_Candi_OCC,OCC,CCGT,Gas,3,2037,2060,30,3243.617828,,3243.617828,0,6.4,0.9,10278.23564,2.760017636,5,0.15,1,1,0,0.2,,,,,,,,,
