c,fuel,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
MEXICO,Coal,0,0,0,0,3.697454547,3.708363638,3.723636319,3.743272669,3.762909096,3.780363612,3.797818127,3.817454554,3.83490907,3.856727253,3.874181768,3.893818196,3.915636379,3.93090906,3.95054541,3.97048483,3.989648467,4.008812104,4.027975741,4.047139378,4.066303015,4.085466651,4.104630288,4.123793925,4.142957562,4.162121199,4.181284836,4.200448472,4.219612109,4.238775746,4.257939383,4.27710302,4.296266657,4.315430293,4.33459393,4.353757567,4.372921204
MEXICO,HFO,0,0,0,0,3.383149782,2.888973404,2.635361408,2.337642632,2.282509555,2.271483256,2.238403172,2.260456562,2.238403172,2.205323484,2.205323484,2.227376478,2.238403172,2.282509555,2.348669327,2.293536206,2.302357482,2.311178759,2.320000035,2.328821312,2.337642588,2.346463865,2.355285141,2.364106418,2.372927694,2.381748971,2.390570247,2.399391524,2.4082128,2.417034077,2.425855353,2.43467663,2.443497906,2.452319183,2.461140459,2.469961736,2.478783013
MEXICO,Diesel,0,0,0,0,31.5,31.08614177,29.99999966,28.87640411,28.61423127,28.27715287,28.35205978,28.20224596,28.01498004,27.97752793,27.64044818,27.49063571,27.49063571,27.52808917,27.60299607,27.26487656,27.15563812,27.04639969,26.93716125,26.82792282,26.71868438,26.60944595,26.50020751,26.39096908,26.28173064,26.17249221,26.06325377,25.95401534,25.8447769,25.73553847,25.62630004,25.5170616,25.40782317,25.29858473,25.1893463,25.08010786,24.97086943
MEXICO,Gas,0,0,0,0,3.429999897,4.079000167,4.486000295,5.069000096,5.234000084,4.893000029,4.673000045,4.629000127,4.574000131,4.618000049,4.673000045,4.805000194,4.849000111,4.936999947,5.036000256,5.01430569,5.06618903,5.11807237,5.169955711,5.221839051,5.273722391,5.325605731,5.377489071,5.429372411,5.481255751,5.533139092,5.585022432,5.636905772,5.688789112,5.740672452,5.792555792,5.844439132,5.896322473,5.948205813,6.000089153,6.051972493,6.103855833
MEXICO,Uranium,0,0,0,0,0.765153358,0.77312881,0.782944787,0.793987724,0.80564414,0.8173006,0.830184018,0.841226977,0.851042933,0.860858889,0.870674845,0.88110428,0.889693233,0.893374219,0.898282208,0.912358551,0.921131559,0.929904567,0.938677574,0.947450582,0.95622359,0.964996598,0.973769606,0.982542614,0.991315622,1.00008863,1.008861638,1.017634646,1.026407654,1.035180661,1.043953669,1.052726677,1.061499685,1.070272693,1.079045701,1.087818709,1.096591717
MEXICO,Steam,0,0,0,0,4.067200001,4.079200002,4.095999951,4.117599936,4.139200006,4.158399973,4.17759994,4.19920001,4.218399977,4.242399978,4.261599945,4.283200015,4.307200017,4.323999966,4.34559995,4.367533314,4.388613314,4.409693315,4.430773315,4.451853316,4.472933316,4.494013317,4.515093317,4.536173318,4.557253318,4.578333319,4.599413319,4.62049332,4.64157332,4.662653321,4.683733321,4.704813322,4.725893322,4.746973323,4.768053323,4.789133324,4.810213324
MEXICO,ChemReaction,0,0,0,0,3.65751515,3.50504366,3.694138613,3.886385275,4.078631936,4.270878598,4.466928692,4.663447501,4.859966311,5.041232332,5.190757513,5.340282694,5.489807875,5.634863733,5.764436574,5.894009416,6.023582257,6.153155099,6.28272794,6.454268743,6.63527291,6.816277077,6.997281244,7.17828541,7.359289577,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165,7.544319165
MEXICO,Biogas,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEXICO,Coke,0,0,0,0,3.472727291,3.483636382,3.501090897,3.518545413,3.535999928,3.555636356,3.570909115,3.58836363,3.60799998,3.623272661,3.640727254,3.660363604,3.677818119,3.697454547,3.712727228,3.731454495,3.749309035,3.767163576,3.785018116,3.802872656,3.820727197,3.838581737,3.856436277,3.874290818,3.892145358,3.909999898,3.927854439,3.945708979,3.963563519,3.98141806,3.9992726,4.017127141,4.034981681,4.052836221,4.070690762,4.088545302,4.106399842
MEXICO,Biomass,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MEXICO,GasCCS,0,0,0,0,3.429999897,4.079000167,4.486000295,5.069000096,5.234000084,4.893000029,4.673000045,4.629000127,4.574000131,4.618000049,4.673000045,4.805000194,4.849000111,4.936999947,5.036000256,5.01430569,5.06618903,5.11807237,5.169955711,5.221839051,5.273722391,5.325605731,5.377489071,5.429372411,5.481255751,5.533139092,5.585022432,5.636905772,5.688789112,5.740672452,5.792555792,5.844439132,5.896322473,5.948205813,6.000089153,6.051972493,6.103855833
MEXICO,CoalCCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEXICO,Hydrogen,0,0,0,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448,52.046448
MEXICO,LicorNegro,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
