g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,StorageDuration,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
STORAGE_Gener_CEN,CEN,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_NES,NES,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_NOR,NOR,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_NTE,NTE,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_OCC,OCC,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_ORI,ORI,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_PEN,PEN,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_SIBC,SIBC,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
STORAGE_Gener_SIBCS,SIBCS,Storage,Battery,,3,,,20,,,,,200000,,0.85,,,,,290,0,0,,,,,,,,,,,,
CFE_BAT CFV Puerto PeNasco III y IV_STORAGE_Comm_NOR,NOR,Storage,Battery,,2,,,20,,,,,199,,0.85,,,,,290,0,0,,,,,,,,,,,,
CFE_BAT CFV CarbÃ³n II_STORAGE_Comm_NES,NES,Storage,Battery,,2,,,20,,,,,208,,0.85,,,,,290,0,0,,,,,,,,,,,,
CFE_BAT CFV RÃ­o Escondido_STORAGE_Comm_NES,NES,Storage,Battery,,2,,,20,,,,,69,,0.85,,,,,290,0,0,,,,,,,,,,,,
CFE_BAT CFV Altamira_STORAGE_Comm_NES,NES,Storage,Battery,,2,,,20,,,,,62,,0.85,,,,,290,0,0,,,,,,,,,,,,
CFE_BAT CFV Laguna_STORAGE_Comm_OCC,OCC,Storage,Battery,,2,,,20,,,,,36,,0.85,,,,,290,0,0,,,,,,,,,,,,
