zone,tech,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CEN,BiomassPlant,Biomass,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,CCGT,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,CCGT,Hydrogen,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,CCGT_CCS,GasCCS,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,Geothermal,Geothermal,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,GT,Diesel,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,GT,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,GT,Hydrogen,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,GT,LicorNegro,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,ICE,Biogas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ICE,Diesel,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ICE,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ICE,HFO,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ImportTransmission,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEN,Nuclear,Uranium,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,OCGT,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,OCGT_CCS,GasCCS,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,OffshoreWind,Wind,0.93,0.91,0.89,0.87,0.84,0.82,0.8,0.77,0.77,0.76,0.75,0.74,0.73,0.73,0.72,0.71,0.7,0.69,0.682,0.675,0.668,0.66,0.653,0.646,0.639,0.632,0.625,0.618
CEN,OnshoreWind,Wind,0.93,0.91,0.89,0.87,0.84,0.82,0.8,0.77,0.77,0.76,0.75,0.74,0.73,0.73,0.72,0.71,0.7,0.69,0.682,0.675,0.668,0.66,0.653,0.646,0.639,0.632,0.625,0.618
CEN,PV,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,PV,Solar,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.583,0.566,0.55,0.535,0.52,0.505,0.491,0.477,0.463,0.45
CEN,ST,ChemReaction,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,ST,Coal,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,ST,Coke,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,ST,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ST,HFO,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
CEN,ST,Steam,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
CEN,STO HY,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEN,Storage,Battery,0.877,0.837,0.796,0.755,0.714,0.673,0.632,0.592,0.573,0.555,0.536,0.518,0.499,0.481,0.462,0.444,0.425,0.407,0.392,0.377,0.364,0.35,0.337,0.325,0.313,0.301,0.29,0.28
ORI,BiomassPlant,Biomass,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
ORI,CCGT,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
ORI,CCGT,Hydrogen,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
ORI,CCGT_CCS,GasCCS,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
ORI,Geothermal,Geothermal,1,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.97,0.96,0.96,0.96,0.95,0.95,0.95,0.94,0.94,0.938,0.936,0.934,0.932,0.93,0.928,0.926,0.924,0.922,0.92
ORI,GT,Diesel,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
ORI,GT,Gas,0.98,0.97,0.96,0.96,0.95,0.95,0.94,0.94,0.93,0.93,0.92,0.92,0.91,0.91,0.9,0.9,0.89,0.89,0.887,0.884,0.881,0.878,0.875,0.872,0.869,0.866,0.864,0.861
