g,dry,wet
Centrale Solaire de Soubre CI-ENERGIES,1,1
Centrale Solaire de Tengrela - EKDS,1,1
Centrale Solaire de Tongon - EKDS,1,1
Centrale Solaire de Touba SCALING SOLAR,1,1
Centrale thermique AKSA Taboth - TAG 1,0.85,0.85
Centrale thermique AKSA Taboth TAG 2,0.85,0.85
Centrale thermique AKSA Taboth_TAV,0.85,0.85
Centrale thermique Publique TAG,0.85,0.85
Centrale thermique Publique TAV,0.85,0.85
CICAD_Diamiadio,1,1
CICAD_Diamiadio II,1,1
CIII_Vapeur,0.85,0.85
Ciprel1_IPP,0.85,0.85
Ciprel2_IPP,0.85,0.85
Ciprel3_IPP,0.85,0.85
Ciprel4_IPP,0.85,0.85
Ciprel5_IPP,0.85,0.85
CIV_Diesel_E,1,1
CIV_Diesel_E_Glo,1,1
Contour Global_IPP,0.963,0.963
CONTOURGLGlo-Dual,0.963,0.963
ContourGlobal_IPP,0.85,0.85
CVI- Dual,0.934,0.934
Daboitie,0.244,0.637
Daboya,0.52,0.52
Dadin Mando,0.1,0.18
Dapaong RESPITE,1,1
Darsalam,0.85,0.85
DEDOUGOU,0.85,0.85
DELTA,0.85,0.85
Diallol,0.32,0.446
Diareguela,0.248,0.216
Diass,1,1
DIESEL_HFO,0.85,0.85
DIFFA,0.85,0.85
Digan,0.2,0.201
Djenne,0.181,0.299
DO_Tamba,0.85,0.85
Donkea,0.64,0.803
DORI,0.85,0.85
DUALE Gaz,0.85,0.85
DualFuel_CAND_Gambia,0.85,0.85
EarlyPower_U1_IPP,0.85,0.85
EarlyPower_U2_IPP,0.85,0.85
EGBIN,0.85,0.85
EGBIN_Part2,0.85,0.85
Eolien sarreole,1,1
EPC CCGT GTI2_Domestic Gas- Dual,0.913,0.913
EPC CCGT GTI2_GNL ELTON,0.913,0.913
Existing_gen_lib,0.85,0.85
Extension de la Centrale de Boundiali - CI-ENERGIES,1,1
FADA,0.85,0.85
FADA2,0.85,0.85
Farankonedou,0.193,0.369
Faye,0.002,0.006
Fello Sounga,0.299,0.355
FELOU_MAL,0.5,0.5
Felou_MAU,0.61,0.64
FELOU_SEN,0.533,0.755
Fetore,0.161,0.448
FIESS,0.85,0.85
Folonzo,0.112,0.167
Fomi,0.39,0.327
