g,z,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,UnitSize
MariaGleta,Benin,ICE,Diesel,1,2050,2050,80,,2,13.3,80,,13.3,0.85,0.9,,0.2,,7000,2.5,80
GT_Burkina,Burkina,ICE,Diesel,3,2024,2054,1000,,7,9.9,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
KTPP1_IPP,Ghana,ICE,Diesel,1,2017,2067,220,,2,10.8,220,,10.8,0.85,0.9,,0.07,,7000,2.5,220
CENIT_IPP,Ghana,ICE,Diesel,1,2012,2042,110,,2,10.8,110,,10.8,0.85,0.9,,0.2,,7000,2.5,110
TT1PP,Ghana,ICE,Diesel,1,2009,2050,110,,2,10.8,100,,10.8,0.85,0.9,,0.2,,7000,2.5,100
SES Darsalam - 10 MW,Mali,ICE,Diesel,1,1999,2050,10,,,,10,,13.23094118,0.85,0.9,,0.2,,7000,2.5,10
GT_Mali,Mali,ICE,Diesel,3,2026,2054,1000,,7,9.9,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
GT_Niger,Niger,ICE,Diesel,3,2025,2054,1000,,7,9.9,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
Cap-des-BichesTAG2,Senegal,ICE,Diesel,1,1997,2034,20,,,,20,,9.9,1,1,,0.2,,20000,4.4,20
Lome2,Togo,ICE,Diesel,1,1998,2050,20,,,,20,,9.8,0.85,0.9,,0.2,,7000,2.5,20
MariaGleta2_IPP,Benin,ICE,HFO,1,2020,2050,137,,2,9,137,30,9,0.85,0.9,,0.2,0.89,2,2.5,137
AKSA_IPP,Ghana,ICE,HFO,1,2017,2027,370,1,,,370,,12,0.85,0.9,,0.2,,7000,2.5,370
New_HFO,Guinea,ICE,HFO,3,2030,2050,,,,,200,30,9.9,0.85,0.9,,0.2,2.6,26000,100,200
Vridi,IvoryCoast,ICE,HFO,1,1984,2050,100,,,,100,,10.45224713,0.85,0.9,,0.2,,7000,2.5,100
HFO_NEW_Burkina,Burkina,ICE,HFO,3,2026,2054,,,,,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
HFO_NEW_Gambia,Gambia,ICE,HFO,3,2026,2054,,,,,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
HFO_NEW_GuineaBissau,GuineaBissau,ICE,HFO,3,2026,2054,,,,,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
HFO_NEW_Liberia,Liberia,ICE,HFO,3,2026,2054,,,,,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
HFO_NEW_Niger,Niger,ICE,HFO,3,2026,2054,,,,,200,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
HFO_NEW_SierraLeone,SierraLeone,ICE,HFO,3,2026,2053,,,,,200,30,9.9,1,1,,0.2,0.89,26342.72,2.5,200
Akpakpa2,Benin,ICE,Diesel,1,2050,2050,35,,,,35,,10.5881489,1,1,,0.2,,8000,10,35
Gbegamey,Benin,ICE,Diesel,1,2050,2050,16,,,,16,,10.5881489,1,1,,0.2,,8000,10,16
Natitingou,Benin,ICE,Diesel,1,2050,2050,12,,,,12,,13.3,1,1,,0.2,,8000,10,12
Parakou1,Benin,ICE,Diesel,1,2050,2050,14,,,,14,,13.3,1,1,,0.2,,8000,10,14
Porto-Novo,Benin,ICE,Diesel,1,2050,2050,12,,,,12,,13.3,1,1,,0.2,,8000,10,12
DEDOUGOU,Burkina,ICE,Diesel,1,1990,2050,5,,,,5.68,,10.5881489,1,1,,0.2,,8000,10,5.68
DORI,Burkina,ICE,Diesel,1,1990,2050,4.37,,,,4.37,,10.5881489,1,1,,0.2,,8000,10,4.37
FADA,Burkina,ICE,Diesel,1,1990,2050,9,,,,2,,10.5881489,1,1,,0.2,,8000,10,2
GAOUA,Burkina,ICE,Diesel,1,1990,2050,2.4,,,,2.4,,10.5881489,1,1,,0.2,,8000,10,2.4
OUAGAI,Burkina,ICE,Diesel,1,1990,2050,5.4,,,,5.4,,10.5881489,1,1,,0.2,,8000,10,5.4
OUAHIGOUYA,Burkina,ICE,Diesel,1,1990,2050,5.2,,,,5.2,,10.5881489,1,1,,0.2,,8000,10,5.2
FADA2,Burkina,ICE,Diesel,1,2019,2068,7,,,,7.5,30,8.6,1,1,,0.2,0.9,18500,6.5,7.5
Ouaga-NordOuest,Burkina,ICE,Diesel,2,2026,2052,70,,,,70,30,8.6,1,1,,0.2,0.9,18500,6.5,70
Existing_gen_lib,Liberia,ICE,Diesel,2,2035,2035,9,,,,9,,10.5881489,1,1,,0.15,,6980,10,
Loc. BDK Kati,Mali,ICE,Diesel,1,1990,2025,50,,,,50,,10.5881489,1,1,,0.2,,8000,10,50
SES(Lafia_Badala),Mali,ICE,Diesel,1,1990,2050,54,,,,54,,10.5881489,1,1,,0.2,,8000,10,54
AGGREKO_ngr_IPP,Niger,ICE,Diesel,1,2012,2025,30,,,,30,,10.5881489,1,1,,0.2,,8000,10,30
DIFFA,Niger,ICE,Diesel,1,2009,2059,4.2,,,,4.2,,10.5881489,1,1,,0.2,,8000,10,4.2
GAYA1,Niger,ICE,Diesel,1,1998,2048,0.292,,,,0.292,,10.5881489,1,1,,0.2,,8000,10,0.292
GAYA2,Niger,ICE,Diesel,1,2011,2061,0.504,,,,0.504,,10.5881489,1,1,,0.2,,8000,10,0.504
GOROUBANDA,Niger,ICE,Diesel,1,2016,2066,84,,7,11.5,84,,10.5881489,1,1,,0.2,,8000,10,84
GOUDEL1,Niger,ICE,Diesel,1,1980,2050,9,,,,9,,10.5881489,1,1,,0.2,,8000,10,9
GOUDEL2,Niger,ICE,Diesel,1,2009,2059,15.4,,,,15.4,,10.5881489,1,1,,0.2,,8000,10,15.4
MALBAZA,Niger,ICE,Diesel,1,1995,2045,7.7,,,,7.7,,10.5881489,1,1,,0.2,,8000,10,7.7
MARADI,Niger,ICE,Diesel,1,2009,2059,1.4,,,,1.4,,10.5881489,1,1,,0.2,,8000,10,1.4
NIAMEY,Niger,ICE,Diesel,1,1980,2050,23.5,,,,23.5,,10.5881489,1,1,,0.2,,8000,10,23.5
TAHOUA1,Niger,ICE,Diesel,1,1990,2050,2,,,,2,,10.5881489,1,1,,0.2,,8000,10,2
TAHOUA2,Niger,ICE,Diesel,1,2009,2059,1,,,,1,,10.5881489,1,1,,0.2,,8000,10,1
ZINDER,Niger,ICE,Diesel,1,1991,2041,2.6,,,,2.6,,10.5881489,1,1,,0.2,,8000,10,2.6
RemainingNigerCapacity,Niger,ICE,Diesel,1,2017,2067,75,,,,,30,8.6,1,1,,0.2,,18500,6.5,
GOROUBANDA2,Niger,ICE,Diesel,3,2024,2063,20,,,,20,30,8.6,1,1,,0.2,0.9,18500,6.5,20
AGADEZ,Niger,ICE,Diesel,1,2024,2045,6,,,,6,30,8.6,1,1,,0.2,0.9,18500,6.5,6
Boutoute G831_836,Senegal,ICE,Diesel,1,1997,2029,5,,,,5,,10,1,1,,0.5,,28000,4.4,5
DO_Tamba,Senegal,ICE,Diesel,1,1997,2024,6,,,,6,,10,1,1,,0.5,,28000,4.4,6
Bel-airTAG4,Senegal,ICE,Diesel,1,1999,2034,25,,,,25,,8,1,1,,0.5,,28000,4.4,25
Kahone,Senegal,ICE,Diesel,1,1990,2024,10,,,,10,,8,1,1,,0.5,,28000,4.4,10
CAND_IC_Diesel,SierraLeone,ICE,Diesel,3,2026,2053,1000,,,,200,30,8.6,1,1,,0.2,0.9,18500,6.5,200
Lome1,Togo,ICE,Diesel,1,1979,2050,12,,,,12,,10.5881489,1,1,,0.2,,8000,10,12
Sokod\xe9,Togo,ICE,Diesel,1,1990,2050,4,,,,4,,10.5881489,1,1,,0.2,,8000,10,4
Beni Naji,Mauritania_grid,ICE,Diesel,1,2010,2050,4.5,,,,4.5,,9.75,1,1,,0.2,,8000,10,4.5
HFO IPP_Tobene Power_GNL ELTON,Senegal,ICE,HFO,2,2026,2031,117.772,,7,8,117.772,30,7.8,1,1,,0.5,1,25000,4,117.772
Tobene - Dual,Senegal,ICE,HFO,2,2032,2050,117.772,,12,8.2,117.772,30,7.7,1,1,,0.5,1,25000,4,117.772
HFO IPP_Contour Global_GNL ELTON,Senegal,ICE,HFO,2,2026,2031,89.2,,7,8,89.2,30,8.8,1,1,,0.5,1,25000,4,89.2
CONTOURGLGlo-Dual,Senegal,ICE,HFO,2,2032,2050,89.2,,12,8.2,89.2,30,8.5,1,1,,0.5,1,25000,7.2,89.2
HFO IPP_Malicounda_GNL ELTON,Senegal,ICE,HFO,2,2026,2031,137.9,,7,8,137.9,30,8,1,1,,0.5,1,25000,4,137.9
Malicounda - Dual,Senegal,ICE,HFO,2,2032,2050,137.9,,12,8.2,137.9,30,8.1,1,1,,0.5,1,25000,6.7,137.9
HFO Senelec_C-6_GNL ELTON,Senegal,ICE,HFO,2,2025,2031,99,,7,8,99,30,7.8,1,1,,0.5,1,39353.32355,4,99
CVI- Dual,Senegal,ICE,HFO,2,2032,2050,99,,12,8.2,99,30,7.8,1,1,,0.5,1,25000,4,99
Kahoune _HFO Senelec_C-7_GNL ELTON,Senegal,ICE,HFO,2,2026,2031,101.4,,7,8,101.4,30,7.3,1,1,,0.5,1,18821.82977,4,101.4
Kahoune _HFO Senelec_C-7_Domestic Gas,Senegal,ICE,HFO,2,2032,2050,101.4,,12,8.2,101.4,30,7.4,1,1,,0.5,1,17541.4934,2.4,101.4
HFO Senelec_C-4_Ext_GNL ELTON,Senegal,ICE,HFO,2,2026,2031,81,,7,8,81,30,7.8,1,1,,0.5,1,25000,4,81
CIV_Diesel_E_Glo,Senegal,ICE,HFO,2,2032,2034,81,,12,8.2,81,30,7.7,1,1,,0.5,1,25000,4,81
HFO/GAS Karpower 125 MW G\xf6khan Bey (KPS 22),Senegal,ICE,HFO,2,2025,2026,125,,,6.8,125,30,8.4,1,1,,0.5,1,25000,4,125
HFO/GAS Karpower 220 MW Ayseg\xfcl Sultan (KPS 10),Senegal,ICE,HFO,2,2025,2026,220,,,6.8,220,30,7.4,1,1,,0.5,1,25000,4,220
Akpakpa1,Benin,ICE,HFO,1,2050,2050,36,,,,36,,9.575795629,1,1,,0.2,,17000,10,36
BOBOII,Burkina,ICE,HFO,1,1990,2050,68,,11,9.6,68,,10,1,1,,0.2,,17000,10,68
KOMSILGA,Burkina,ICE,HFO,1,1990,2050,94,,11,9.6,94,,10,1,1,,0.2,,17000,10,94
KOSSODO1,Burkina,ICE,HFO,1,1990,2050,64,,11,9.6,64,,10,1,1,,0.2,,17000,10,64
OUAGAII,Burkina,ICE,HFO,1,1990,2050,35.08,,11,9.6,35.08,,10,1,1,,0.2,,17000,10,35.08
FIESS,Burkina,ICE,HFO,1,2019,2045,50,,11,9.6,50,,10,1,1,,0.2,,17000,10,50
KOSSODO2,Burkina,ICE,HFO,1,2022,2070,50,,,,50,30,8.6,1,1,,0.2,0.9,18500,6.5,50
Karpower_IPP,Gambia,ICE,HFO,1,2018,2024,36,,,,36,,9.575795629,1,1,,0.2,,17000,10,36
Brikama,Gambia,ICE,HFO,1,2006,2050,53.8,,,,53.8,,9.575795629,1,1,,0.2,,17000,10,53.8
Brikama3,Gambia,ICE,HFO,1,2020,2069,20,,,,20,30,8.6,1,1,,0.2,0.9,18500,6.5,20
DualFuel_CAND_Gambia,Gambia,ICE,HFO,3,2026,2056,30,,2,8.6,30,30,9.9,1,1,,0.2,0.95,26342.72,2.5,30
DIESEL_HFO,Guinea,ICE,HFO,3,2030,2050,,,,,200,30,9.7,0.85,0.9,,0.2,1.5,15000,7,200
Karpowership_IPP,Guinea,ICE,HFO,1,2021,2050,115,,,,115,,9.575795629,1,1,,0.2,,,250,115
Kipe_IPP,Guinea,ICE,HFO,1,2016,2066,50,,,,50,,9.575795629,1,1,,0.2,,,50,50
GDE_IPP,Guinea,ICE,HFO,1,2015,2065,40,,,,42.5,,10.5881489,1,1,,0.2,,,280,42.5
Kaloum5,Guinea,ICE,HFO,1,2005,2055,30,,,,30,,9.575795629,1,1,,0.2,2.6,17000,7,30
Kaloum3_IPP,Guinea,ICE,HFO,1,1997,2047,24,,,,24,,9.575795629,1,1,,0.2,,,100,24
Kaloum1_IPP,Guinea,ICE,HFO,1,2015,2065,22,,,,22,,9.575795629,1,1,,0.2,,,50,22
Kaloum2_IPP,Guinea,ICE,HFO,1,2016,2066,22,,,,22,,9.575795629,1,1,,0.2,,,50,22
Te_IPP,Guinea,ICE,HFO,1,2020,2050,50,,,,50,,10.5881489,1,1,,0.2,,,100,50
Powership1_IPP,GuineaBissau,ICE,HFO,1,2019,2068,,,,,17,30,8.6,1,1,,0.2,0.9,18500,6.5,17
Powership2_IPP,GuineaBissau,ICE,HFO,1,2021,2068,,,,,13,30,8.6,1,1,,0.2,0.9,18500,6.5,13
Bor(BOAD),GuineaBissau,ICE,HFO,2,2026,2068,15,,,8.6,15,30,8.6,1,1,,0.2,0.9,18500,6.5,15
Bushrod,Liberia,ICE,HFO,1,2019,2069,28,,,,28,,9.58,1,1,,0.15,,18500,20,
Aska Balkou,Mali,ICE,HFO,1,2021,2050,20,,,,20,,9.575795629,1,1,,0.2,,17000,10,20
Centrale BID \xe0 Sirakoro (100 MW),Mali,ICE,HFO,1,2023,2070,100,,,,100,,9.575795629,1,1,,0.2,,17000,10,100
Loc. AKSA Sirakoro - 30 MW,Mali,ICE,HFO,1,2021,2070,30,,,,30,,9.575795629,1,1,,0.2,,17000,10,30
Darsalam,Mali,ICE,HFO,1,2016,2050,37,,,,37,,9.575795629,1,1,,0.2,,17000,10,37
Balingu\xe9 Deutz,Mali,ICE,HFO,1,2000,2050,16,,,,16,,9.575795629,1,1,,0.2,,17000,10,16
Balingu\xe9BID,Mali,ICE,HFO,1,2011,2050,72,,,,72,,9.575795629,1,1,,0.2,,17000,10,72
Albatros,Mali,ICE,HFO,1,2011,2050,92,,,,92,,9.575795629,1,1,,0.2,,17000,10,92
Balingu\xe9,Mali,ICE,HFO,1,2011,2050,24.32,,,,24.32,,9.575795629,1,1,,0.2,,17000,10,24.32
Tobene_IPP,Senegal,ICE,HFO,1,2017,2025,117.772,,,,117.772,,8.1,0.85,0.9,,0.5,,28000,4.4,117.772
Contour Global_IPP,Senegal,ICE,HFO,1,2017,2025,89.2,,,,89.2,,8.1,0.85,0.9,,0.5,,28000,0.53,89.2
Malicounda_IPP_HFO,Senegal,ICE,HFO,1,2022,2025,137.9,,,,137.9,,7.9,0.85,0.9,,0.5,,28000,0.15,137.9
"C6 Bel Air (120, 51\xa0\xa0)",Senegal,ICE,HFO,1,2019,2024,99,,,,99,,7.8,0.3,0.43,,0.5,,61035.6422,5.9,99
Kahoune _ CVII_Diesel,Senegal,ICE,HFO,1,1990,2025,101.4,,,,101.4,,7.9,1,1,,0.5,,17203.91833,0.6,101.4
CIV_Diesel_E,Senegal,ICE,HFO,1,1990,2025,81,,,,81,,8,0.3,0.43,,0.5,,28000,4.4,81
Karpower 125 MW,Senegal,ICE,HFO,1,2019,2024,125,,,,125,30,7.5,0.85,0.9,,0.5,,28000,4.4,125
Karpower 220 MW,Senegal,ICE,HFO,1,2019,2024,220,,,,220,30,8.3,0.85,0.9,,0.5,,28000,4.4,220
Boutoute (G805-806-807),Senegal,ICE,HFO,1,2024,2029,13.5,,,,13.5,,8.8,1,1,,0.5,,28000,4.4,13.5
Boutoute Ext (G805-806-807),Senegal,ICE,HFO,1,2030,2034,9,,,,9,,8.8,1,1,,0.5,,28000,4.4,9
Kounoune_IPP,Senegal,ICE,HFO,1,2007,2024,45,,,,45,,8.2,1,1,,0.5,,28000,4.4,45
KARPOWERSHIP_IC_IPP,SierraLeone,ICE,HFO,1,2018,2031,60,,,,50,30,9.6,1,1,,0.2,,17000,10,50
BLACKHALL ROAD NEW_IC_HFO,SierraLeone,ICE,HFO,1,2013,2043,45,,,,15,30,9.575795629,1,1,,0.2,,17000,10,15
Nouakchott_Dual_Power,Mauritania_grid,ICE,HFO,1,2015,2045,180,1,,,180,,9.75,1,1,,0.2,,17000,10,180
Nouakchott_Wharf_Plant,Mauritania_grid,ICE,HFO,1,2012,2042,20,,,,20,,9.75,1,1,,0.2,,17000,10,20
Nouadhibou_New_Plant,Mauritania_grid,ICE,HFO,1,2002,2042,35,,,,35,,9.75,1,1,,0.2,,17000,10,35
Arafat Rehab (2 gr),Mauritania_grid,ICE,HFO,1,2024,2050,14,,,,14,,9.75,1,1,,0.2,,17000,10,14
SNIM Zouerate,Mauritania_grid,ICE,HFO,1,2024,2050,128.1,,,,128.1,,9.75,1,1,,0.2,,17000,10,128.1
Reserve Akjoujt,Mauritania_grid,ICE,HFO,1,2024,2050,40,,,,40,,9.75,1,1,,0.2,,17000,10,40
Centrale d'appoint 2023,Mauritania_grid,ICE,HFO,1,2023,2050,50,,,,50,,9.75,1,1,,0.2,,17000,10,50
Rehab Wharf,Mauritania_grid,ICE,HFO,1,2024,2050,16,,,,16,,9.75,1,1,,0.2,,17000,10,16
Groupes supplementaires HFO,Mauritania_grid,ICE,HFO,1,2024,2050,56,,,,56,,9.75,1,1,,0.2,,17000,10,56
Rehab Arafat 4 gr,Mauritania_grid,ICE,HFO,1,2024,2050,28,,,,28,,9.75,1,1,,0.2,,17000,10,28
Groupes supplementaires Gaz,Mauritania_grid,ICE,HFO,3,2027,2050,56,,,,56,,9.75,1,1,,0.2,1.00E-22,17000,10,56
CIII_Vapeur,Senegal,ICE,HFO,1,1990,2024,19,,,,19,,13.4,0.3,0.43,,0.07,,17000,4.4,19
GT_Benin,Benin,OCGT,Gas,3,2030,2054,,,,9.8,,30,9,0.85,0.9,,0.2,0.89,26342.72,2.5,
AMERI_6units_IPP,Ghana,OCGT,Gas,1,2022,2046,150,,,,150,,9.8,0.85,0.9,,0.2,,7000,2.5,150
Genser,Ghana,OCGT,Gas,1,2020,2046,,,,,450,,12.7,0.85,0.9,,0.2,,7000,2.5,450
KARPOWERIII_IPP,Ghana,OCGT,Gas,1,2016,2046,470,,,,450,,12.7,0.85,0.9,,0.2,,7000,2.5,450
TT2PP,Ghana,OCGT,Gas,1,2010,2050,80,,12,10.8,70,,10.8,0.85,0.9,,0.2,,7000,2.5,70
GT_Ghana,Ghana,OCGT,Gas,3,2030,2054,1000,,12,9.8,200,30,9,0.85,0.9,,0.2,0.89,26342.72,2.5,200
Ciprel1_IPP,IvoryCoast,OCGT,Gas,1,1995,2050,105,,7,9.575795629,105,,9.8,0.85,0.9,,0.2,,7000,2.5,105
Ciprel2_IPP,IvoryCoast,OCGT,Gas,1,1997,2050,115,,,9.575795629,115,,9.8,0.85,0.9,,0.2,,7000,2.5,115
Aggreko_cot_IPP,IvoryCoast,OCGT,Gas,1,1990,2025,210,,,9,211,,9.8,0.85,0.9,,0.2,,7000,2.5,211
Aggreko_ext_cot,IvoryCoast,OCGT,Gas,1,2021,2025,40,,,10.5,40,,9.8,0.85,0.9,,0.2,,7000,2.5,40
Atinkou - TAG,IvoryCoast,OCGT,Gas,1,2023,2060,255,,,10.5,115,,9.8,0.85,0.9,,0.2,,7000,2.5,115
