g,z,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,UnitSize
Projets types de 40 MW,IvoryCoast,BiomassPlant,Biomass,3,2030,2060,40,,,,40,30,13.5,1,1,,,2.328,136000,,40
Projets types de 100 MW,IvoryCoast,BiomassPlant,Biomass,3,2030,2060,100,,,,100,30,13.5,1,1,,,2.328,136000,,311
Aboisso(Biokala),IvoryCoast,BiomassPlant,Biomass,2,2025,2054,46,,,,46,30,13.5,1,1,,,2.328,136000,,311
Aboisso,IvoryCoast,BiomassPlant,Biomass,3,2030,2054,46,,,,46,30,13.5,1,1,,,2.328,136000,,311
Sunbird Bioenergy,SierraLeone,BiomassPlant,Biomass,1,2030,2054,15.1,,,,46,30,13.5,1,1,,,2.328,136000,,311
CCGT WAE,Senegal,CCGT,Gas,1,2025,2026,129,,,6.8,129,30,6.4,1,1,,0.06,1,35000,4,129
MariaGleta3,Benin,CCGT,Gas,2,2027,2052,42,,,6.8,42,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,42
CC_GAS_LNG_BEN,Benin,CCGT,Gas,3,2030,2060,,,12,6.8,,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,
TAPCO_IPP,Ghana,CCGT,Gas,1,1997,2047,340,,12,6.8,315,,6.8,0.3,0.434,,0.07,,35000,2,315
SUNSONASOGLI_IPP,Ghana,CCGT,Gas,1,2010,2060,200,,12,6.8,200,,6.8,0.3,0.434,,0.07,,35000,2,200
SUNSONASOGLI2_IPP,Ghana,CCGT,Gas,1,2016,2066,360,,12,6.8,360,,6.8,0.3,0.434,,0.07,,35000,2,360
TICO,Ghana,CCGT,Gas,1,2001,2051,340,,12,6.8,320,,6.8,0.3,0.434,,0.07,,35000,2,320
EarlyPower_U1_IPP,Ghana,CCGT,Gas,1,2021,2068,185,,12,6.8,194,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,194
CENPOWER_IPP,Ghana,CCGT,Gas,1,2019,2068,360,,12,6.8,351,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,351
Amandi_IPP,Ghana,CCGT,Gas,1,2019,2068,210,,12,6.8,203,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,203
CENPOWER2_IPP,Ghana,CCGT,Gas,3,2050,2068,500,,12,6.8,200,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,200
CC_GAS_LNG_GHA,Ghana,CCGT,Gas,3,2030,2060,5000,,12,6.8,200,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,200
Azito_IPP,IvoryCoast,CCGT,Gas,1,2000,2050,471,,,9.575795629,474,,6.8,0.3,0.434,,0.07,,35000,2,474
Ciprel3_IPP,IvoryCoast,CCGT,Gas,1,2013,2050,115,,,10.6,115,,6.8,0.3,0.434,,0.07,,35000,2,115
Ciprel4_IPP,IvoryCoast,CCGT,Gas,1,2014,2050,115,,,9.575795629,115,,6.8,0.3,0.434,,0.07,,35000,2,115
Ciprel5_IPP,IvoryCoast,CCGT,Gas,1,2016,2066,119,,,9.575795629,115,,6.8,0.3,0.434,,0.07,,35000,2,115
AzitoIV1_IPP,IvoryCoast,CCGT,Gas,1,2022,2069,179,,,6.8,180,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,180
AzitoIV2_IPP,IvoryCoast,CCGT,Gas,1,2022,2070,74,,,6.8,72,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,72
Atinkou -  TAV,IvoryCoast,CCGT,Gas,1,2024,2060,,,,6.8,180,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,180
Centrale thermique Publique TAV,IvoryCoast,CCGT,Gas,3,2027,2060,150,,,6.8,150,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,150
Abatta1,IvoryCoast,CCGT,Gas,3,2028,2053,123,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Abatta2,IvoryCoast,CCGT,Gas,3,2028,2053,123,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Abatta3,IvoryCoast,CCGT,Gas,3,2028,2053,123,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Songon1,IvoryCoast,CCGT,Gas,3,2026,2053,124,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Songon2,IvoryCoast,CCGT,Gas,3,2026,2053,124,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Songon3,IvoryCoast,CCGT,Gas,3,2027,2053,124,,,6.8,123,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,123
Centrale thermique AKSA Taboth \x96 TAV,IvoryCoast,CCGT,Gas,3,2027,2060,250,,,6.8,250,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,250
CCGT Saint Louis,Senegal,CCGT,Gas,2,2027,2060,165.76,,,6.8,165.76,30,6.5,1,1,,0.05,1,30000,2,165.76
CCGT Saint Louis - ST,Senegal,CCGT,Gas,2,2027,2060,94,,,6.8,94,30,6.5,1,1,,0.05,1,30000,2,94
CCGT Saint Louis - Extension,Senegal,CCGT,Gas,2,2028,2060,260,,,6.8,260,30,6.5,1,1,,0.05,1,30000,2,260
CCGT WAE Cap des Biches - LNG,Senegal,CCGT,Gas,2,2027,2031,402.9,,,6.8,402.9,30,6.6,1,1,,0.05,1,30000,2,402.9
CCGT WAE Cap des Biches Ext- Dual,Senegal,CCGT,Gas,2,2032,2060,402.9,,12,6.4,402.9,30,7.4,1,1,,0.05,1,30000,0.55,402.9
Mboro_IPP_AESA,Senegal,CCGT,Gas,2,2032,2068,150,,,6.8,150,30,6.6,1,1,,0.05,1,30000,2,150
Mboro_IPP_AESA - Ext,Senegal,CCGT,Gas,2,2032,2068,150,,,6.8,150,30,6.6,1,1,,0.05,1,30000,2,150
EPC CCGT GTI2_GNL ELTON,Senegal,CCGT,Gas,2,2027,2031,272.7,,,6.8,272.7,30,6,1,1,,0.05,1,30000,2,272.7
EPC CCGT GTI2_Domestic Gas- Dual,Senegal,CCGT,Gas,2,2032,2050,272.7,,12,6.4,272.7,30,5.1,1,1,,0.05,1,30000,1.1,272.7
250 MW gas-fired combined-cycle power plant,Togo,CCGT,Gas,2,2030,2050,,,,9.9,200,30,6.4,0.85,0.9,,0.2,0.89,26342.72,2.5,200
CCGT_TOG,Togo,CCGT,Gas,3,2030,2052,,,12,6.8,200,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,200
CC_GAS_LNG_TOG,Togo,CCGT,Gas,3,2030,2060,,,12,6.8,200,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,200
CC_GAS_CAND_MAU,Mauritania_grid,CCGT,Gas,3,2030,2055,,,,,500,30,6.4,0.5,0.83,,0.05,0.996,20420.72,1.8,100
EarlyPower_U2_IPP,Ghana,CCGT,Gas,2,2027,2068,,,12,6.8,300,30,6.4,0.3,0.434,,0.07,0.996,20420.72,1.8,300
TAPCO_T3,Ghana,CCGT,Gas,1,2024,2047,132,,12,6.8,132,,6.8,0.3,0.434,,0.07,,35000,2,132
OKPAI TTP,Nigeria,CCGT,Gas,1,2005,2055,394.5,,,,394.5,,6.8,0.3,0.434,-0.2,0.07,,35000,2,394.5
Olorunsogo I TPP,Nigeria,CCGT,Gas,1,2015,2061,141,,,,141,,6.8,0.3,0.434,-0.2,0.07,,35000,2,141
AFAM TTP,Nigeria,CCGT,Gas,1,2008,2050,586.5,,,,586.5,,6.8,0.85,0.9,-0.2,0.2,,7000,2.5,586.5
Olorunsogo NIPP,Nigeria,CCGT,Gas,1,2028,2061,28,,,,28,,6.8,0.3,0.434,-0.2,0.07,,35000,2,28
AFAM TTP_Part2,Nigeria,CCGT,Gas,1,2027,2050,1031,,,,1031,,6.8,0.85,0.9,-0.2,0.2,,7000,2.5,1031
Generic Gas Plant CCGT,Nigeria,CCGT,Gas,3,2030,2060,30000,,,,500,30,6.4,0.61,0.81,,0.1,0.996,20420.72,1.8,500
CC_GAS_COT,IvoryCoast,CCGT,Gas,3,2030,2060,5000,,,6.8,200,30,6.4,0.5,0.83,,0.07,0.996,20420.72,1.8,200
DUALE Gaz,Mauritania_grid,CCGT,Gas,3,2025,2050,180,,2,6.4,180,30,9.9,0.85,0.9,,0.2,0.89,26342.72,2.5,180
