z,tech,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Mali,OnshoreWind,wet,3,0.945,0.947,0.943,0.927,0.893,0.808,0.767,0.695,0.383,0.613,0.83,0.794,0.585,0.349,0.195,0.12,0.108,0.253,0.677,0.889,0.938,0.941,0.929,0.906
Mali,OnshoreWind,wet,4,0.19,0.22,0.257,0.285,0.302,0.296,0.278,0.181,0.318,0.316,0.193,0.096,0.051,0.021,0.006,0.001,0,0,0,0.001,0.004,0.006,0.011,0.028
Mauritania_grid,OnshoreWind,dry,1,0.775,0.769,0.77,0.771,0.77,0.77,0.774,0.738,0.75,0.721,0.673,0.633,0.529,0.375,0.359,0.408,0.552,0.795,0.899,0.933,0.922,0.905,0.901,0.9
Mauritania_grid,OnshoreWind,dry,2,0.892,0.877,0.867,0.859,0.849,0.838,0.825,0.81,0.741,0.795,0.796,0.724,0.559,0.417,0.389,0.452,0.578,0.744,0.881,0.924,0.925,0.916,0.911,0.908
Mauritania_grid,OnshoreWind,dry,3,0.949,0.935,0.928,0.921,0.911,0.905,0.901,0.894,0.859,0.814,0.857,0.827,0.698,0.548,0.407,0.293,0.232,0.253,0.444,0.652,0.738,0.749,0.722,0.667
Mauritania_grid,OnshoreWind,dry,4,0.527,0.488,0.457,0.413,0.357,0.299,0.24,0.182,0.147,0.174,0.215,0.285,0.378,0.469,0.546,0.607,0.649,0.697,0.758,0.769,0.707,0.582,0.419,0.267
Mauritania_grid,OnshoreWind,wet,1,0.963,0.957,0.952,0.948,0.941,0.931,0.92,0.897,0.942,0.957,0.936,0.864,0.718,0.542,0.439,0.433,0.498,0.639,0.839,0.95,0.973,0.974,0.969,0.96
Mauritania_grid,OnshoreWind,wet,2,0.944,0.928,0.912,0.891,0.864,0.837,0.806,0.775,0.789,0.737,0.595,0.379,0.206,0.159,0.162,0.173,0.185,0.204,0.435,0.553,0.435,0.243,0.112,0.053
Mauritania_grid,OnshoreWind,wet,3,0.489,0.482,0.51,0.561,0.629,0.677,0.694,0.682,0.647,0.5,0.331,0.26,0.356,0.183,0.073,0.032,0.022,0.011,0.012,0.048,0.147,0.322,0.497,0.591
Mauritania_grid,OnshoreWind,wet,4,0.773,0.746,0.72,0.696,0.684,0.696,0.721,0.736,0.789,0.819,0.808,0.754,0.651,0.538,0.481,0.51,0.657,0.848,0.948,0.974,0.968,0.954,0.944,0.933
Niger,OnshoreWind,dry,1,0.735,0.715,0.703,0.685,0.679,0.683,0.713,0.807,0.744,0.56,0.355,0.186,0.073,0.018,0.003,0.002,0.004,0.008,0.024,0.032,0.03,0.026,0.022,0.025
Niger,OnshoreWind,dry,2,0.258,0.427,0.545,0.619,0.673,0.715,0.715,0.44,0.229,0.374,0.292,0.162,0.076,0.032,0.013,0.004,0.001,0,0,0.001,0.009,0.038,0.111,0.226
Niger,OnshoreWind,dry,3,0.893,0.903,0.899,0.895,0.898,0.902,0.868,0.713,0.905,0.935,0.885,0.818,0.743,0.683,0.655,0.663,0.715,0.825,0.884,0.913,0.928,0.936,0.938,0.927
Niger,OnshoreWind,dry,4,0.381,0.316,0.295,0.266,0.241,0.258,0.299,0.172,0.08,0.19,0.21,0.225,0.263,0.315,0.371,0.426,0.412,0.439,0.545,0.67,0.765,0.816,0.836,0.846
Niger,OnshoreWind,wet,1,0.755,0.71,0.658,0.596,0.499,0.364,0.338,0.46,0.316,0.122,0.04,0.019,0.02,0.028,0.037,0.037,0.043,0.128,0.384,0.607,0.682,0.692,0.685,0.673
Niger,OnshoreWind,wet,2,0.647,0.644,0.588,0.489,0.354,0.257,0.279,0.548,0.538,0.424,0.279,0.172,0.102,0.063,0.039,0.028,0.025,0.05,0.194,0.397,0.553,0.634,0.663,0.644
Niger,OnshoreWind,wet,3,0.925,0.917,0.91,0.904,0.9,0.895,0.875,0.709,0.528,0.831,0.556,0.238,0.082,0.031,0.021,0.03,0.096,0.3,0.612,0.806,0.883,0.909,0.915,0.914
Niger,OnshoreWind,wet,4,0.446,0.41,0.426,0.486,0.515,0.468,0.338,0.61,0.53,0.376,0.263,0.19,0.129,0.091,0.069,0.054,0.044,0.05,0.075,0.086,0.089,0.102,0.144,0.209
Nigeria,OnshoreWind,dry,1,0.863,0.862,0.865,0.857,0.834,0.779,0.869,0.883,0.784,0.598,0.364,0.176,0.088,0.058,0.056,0.063,0.066,0.071,0.065,0.054,0.04,0.027,0.017,0.021
Nigeria,OnshoreWind,dry,2,0.224,0.288,0.382,0.489,0.574,0.634,0.571,0.319,0.36,0.647,0.656,0.506,0.318,0.184,0.121,0.101,0.109,0.133,0.145,0.149,0.159,0.178,0.224,0.296
Nigeria,OnshoreWind,dry,3,0.843,0.832,0.822,0.809,0.808,0.822,0.738,0.525,0.903,0.901,0.859,0.83,0.811,0.792,0.788,0.791,0.8,0.875,0.909,0.926,0.93,0.92,0.908,0.897
Nigeria,OnshoreWind,dry,4,0.359,0.426,0.486,0.53,0.567,0.595,0.527,0.224,0.116,0.321,0.496,0.431,0.348,0.296,0.268,0.263,0.245,0.236,0.235,0.255,0.294,0.355,0.442,0.548
Nigeria,OnshoreWind,wet,1,0.625,0.596,0.553,0.51,0.452,0.428,0.582,0.623,0.472,0.261,0.112,0.037,0.004,0.001,0,0.001,0.007,0.057,0.281,0.483,0.588,0.633,0.647,0.665
Nigeria,OnshoreWind,wet,2,0.636,0.645,0.585,0.532,0.488,0.402,0.282,0.456,0.336,0.155,0.053,0.015,0.007,0.004,0.002,0.001,0,0.001,0.005,0.029,0.098,0.208,0.339,0.425
Nigeria,OnshoreWind,wet,3,0.822,0.817,0.795,0.769,0.742,0.724,0.614,0.334,0.429,0.778,0.614,0.42,0.26,0.159,0.109,0.094,0.198,0.456,0.688,0.8,0.845,0.864,0.871,0.869
Nigeria,OnshoreWind,wet,4,0.34,0.342,0.326,0.309,0.301,0.287,0.33,0.424,0.39,0.313,0.223,0.144,0.09,0.059,0.045,0.036,0.034,0.054,0.08,0.096,0.105,0.125,0.179,0.295
Senegal,OnshoreWind,dry,1,0.811,0.796,0.777,0.76,0.744,0.726,0.713,0.626,0.662,0.727,0.782,0.798,0.796,0.779,0.754,0.731,0.754,0.846,0.925,0.917,0.828,0.738,0.689,0.68
Senegal,OnshoreWind,dry,2,0.369,0.464,0.52,0.49,0.426,0.372,0.33,0.283,0.166,0.098,0.112,0.088,0.053,0.037,0.033,0.023,0.01,0.004,0.006,0.042,0.106,0.147,0.171,0.194
Senegal,OnshoreWind,dry,3,0.774,0.754,0.737,0.729,0.728,0.727,0.738,0.746,0.607,0.611,0.77,0.825,0.767,0.614,0.435,0.28,0.189,0.234,0.59,0.765,0.804,0.818,0.824,0.804
Senegal,OnshoreWind,dry,4,0.624,0.612,0.577,0.459,0.226,0.024,0,0.025,0.061,0.043,0.058,0.091,0.137,0.192,0.257,0.304,0.331,0.355,0.392,0.459,0.47,0.435,0.394,0.363
Senegal,OnshoreWind,wet,1,0.796,0.777,0.733,0.67,0.61,0.577,0.543,0.447,0.506,0.452,0.465,0.524,0.48,0.486,0.551,0.595,0.653,0.729,0.789,0.769,0.638,0.545,0.525,0.531
Senegal,OnshoreWind,wet,2,0.424,0.385,0.358,0.279,0.216,0.223,0.278,0.318,0.345,0.305,0.278,0.28,0.331,0.346,0.291,0.208,0.153,0.111,0.112,0.163,0.189,0.203,0.215,0.226
Senegal,OnshoreWind,wet,3,0.825,0.804,0.785,0.767,0.743,0.736,0.746,0.775,0.789,0.671,0.67,0.87,0.865,0.804,0.653,0.444,0.246,0.111,0.127,0.297,0.509,0.638,0.67,0.662
Senegal,OnshoreWind,wet,4,0.109,0.05,0.028,0.02,0.019,0.021,0.022,0.017,0.013,0.013,0.007,0.001,0,0,0,0,0.003,0.011,0.028,0.08,0.134,0.149,0.141,0.138
SierraLeone,OnshoreWind,dry,1,0.199,0.122,0.071,0.048,0.036,0.029,0.025,0.019,0.046,0.055,0.049,0.042,0.042,0.047,0.057,0.077,0.121,0.22,0.374,0.521,0.519,0.477,0.411,0.31
SierraLeone,OnshoreWind,dry,2,0.172,0.158,0.148,0.134,0.117,0.102,0.085,0.058,0.036,0.046,0.044,0.035,0.029,0.031,0.042,0.065,0.099,0.137,0.19,0.246,0.26,0.26,0.263,0.244
SierraLeone,OnshoreWind,dry,3,0.118,0.069,0.057,0.078,0.087,0.053,0.026,0.01,0.02,0.02,0.009,0.004,0,0,0,0,0,0.003,0.016,0.083,0.191,0.284,0.309,0.263
SierraLeone,OnshoreWind,dry,4,0.354,0.241,0.128,0.05,0.016,0.007,0.008,0.013,0.01,0.01,0.014,0.015,0.015,0.011,0.005,0.001,0,0,0,0.001,0.008,0.028,0.059,0.087
SierraLeone,OnshoreWind,wet,1,0.341,0.321,0.341,0.36,0.315,0.295,0.263,0.161,0.072,0.05,0.043,0.041,0.051,0.076,0.093,0.104,0.103,0.085,0.065,0.056,0.047,0.041,0.033,0.032
SierraLeone,OnshoreWind,wet,2,0.172,0.173,0.191,0.192,0.178,0.176,0.201,0.19,0.283,0.442,0.485,0.496,0.52,0.567,0.61,0.63,0.588,0.511,0.536,0.596,0.61,0.663,0.576,0.328
SierraLeone,OnshoreWind,wet,3,0.397,0.34,0.3,0.289,0.319,0.392,0.5,0.607,0.502,0.179,0.048,0.029,0.024,0.016,0.009,0.006,0.007,0.009,0.008,0.009,0.009,0.006,0.007,0.025
SierraLeone,OnshoreWind,wet,4,0.409,0.397,0.42,0.474,0.513,0.491,0.429,0.314,0.201,0.26,0.343,0.439,0.522,0.608,0.689,0.754,0.754,0.704,0.739,0.78,0.704,0.607,0.515,0.442
Togo,OnshoreWind,dry,1,0.356,0.353,0.348,0.33,0.279,0.194,0.091,0.041,0.026,0.023,0.038,0.07,0.114,0.175,0.254,0.331,0.381,0.411,0.435,0.417,0.39,0.364,0.345,0.338
Togo,OnshoreWind,dry,2,0.457,0.452,0.444,0.437,0.422,0.392,0.344,0.245,0.25,0.214,0.135,0.077,0.05,0.031,0.022,0.023,0.045,0.089,0.176,0.241,0.264,0.259,0.247,0.225
Togo,OnshoreWind,dry,3,0.279,0.279,0.271,0.249,0.209,0.173,0.132,0.151,0.224,0.224,0.194,0.157,0.125,0.114,0.115,0.13,0.169,0.293,0.403,0.387,0.332,0.304,0.299,0.301
Togo,OnshoreWind,dry,4,0.432,0.411,0.39,0.379,0.364,0.356,0.318,0.26,0.279,0.224,0.132,0.069,0.046,0.049,0.066,0.092,0.108,0.149,0.22,0.281,0.32,0.305,0.278,0.255
Togo,OnshoreWind,wet,1,0.199,0.171,0.132,0.115,0.116,0.12,0.108,0.082,0.101,0.096,0.086,0.089,0.11,0.141,0.165,0.203,0.261,0.313,0.4,0.448,0.474,0.486,0.465,0.441
Togo,OnshoreWind,wet,2,0.328,0.299,0.271,0.249,0.237,0.24,0.215,0.246,0.262,0.248,0.235,0.231,0.247,0.282,0.33,0.388,0.417,0.424,0.474,0.5,0.5,0.504,0.503,0.519
Togo,OnshoreWind,wet,3,0.087,0.101,0.112,0.117,0.11,0.094,0.072,0.034,0.014,0.004,0.001,0,0,0,0.001,0.008,0.015,0.05,0.114,0.161,0.181,0.175,0.161,0.145
