g,q,d1,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18
SolarPV_Cand_North,Q1,d1,0.04,0.23,0.42,0.52,0.57,0.59,0.6,0.59,0.56,0.47,0.3
SolarPV_Cand_North,Q2,d1,0.064,0.368,0.672,0.832,0.912,0.944,0.96,0.944,0.896,0.752,0.48
