g,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
PV_CAND_Ghana,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_GuineaBissau,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Liberia,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Mali,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Niger,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_SierraLeone,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Togo,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
PV_CAND_Mauritania_grid,1,0.955,0.909,0.864,0.818,0.773,0.727,0.682,0.671,0.66,0.65,0.639,0.628,0.618,0.607,0.597,0.586,0.575,0.565,0.554,0.543,0.533,0.522,0.511,0.501,0.49,0.479,0.469
Storage_CAND_2027_Benin,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
Storage_CAND_2027_Burkina,1,0.962,0.862,0.831,0.799,0.768,0.737,0.705,0.694,0.684,0.673,0.662,0.651,0.641,0.63,0.619,0.608,0.598,0.587,0.576,0.566,0.555,0.544,0.534,0.523,0.513,0.502,0.492
