z,c
WestMed,Turkiye
WestAna,Turkiye
EastMed,Turkiye
EastAna,Turkiye
SouthEast,Turkiye
NorthWest,Turkiye
CenterAna,Turkiye
CenterBlack,Turkiye
Trakia,Turkiye
Armenia,Armenia
Georgia,Georgia
AzerbaijanMain,Azerbaijan
Nakhchivan,Azerbaijan
