scenario,attribute,year,value
LC_Iso,External interconnection capex: $m,2025,0.0
LC_Iso,External interconnection capex: $m,2026,0.0
LC_Iso,External interconnection capex: $m,2027,0.0
LC_Iso,External interconnection capex: $m,2028,0.0
LC_Iso,External interconnection capex: $m,2029,0.0
LC_Iso,External interconnection capex: $m,2030,0.0
LC_Iso,External interconnection capex: $m,2031,0.0
LC_Iso,External interconnection capex: $m,2032,0.0
LC_Iso,External interconnection capex: $m,2033,0.0
LC_Iso,External interconnection capex: $m,2034,0.0
LC_Iso,External interconnection capex: $m,2035,0.0
LC_Iso,External interconnection capex: $m,2036,0.0
LC_Iso,External interconnection capex: $m,2037,0.0
LC_Iso,External interconnection capex: $m,2038,0.0
LC_Iso,External interconnection capex: $m,2039,0.0
LC_Iso,External interconnection capex: $m,2040,0.0
LC_Baseline,External interconnection capex: $m,2025,0.0
LC_Baseline,External interconnection capex: $m,2026,0.0
LC_Baseline,External interconnection capex: $m,2027,0.0
LC_Baseline,External interconnection capex: $m,2028,0.0
LC_Baseline,External interconnection capex: $m,2029,0.0
LC_Baseline,External interconnection capex: $m,2030,0.0
LC_Baseline,External interconnection capex: $m,2031,0.0
LC_Baseline,External interconnection capex: $m,2032,0.0
LC_Baseline,External interconnection capex: $m,2033,0.0
LC_Baseline,External interconnection capex: $m,2034,0.0
LC_Baseline,External interconnection capex: $m,2035,0.0
LC_Baseline,External interconnection capex: $m,2036,0.0
LC_Baseline,External interconnection capex: $m,2037,0.0
LC_Baseline,External interconnection capex: $m,2038,0.0
LC_Baseline,External interconnection capex: $m,2039,0.0
LC_Baseline,External interconnection capex: $m,2040,0.0
LC_60pct,External interconnection capex: $m,2025,0.0
LC_60pct,External interconnection capex: $m,2026,0.0
LC_60pct,External interconnection capex: $m,2027,2.5708
LC_60pct,External interconnection capex: $m,2028,5.9093
LC_60pct,External interconnection capex: $m,2029,9.8878
LC_60pct,External interconnection capex: $m,2030,14.3781
LC_60pct,External interconnection capex: $m,2031,19.2524
LC_60pct,External interconnection capex: $m,2032,24.3826
LC_60pct,External interconnection capex: $m,2033,29.6408
LC_60pct,External interconnection capex: $m,2034,34.8989
LC_60pct,External interconnection capex: $m,2035,40.029
LC_60pct,External interconnection capex: $m,2036,44.9036
LC_60pct,External interconnection capex: $m,2037,49.3937
LC_60pct,External interconnection capex: $m,2038,53.3721
LC_60pct,External interconnection capex: $m,2039,56.7106
LC_60pct,External interconnection capex: $m,2040,59.2815
LC_BSSC,External interconnection capex: $m,2025,0.0
LC_BSSC,External interconnection capex: $m,2026,0.0
LC_BSSC,External interconnection capex: $m,2027,0.0
LC_BSSC,External interconnection capex: $m,2028,0.0
LC_BSSC,External interconnection capex: $m,2029,0.0
LC_BSSC,External interconnection capex: $m,2030,0.0
LC_BSSC,External interconnection capex: $m,2031,254.2712
LC_BSSC,External interconnection capex: $m,2032,254.2712
LC_BSSC,External interconnection capex: $m,2033,254.2712
LC_BSSC,External interconnection capex: $m,2034,254.2712
LC_BSSC,External interconnection capex: $m,2035,254.2712
LC_BSSC,External interconnection capex: $m,2036,254.2712
LC_BSSC,External interconnection capex: $m,2037,254.2712
LC_BSSC,External interconnection capex: $m,2038,254.2712
LC_BSSC,External interconnection capex: $m,2039,254.2712
LC_BSSC,External interconnection capex: $m,2040,254.2712
LC_GECO,External interconnection capex: $m,2025,0.0
LC_GECO,External interconnection capex: $m,2026,0.0
LC_GECO,External interconnection capex: $m,2027,0.0
LC_GECO,External interconnection capex: $m,2028,0.0
LC_GECO,External interconnection capex: $m,2029,0.0
LC_GECO,External interconnection capex: $m,2030,0.0
LC_GECO,External interconnection capex: $m,2031,254.2712
LC_GECO,External interconnection capex: $m,2032,254.2712
LC_GECO,External interconnection capex: $m,2033,254.2712
LC_GECO,External interconnection capex: $m,2034,254.2712
LC_GECO,External interconnection capex: $m,2035,254.2712
LC_GECO,External interconnection capex: $m,2036,1017.0848
LC_GECO,External interconnection capex: $m,2037,1017.0848
LC_GECO,External interconnection capex: $m,2038,1017.0848
LC_GECO,External interconnection capex: $m,2039,1017.0848
LC_GECO,External interconnection capex: $m,2040,1017.0848
LC_EWTC,External interconnection capex: $m,2025,0.0
LC_EWTC,External interconnection capex: $m,2026,0.0
LC_EWTC,External interconnection capex: $m,2027,0.0
LC_EWTC,External interconnection capex: $m,2028,0.0
LC_EWTC,External interconnection capex: $m,2029,0.0
LC_EWTC,External interconnection capex: $m,2030,0.0
LC_EWTC,External interconnection capex: $m,2031,0.0
LC_EWTC,External interconnection capex: $m,2032,0.0
LC_EWTC,External interconnection capex: $m,2033,18.1622
LC_EWTC,External interconnection capex: $m,2034,36.3245
LC_EWTC,External interconnection capex: $m,2035,36.3245
LC_EWTC,External interconnection capex: $m,2036,36.3245
LC_EWTC,External interconnection capex: $m,2037,36.3245
LC_EWTC,External interconnection capex: $m,2038,36.3245
LC_EWTC,External interconnection capex: $m,2039,36.3245
LC_EWTC,External interconnection capex: $m,2040,36.3245
LC_TransCaspian,External interconnection capex: $m,2025,0.0
LC_TransCaspian,External interconnection capex: $m,2026,0.0
LC_TransCaspian,External interconnection capex: $m,2027,0.0
LC_TransCaspian,External interconnection capex: $m,2028,0.0
LC_TransCaspian,External interconnection capex: $m,2029,0.0
LC_TransCaspian,External interconnection capex: $m,2030,0.0
