scenario,z,zext,family,phase,commissioning,mw,capex_musd,life,annuity_musd_per_yr
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2027,58.977,23.5908,30.0,1.7138
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2028,76.59,30.636,30.0,2.2257
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2029,91.272,36.5088,30.0,2.6523
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2030,103.015,41.206,30.0,2.9936
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2031,111.822,44.7288,30.0,3.2495
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2032,117.694,47.0776,30.0,3.4201
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2033,120.63,48.252,30.0,3.5055
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2034,120.63,48.252,30.0,3.5055
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2035,117.69,47.076,30.0,3.42
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2036,111.83,44.732,30.0,3.2497
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2037,103.01,41.204,30.0,2.9934
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2038,91.27,36.508,30.0,2.6523
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2039,76.59,30.636,30.0,2.2257
LC_60pct,Trakia,Bulgaria,Reinforce60,Reinforce60,2040,58.98,23.592,30.0,1.7139
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2027,29.488,11.7952,30.0,0.8569
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2028,38.296,15.3184,30.0,1.1129
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2029,45.636,18.2544,30.0,1.3262
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2030,51.507,20.6028,30.0,1.4968
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2031,55.911,22.3644,30.0,1.6247
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2032,58.847,23.5388,30.0,1.7101
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2033,60.315,24.126,30.0,1.7527
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2034,60.313,24.1252,30.0,1.7527
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2035,58.848,23.5392,30.0,1.7101
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2036,55.914,22.3656,30.0,1.6248
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2037,51.505,20.602,30.0,1.4967
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2038,45.636,18.2544,30.0,1.3262
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2039,38.293,15.3172,30.0,1.1128
LC_60pct,Trakia,Greece,Reinforce60,Reinforce60,2040,29.491,11.7964,30.0,0.857
LC_BSSC,Georgia,Romania,BSSC_GECO,BSSC,2031,1300.0,3500.0,30.0,254.2712
LC_GECO,Georgia,Romania,BSSC_GECO,BSSC,2031,1300.0,3500.0,30.0,254.2712
LC_GECO,Georgia,Romania,BSSC_GECO,GECO,2036,3900.0,10500.0,30.0,762.8136
LC_EWTC,Trakia,Bulgaria,EWTC,EWTC,2033,775.0,250.0,30.0,18.1622
LC_EWTC,Trakia,Greece,EWTC,EWTC,2034,775.0,250.0,30.0,18.1622
LC_TransCaspian,AzerbaijanMain,Kazakhstan,TransCaspian,TransCaspian,2035,1000.0,2000.0,30.0,145.2978
LC_AllProjects,AzerbaijanMain,Kazakhstan,TransCaspian,TransCaspian,2035,1000.0,2000.0,30.0,145.2978
LC_AllProjects,Georgia,Romania,BSSC_GECO,BSSC,2031,1300.0,3500.0,30.0,254.2712
LC_AllProjects,Georgia,Romania,BSSC_GECO,GECO,2036,3900.0,10500.0,30.0,762.8136
LC_AllProjects,Trakia,Bulgaria,EWTC,EWTC,2033,775.0,250.0,30.0,18.1622
LC_AllProjects,Trakia,Greece,EWTC,EWTC,2034,775.0,250.0,30.0,18.1622
