z,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Benin,dry,1,0.7106274349392269,0.6832892373923065,0.681210252617134,0.6822813274835323,0.6991003868083581,0.6310989392857747,0.56948785031669,0.550794838351708,0.5875392535878511,0.5968336937133705,0.584740508547725,0.6008005651780243,0.5933116258821758,0.6200786109884896,0.6395238901468422,0.6438789909554347,0.6632714237221814,0.7674938744065153,0.8492989067685587,0.8592350101063131,0.8511357897291545,0.8240616788528002,0.8048838019104834,0.8234894489697356
Benin,dry,2,0.6487198689782653,0.635703535402495,0.6354885766908376,0.5953819496175509,0.6253558566342814,0.6508517126981765,0.5681122274079747,0.5891221496234562,0.5902514169394334,0.6147282610832849,0.5895670434354311,0.5923156992711097,0.6104016114764452,0.6323959105642964,0.6908025633773169,0.7151675329820659,0.7183510453715649,0.7409903060369123,0.8426982200221614,0.8360855259214828,0.8262296396116802,0.7870397780757924,0.7142535834473017,0.6969003421791099
Benin,dry,3,0.7482038080079395,0.7358670023151604,0.7227764542607564,0.7112946352426182,0.7224949903375915,0.7222505331592415,0.6481672180507541,0.736383110538147,0.7940919043115976,0.7961522387933403,0.8516037443271419,0.8134878454049211,0.7556343315895905,0.7985092926237781,0.8188252257263419,0.8373304685774,0.826269764306996,0.8098742968045298,0.8772804541188616,0.9238603333851598,0.8750379471734849,0.8827477612828861,0.8491004867924551,0.8207975396965831
Benin,dry,4,0.7937670964002453,0.7509975045388443,0.7463918790320216,0.715322821875766,0.7136263114975712,0.7099296786797202,0.6458709250254211,0.6549599583017518,0.7155245758847626,0.7474636281644693,0.740990744675394,0.7497202685019903,0.6005260097005121,0.7855146479965764,0.8148059780360317,0.8623430910187246,0.813868471340771,0.8526563065735867,0.8836129037608891,0.9015024752779252,0.8927553805792003,0.8613378207684712,0.8919240580901472,0.8911989053555763
Benin,wet,1,0.7523726758416297,0.7164386440649358,0.684329691762865,0.6831368038403559,0.6925700779479828,0.6361323206769383,0.6377101785991194,0.7111282225325837,0.7522601506123826,0.7703697730065916,0.7457789579221754,0.7510425834621639,0.7268791726725197,0.7980408485084347,0.8435540362220291,0.766661312415125,0.7518528074324444,0.7212331189361153,0.8001711430799088,0.8049810466959471,0.7971549771827727,0.8079286487592158,0.7742162551435288,0.7419733938746517
Benin,wet,2,0.6035701483691236,0.5850763138797752,0.5828834115864138,0.5765340553194698,0.570849273272514,0.5724349062078602,0.547196963125605,0.6366670144745558,0.699607131767506,0.758365687466687,0.7151108982680241,0.7476703450282283,0.6886563296243557,0.6086767785196014,0.6508601112641839,0.7365016435468634,0.6983619310040873,0.7069711288897542,0.6979363360104376,0.7647896285517001,0.7971567564549088,0.8067293585322132,0.7421257273549268,0.6945293733134088
Benin,wet,3,0.6029303637773832,0.5485049704290613,0.5561215866330158,0.5224565209126116,0.5341999316829884,0.4826538805335805,0.4909037180398573,0.5080305174744798,0.4706953765619843,0.4798429397297735,0.4663216952255481,0.5336793774850226,0.51446909801429,0.51483109815047,0.5298256053516022,0.509863564732695,0.5412933384175015,0.5796991098993465,0.669710176985998,0.7096501962268585,0.6861187742824881,0.6845257566710256,0.6432693437098332,0.6069515281212626
Benin,wet,4,0.7516454274140344,0.7582114528527226,0.7428646953360809,0.7499440651842484,0.7548417078823693,0.7278857548808598,0.6945383922666334,0.6968971913971403,0.7571951342075399,0.8139244232742133,0.7785391581503525,0.7839887050166559,0.7448783979023788,0.5438636488837534,0.7712343905791786,0.7988898185055184,0.8075387580182181,0.910580509328029,0.9271879125543036,0.9135729864503906,0.8450446940126376,0.8097730484225665,0.7680439195871278,0.7377110224432062
Burkina,dry,1,0.510268884410597,0.4882163388754943,0.4714187866174567,0.460110183569653,0.4539206858602882,0.4612010250963913,0.4598351094414632,0.4462744606535154,0.4636597612286204,0.4429091452802578,0.4446631551288351,0.4403989564334033,0.4514843778344343,0.4551995276904657,0.4624147814414016,0.467027715202628,0.4865166402256882,0.4911623366128942,0.5191013805379007,0.5816562277024494,0.5860470792338822,0.5645363263861175,0.5306650483248733,0.5055119270250985
Burkina,dry,2,0.5625606740745382,0.5323165925109914,0.5161292166763964,0.51259437120495,0.5066240972412329,0.5110026353024991,0.5238721905773368,0.5199061537666575,0.5461272487200037,0.5861849461230709,0.5799479536002058,0.5789325320782389,0.5755122458560225,0.6029565521403999,0.6097203852796861,0.6344550684771865,0.6275472117136282,0.6111348951650939,0.6077044943066692,0.6655560356343031,0.6746906515474843,0.662288788255588,0.6245180980526027,0.5788305061825714
