z,q,d,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Benin,dry,1,0.625222,0.591474,0.59325,0.595027,0.609236,0.589698,0.568384,0.635879,0.587922,0.591474,0.634103,0.671403,0.641208,0.674956,0.751332,0.753108,0.719361,0.708703,0.801066,0.824156,0.847247,0.850799,0.774423,0.737123
Benin,dry,2,0.662522,0.662522,0.667851,0.685613,0.687389,0.676732,0.642984,0.765542,0.772647,0.78508,0.740675,0.724689,0.678508,0.671403,0.761989,0.811723,0.78508,0.804618,0.850799,0.83659,0.811723,0.811723,0.781528,0.751332
Benin,dry,3,0.667851,0.660746,0.685613,0.694494,0.683837,0.676732,0.648313,0.706927,0.722913,0.714032,0.699822,0.678508,0.685613,0.714032,0.811723,0.806394,0.790409,0.772647,0.884547,0.845471,0.850799,0.849023,0.793961,0.790409
Benin,dry,4,0.712256,0.690941,0.694494,0.662522,0.651865,0.650089,0.676732,0.738899,0.781528,0.788632,0.78508,0.763766,0.708703,0.701599,0.776199,0.804618,0.808171,0.861456,0.833037,0.898757,1.0,0.920071,0.85968,0.808171
Benin,wet,1,0.692718,0.719361,0.698046,0.708703,0.703375,0.749556,0.662522,0.69627,0.730018,0.824156,0.79929,0.763766,0.721137,0.818828,0.735346,0.875666,0.808171,0.813499,0.900533,0.909414,0.905861,0.912966,0.866785,0.815275
Benin,wet,2,0.587922,0.575488,0.536412,0.511545,0.515098,0.529307,0.449378,0.650089,0.683837,0.632327,0.699822,0.680284,0.609236,0.591474,0.698046,0.746004,0.687389,0.689165,0.792185,0.811723,0.786856,0.78508,0.719361,0.671403
Benin,wet,3,0.738899,0.751332,0.705151,0.685613,0.699822,0.701599,0.678508,0.744227,0.772647,0.689165,0.753108,0.765542,0.717584,0.714032,0.735346,0.761989,0.738899,0.804618,0.847247,0.854352,0.818828,0.813499,0.817052,0.777975
Benin,wet,4,0.577265,0.552398,0.563055,0.57016,0.561279,0.536412,0.534636,0.642984,0.639432,0.653641,0.515098,0.685613,0.589698,0.669627,0.714032,0.690941,0.664298,0.639432,0.568384,0.55595,0.730018,0.712256,0.653641,0.648313
Burkina,dry,1,0.980368,0.936196,0.919018,0.872393,0.851534,0.86135,0.777914,0.780368,0.878528,0.917791,0.939877,0.939877,0.958282,0.93865,0.948466,0.947239,0.933742,0.887117,0.841718,0.892025,0.899387,0.882209,0.882209,0.88589
Burkina,dry,2,0.704294,0.683436,0.646626,0.633129,0.618405,0.625767,0.614724,0.639264,0.727607,0.779141,0.823313,0.845399,0.852761,0.82454,0.865031,0.840491,0.844172,0.758282,0.788957,0.811043,0.82454,0.825767,0.793865,0.744785
Burkina,dry,3,0.634356,0.614724,0.588957,0.588957,0.569325,0.581595,0.593865,0.565644,0.606135,0.63681,0.644172,0.656442,0.647853,0.666258,0.689571,0.705521,0.692025,0.66135,0.694479,0.769325,0.781595,0.780368,0.758282,0.706748
Burkina,dry,4,0.755828,0.732515,0.667485,0.688344,0.692025,0.657669,0.611043,0.651534,0.748466,0.796319,0.793865,0.850307,0.806135,0.78773,0.844172,0.887117,0.809816,0.730061,0.769325,0.829448,0.847853,0.840491,0.814724,0.780368
Burkina,wet,1,0.878528,0.847853,0.828221,0.803681,0.776687,0.776687,0.730061,0.746012,0.87362,0.882209,0.931288,0.944785,0.932515,0.96319,0.991411,1.0,0.984049,0.911656,0.866258,0.905521,0.933742,0.974233,0.991411,0.976687
Burkina,wet,2,0.683436,0.63681,0.61227,0.58773,0.564417,0.569325,0.533742,0.55092,0.619632,0.677301,0.721472,0.753374,0.757055,0.766871,0.785276,0.811043,0.809816,0.757055,0.728834,0.77546,0.802454,0.818405,0.806135,0.771779
Burkina,wet,3,0.631902,0.622086,0.606135,0.57546,0.584049,0.596319,0.596319,0.606135,0.644172,0.715337,0.687117,0.71411,0.706748,0.68589,0.722699,0.737423,0.737423,0.728834,0.755828,0.823313,0.793865,0.764417,0.720245,0.71411
Burkina,wet,4,0.642945,0.618405,0.606135,0.581595,0.565644,0.553374,0.531288,0.539877,0.633129,0.695706,0.721472,0.719018,0.732515,0.739877,0.76319,0.795092,0.753374,0.748466,0.68589,0.757055,0.761963,0.786503,0.77546,0.734969
Gambia,dry,1,0.603333,0.603333,0.643333,0.57,0.57,0.57,0.603333,0.603333,0.636667,0.653333,0.673333,0.653333,0.623333,0.61,0.61,0.616667,0.59,0.63,0.666667,0.823333,0.856667,0.863333,0.836667,0.823333
Gambia,dry,2,0.92,0.953333,0.893333,0.85,0.816667,0.803333,0.76,0.713333,0.733333,0.753333,0.776667,0.823333,0.783333,0.603333,0.713333,0.77,0.746667,0.746667,0.796667,0.9,1.0,0.953333,0.966667,0.933333
Gambia,dry,3,0.526667,0.506667,0.486667,0.513333,0.55,0.693333,0.576667,0.57,0.583333,0.623333,0.506667,0.576667,0.603333,0.583333,0.636667,0.63,0.61,0.726667,0.816667,0.836667,0.816667,0.726667,0.66,0.59
Gambia,dry,4,0.85,0.856667,0.87,0.823333,0.803333,0.81,0.79,0.77,0.746667,0.77,0.77,0.713333,0.713333,0.726667,0.706667,0.59,0.74,0.746667,0.823333,0.863333,0.906667,0.926667,0.933333,0.94
Gambia,wet,1,0.783333,0.726667,0.7,0.666667,0.666667,0.68,0.68,0.66,0.686667,0.733333,0.636667,0.636667,0.583333,0.726667,0.706667,0.7,0.706667,0.616667,0.686667,0.816667,0.893333,0.876667,0.81,0.823333
Gambia,wet,2,0.92,0.883333,0.63,0.64,0.653333,0.616667,0.63,0.616667,0.57,0.41,0.41,0.506667,0.596667,0.563333,0.613333,0.666667,0.706667,0.72,0.77,0.81,0.92,0.973333,0.96,0.926667
Gambia,wet,3,0.726667,0.66,0.59,0.583333,0.603333,0.59,0.59,0.576667,0.576667,0.556667,0.55,0.513333,0.66,0.526667,0.543333,0.583333,0.636667,0.653333,0.733333,0.836667,0.863333,0.87,0.836667,0.713333
