z,type,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
Mali,Energy,3446.095232,3605.554652,3773.872928,3946.620632,4132.656621,4323.122039,4522.446314,4735.058873,4952.10086,5102.701423,5253.301986,5412.761406,5572.220825,5740.539101,5913.286806,6090.463938,6304.809896,6526.699481,6756.398182,6994.180829,7240.331928,7468.965843,7704.81952,7948.120942,8199.105294,8458.015184,
Niger,Peak,350,374.1657387,400,430.886938,464.1588834,500,531.3292846,564.6216173,600,640,680,722.84,768.37892,816.786792,868.2443599,922.9437545,981.0892111,1042.897831,1108.600395,1178.44222,1252.684079,1331.603176,1415.494177,1504.67031,1599.464539,1700.230805,
Niger,Energy,1741.25,1861.47455,1990,2143.662517,2309.190445,2487.5,2643.363191,2808.992546,2985,3184,3383,3596.129,3822.685127,4063.51429,4319.51569,4591.645179,4880.918825,5188.416711,5515.286964,5862.750043,6232.103295,6624.725803,7042.083528,7485.734791,7957.336082,8458.648256,
Nigeria,Peak,5800,6256.549298,6749.041786,7280.300092,7707.984349,8160.787407,8568.393888,8996.32847,9445.704667,9918.473287,10414.80697,10880.06584,11366.04125,11873.76903,12343.08489,12830.873,13282.49349,13749.91033,14233.81409,14734.80899,15253.32663,15734.98609,16231.924,16744.48564,17273.1889,17818.63804,
Nigeria,Energy,36581.76,39461.30773,42567.55635,45918.30874,48615.79889,51471.71833,54042.57393,56741.64293,59575.94848,62557.79471,65688.27049,68622.75127,71687.89538,74890.236,77850.30501,80926.88216,83775.34291,86723.43445,89775.51223,92935.38726,96205.7817,99243.70428,102377.9911,105610.8198,108945.457,112385.7138,
Senegal,Peak,1472.247134,1655.486437,1703.972337,1750.43243,1828.079966,1873.224652,1923.934003,1981.948427,2040.364885,2101.575831,2164.623106,2229.561799,2296.448653,2365.342113,2436.302376,2509.391448,2584.673191,2662.213387,2742.079788,2824.342182,2909.072447,2996.344621,3086.234959,3178.822008,3274.186668,3372.412268,
Senegal,Energy,9191.59586,10335.60326,10638.31249,10928.37413,11413.14652,11694.99574,12011.58651,12373.78463,12738.49274,13120.64752,13514.26695,13919.69496,14337.28581,14767.40438,15210.42651,15666.73931,16136.74149,16620.84373,17119.46904,17633.05312,18162.04471,18706.90605,19268.11323,19846.15663,20441.54133,21054.78757,
SierraLeone,Peak,150,155.3571429,163.3928571,170.0892857,178.125,186.1607143,194.1964286,203.5714286,212.9464286,219.6428571,226.3392857,233.0357143,239.7321429,247.7678571,254.4642857,262.5,271.7383461,281.3018238,291.2018757,301.450347,312.0594999,321.9136594,332.0789918,342.5653232,353.3827901,364.5418491,
SierraLeone,Energy,995.1308824,1030.671271,1083.981854,1128.40734,1181.717923,1235.028506,1288.339089,1350.534769,1412.730449,1457.155935,1501.581421,1546.006907,1590.432392,1643.742975,1688.168461,1741.479044,1802.768134,1866.214214,1931.893197,1999.883665,2070.26697,2135.641493,2203.080401,2272.648882,2344.414185,2418.445679,
Togo,Peak,385,426.25,449.9305556,502.6388889,520.2083333,537.0138889,553.0555556,570.625,586.6666667,603.4722222,619.5138889,637.8472222,656.9444444,676.8055556,697.4305556,718.0555556,743.326587,769.4869996,796.5680938,824.602272,853.6230766,880.5786345,908.3853902,937.0702226,966.6608597,997.1859046,
Togo,Energy,2475.821765,2741.088382,2893.37107,3232.322859,3345.306789,3453.378374,3556.537614,3669.521544,3772.680784,3880.752369,3983.911609,4101.807884,4224.616503,4352.337467,4484.970776,4617.604085,4780.114656,4948.344575,5122.495127,5302.774681,5489.39894,5662.742204,5841.559272,6026.022993,6216.311677,6412.609263,
Mauritania_grid,Peak,439.9751661,472.4119182,507.240039,544.63583,596.1437086,652.5228449,708.2992435,768.8433015,834.5625492,923.8379529,1022.663387,1126.261759,1240.354907,1366.005978,1504.385818,1656.783884,1715.092239,1775.45268,1837.937428,1902.621245,1969.581526,2031.776621,2095.935702,2162.120788,2230.395854,2300.826898,
Mauritania_grid,Energy,2918.882575,3134.074426,3365.131092,3613.222192,3954.935681,4328.966061,4698.99776,5100.659057,5536.653589,6128.924336,6784.55188,7471.844044,8228.760632,9062.354774,9980.394099,10991.43312,11378.26231,11778.70545,12193.24167,12622.36696,13066.59475,13479.20936,13904.85344,14343.93843,14796.88877,15264.14229,
Mauritania_Nema,Peak,27.84589173,28.92502842,30.00416511,31.0833018,32.16243849,33.24157518,34.32071187,35.39984856,36.47898525,37.55812194,38.63725863,39.71639532,40.79553201,41.8746687,42.95380539,44.03294209,45.11207878,46.19121547,47.27035216,48.34948885,49.42862554,50.50776223,51.58689892,52.66603561,53.7451723,54.82430899,
Mauritania_Nema,Energy,121.5333728,126.243264,130.9531552,135.6630465,140.3729377,145.082829,149.7927202,154.5026115,159.2125027,163.922394,168.6322852,173.3421765,178.0520677,182.761959,187.4718502,192.1817414,196.8916327,201.6015239,206.3114152,211.0213064,215.7311977,220.4410889,225.1509802,229.8608714,234.5707627,239.2806539,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
