z,type,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CEN,Energy,59023.290702,61284,62509.68,63759.8736,65035.071072,66335.772493,67662.487943,69015.737702,70396.052456,71803.973505,73240.052975,74704.854035,76198.951116,77722.930138,79277.388741,80862.936516,82480.195246,84129.799151,85307.616339,86501.922968,87712.949889,88940.931188,90186.104224,91448.709683,92728.991619,94027.197502,95343.578267,96678.388362,97946.584842,99244.99148,100543.398117,101841.804755,103140.211393,104438.618031,105737.024669,107035.431306,108333.837944,109632.244582
CEN,Peak,8840.157582,9012,9219.276,9431.319348,9648.239693,9870.149206,10097.162638,10329.397378,10566.973518,10810.013909,11058.644229,11312.993046,11573.191886,11839.3753,12111.680931,12390.249593,12675.225334,12966.755516,13175.52028,13387.646157,13603.18726,13822.198575,14044.735972,14270.856221,14500.617006,14734.07694,14971.295578,15212.333437,15439.595726,15673.103307,15906.610888,16140.118469,16373.62605,16607.133631,16840.641212,17074.148793,17307.656374,17541.163955
NES,Energy,61406.027161,63758,65479.466,67247.411582,69063.091695,70927.79517,72842.84564,74809.602472,76829.461739,78903.857206,81034.261351,83222.186407,85469.18544,87776.853447,90146.82849,92580.792859,95080.474266,97647.647072,99493.187601,101373.608847,103289.570054,105241.742928,107230.81187,109257.474214,111322.440477,113426.434602,115570.194216,117754.470886,119793.015965,121897.600228,124002.184492,126106.768755,128211.353018,130315.937281,132420.521545,134525.105808,136629.690071,138734.274334
NES,Peak,10840.277568,11051,11349.377,11655.810179,11970.517054,12293.721014,12625.651482,12966.544072,13316.640762,13676.190062,14045.447194,14424.674268,14814.140473,15214.122266,15624.903567,16046.775964,16480.038915,16924.999965,17244.882465,17570.810743,17902.899066,18241.263859,18586.023746,18937.299594,19295.214557,19659.894112,20031.466111,20410.06082,20763.396271,21128.178113,21492.959955,21857.741797,22222.523639,22587.305482,22952.087324,23316.869166,23681.651008,24046.43285
NOR,Energy,27069.196013,28106,28724.332,29356.267304,30002.105185,30662.151499,31336.718832,32026.126646,32730.701432,33450.776864,34186.693955,34938.801222,35707.454849,36493.018855,37295.86527,38116.374306,38954.934541,39811.943101,40425.047024,41047.592749,41679.725677,42321.593452,42973.345992,43635.13552,44307.116607,44989.446203,45682.283674,46385.790843,47050.786304,47733.243399,48415.700494,49098.157588,49780.614683,50463.071778,51145.528872,51827.985967,52510.443062,53192.900157
NOR,Peak,5741.393956,5853,5987.619,6125.334237,6266.216924,6410.339914,6557.777732,6708.60662,6862.904572,7020.751377,7182.228659,7347.419918,7516.410576,7689.288019,7866.141644,8047.062901,8232.145348,8421.484691,8557.070595,8694.839431,8834.826346,8977.06705,9121.59783,9268.455555,9417.677689,9569.3023,9723.368067,9879.914293,10027.513735,10179.169291,10330.824848,10482.480404,10634.13596,10785.791516,10937.447072,11089.102628,11240.758184,11392.41374
NTE,Energy,31532.252098,32740,33427.54,34129.51834,34846.238225,35578.009228,36325.147422,37087.975518,37866.823003,38662.026286,39473.928838,40302.881344,41149.241852,42013.375931,42895.656826,43796.465619,44716.191397,45655.231416,46326.363318,47007.360859,47698.369064,48399.535089,49111.008255,49832.940076,50565.484295,51308.796914,52063.036229,52828.362862,53553.642183,54297.081443,55040.520704,55783.959964,56527.399224,57270.838485,58014.277745,58757.717005,59501.156266,60244.595526
NTE,Peak,5387.277568,5492,5623.808,5758.779392,5896.990097,6038.51786,6183.442288,6331.844903,6483.809181,6639.420601,6798.766696,6961.937096,7129.023587,7300.120153,7475.323037,7654.730789,7838.444328,8026.566992,8161.413318,8298.525061,8437.940282,8579.697679,8723.8366,8870.397055,9019.419726,9170.945977,9325.017869,9481.67817,9629.008887,9780.568788,9932.128689,10083.688591,10235.248492,10386.808393,10538.368294,10689.928195,10841.488096,10993.047998
OCC,Energy,74644.95011,77504,79441.6,81427.64,83463.331,85549.914275,87688.662132,89880.878685,92127.900652,94431.098169,96791.875623,99211.672513,101691.964326,104234.263434,106840.12002,109511.123021,112248.901096,115055.123624,117068.588287,119117.288582,121201.841132,123322.873352,125481.023636,127676.941549,129911.288027,132184.735567,134497.968439,136851.682887,139059.589131,141333.584116,143607.5791,145881.574085,148155.56907,150429.564055,152703.55904,154977.554024,157251.549009,159525.543994
OCC,Peak,11376.847275,11598,11911.146,12232.746942,12563.031109,12902.232949,13250.593239,13608.359256,13975.784956,14353.13115,14740.665691,15138.663665,15547.407584,15967.187589,16398.301654,16841.055798,17295.764305,17762.749941,18098.465915,18440.526921,18789.052879,19144.165979,19505.990716,19874.65394,20250.2849,20633.015284,21022.979273,21420.313582,21791.138354,22173.976088,22556.813823,22939.651558,23322.489292,23705.327027,24088.164762,24471.002496,24853.840231,25236.677966
