z,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
CEN,Q1,d1,0.71515109088754114,0.70822936619961674,0.66832119485430475,0.67237083060457858,0.6957199672085338,0.69169104913377333,0.76720669612855164,0.77342572112648422,0.81517216056352482,0.82985271287465945,0.85339937907186814,0.86512495662600086,0.87243239801025052,0.87899504268097561,0.89253010033991442,0.90924987149686154,0.91612904099083614,0.89364299163173933,0.89832193142720806,0.97955478703760468,0.96143183409200794,0.92753305733573777,0.86178526407721245,0.78137167531616625
CEN,Q1,d2,0.725559627342928,0.67992123138839522,0.67028666338025122,0.66274605279121179,0.65647165894494652,0.65947998497242888,0.69274353402841504,0.71186246922296903,0.7432811683482391,0.7749030334931889,0.80586580421287535,0.81478125863397577,0.81332580122874387,0.81340774744987943,0.80367931381253921,0.79951801355894403,0.7902847028294987,0.79054228298199725,0.82638526985457861,0.869506360087413,0.85084426033632421,0.82079982942292107,0.794417208118957,0.7396851317767833
CEN,Q1,d3,0.73620868233568482,0.69076609260243005,0.67709036383386079,0.67212052884964624,0.68290092060193541,0.71173116153516347,0.74766397190402234,0.76311135032051625,0.78809857408144612,0.8386455729859642,0.87425733148224882,0.8845196150564254,0.88055003702790269,0.89529374592159272,0.90728925213497491,0.88656968579648432,0.90805310943557516,0.91184896412663186,0.89961741758470348,0.95891619243596149,0.9368830759317005,0.90335733711018629,0.86663279663177006,0.79894782628912375
CEN,Q1,d4,0.63067453408222918,0.59201310374835459,0.58202020809930555,0.58301889518174066,0.58301375646328013,0.62291949159787141,0.68530351859193284,0.72021664278852615,0.75859298413896692,0.79271584925538807,0.81876456084337013,0.84321900915849279,0.84386953091290506,0.85001972801578352,0.85964913288521616,0.87621886137062444,0.88906146654189644,0.87540901841229102,0.86914418683846328,0.91540854242671954,0.90957757265483019,0.87091042681943176,0.81028704059172318,0.74365406906444342
CEN,Q1,d5,0.63218805005197365,0.60209556473674541,0.58810210059821555,0.56671086805684723,0.55621443032777063,0.57063949332501107,0.56125237339107936,0.57448637005978287,0.59583688125173884,0.62184677626986051,0.66321250981343749,0.66864801455751144,0.68159087416070052,0.67978372211979077,0.70775835305633905,0.71054773874508348,0.70756426788129789,0.7217387151489546,0.74026910253379818,0.8028803471687026,0.8181114075162319,0.79169110343975935,0.74830159511460925,0.70534679748582529
CEN,Q2,d1,0.76574435221263337,0.73807185094300409,0.71356739460600349,0.69833600632939397,0.71046479827088527,0.74457917328015988,0.76454358406736922,0.81010169786641884,0.8623123147185433,0.88007529107488103,0.92314166366606698,0.93148958332171661,0.92052044861493576,0.94332757077825025,0.93544352076112547,0.96852986833823007,0.96776393531632376,0.95984975536135919,0.92805182253487994,1,0.99915715365433222,0.97001545451843263,0.92279712765244015,0.85078581104780104
CEN,Q2,d2,0.72476627154239814,0.69188453543123873,0.67264260241131857,0.67653093426589128,0.67637750997107027,0.6921595935059961,0.72663592430770274,0.75722232430985259,0.79375263309172372,0.82839063525576018,0.84483477039201771,0.86990878372379776,0.88188008249156014,0.88836647085955378,0.90206032410558989,0.90577629085378131,0.90344903398855014,0.89272280170075136,0.88354852285723762,0.93721728450503583,0.93359065052237067,0.90082109522840348,0.84063077423731403,0.78725828837349077
CEN,Q2,d3,0.73896574258976822,0.70587475283929968,0.69370943518003381,0.68034096200528438,0.67840085100247682,0.692426704533467,0.68665742264048624,0.72756967212928403,0.75872056831998103,0.8040385101166464,0.80495970709225695,0.81718201929082801,0.83947370089769757,0.83343725564813731,0.8388922756610967,0.82483850978360074,0.83020650765189419,0.82178153977967017,0.82829511718960236,0.87093446797477325,0.86561265926630193,0.8511360741916425,0.81416601135020916,0.7514268546052103
CEN,Q2,d4,0.72193482604193149,0.68701518512701887,0.66822777344109652,0.66115129064751732,0.66176660188908332,0.68884577828282523,0.71646714587330795,0.75658644075140813,0.79152715634264148,0.83404899339302319,0.85908485415318681,0.87638187584674088,0.87622485828646535,0.88520144357218544,0.89241381924634899,0.90295278193477946,0.91706942763199006,0.90256783622065362,0.8845492286803941,0.91683395245781629,0.89483382771219877,0.86769067026172431,0.82847578401833966,0.77955610991746926
CEN,Q2,d5,0.67987618532887772,0.64684194358946978,0.62424697177234023,0.61233236868652974,0.61729180878404621,0.6182638405814499,0.62501757138786118,0.66469099551504296,0.70032871506351857,0.73798449040343628,0.76252483636882518,0.77374393792424367,0.776019057554313,0.76533219885066361,0.75893708175095087,0.75676282124471983,0.75676815183657842,0.75392424154245286,0.76506075381013494,0.80325170940911539,0.81617376179587209,0.7898731402050212,0.74704158344124094,0.69857516314707213
