z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CEN,Energy,55143.03002,56245.89062,57370.80843,58518.2246,59688.58909,60882.36088,62100.00809,63342.00826,64608.84842,65901.02539,67219.0459,68563.42681,69934.69535,71333.38926,72760.05704,74215.25818,75699.56335,76759.35723,77833.98824,78923.66407,80028.59537,81148.9957,82285.08164,83437.07279,84605.19181,85789.66449,86990.71979,88131.8365,89300.13616,90468.43582,91636.73548,92805.03513,93973.33479,95141.63445,96309.93411,97478.23376,98646.53342
CEN,Peak,8108.951546,8295.457432,8486.252953,8681.43677,8881.109816,9085.375342,9294.338975,9508.108771,9726.795273,9950.511564,10179.37333,10413.49892,10653.00939,10898.02861,11148.68327,11405.10298,11667.42035,11855.26582,12046.1356,12240.07838,12437.14364,12637.38165,12840.8435,13047.58108,13257.64713,13471.09525,13687.97989,13892.46933,14102.57826,14312.68719,14522.79612,14732.90505,14943.01397,15153.1229,15363.23183,15573.34076,15783.44969
NES,Energy,57369.12258,58918.08889,60508.87729,62142.61697,63820.46763,65543.62026,67313.29801,69130.75705,70997.28749,72914.21425,74882.89804,76904.73629,78981.16417,81113.6556,83303.7243,85552.92486,87862.85383,89523.46176,91215.45519,92939.42729,94695.98247,96485.73654,98309.31696,100167.3631,102060.5262,103989.4702,105954.8711,107789.1436,109682.8378,111576.5319,113470.2261,115363.9202,117257.6144,119151.3086,121045.0027,122938.6969,124832.3911
NES,Peak,9943.633326,10212.11143,10487.83843,10771.01007,11061.82734,11360.49668,11667.23009,11982.24531,12305.76593,12638.02161,12979.24819,13329.68789,13689.58947,14059.20838,14438.80701,14828.6548,15229.02848,15516.85712,15810.12571,16108.93709,16413.396,16723.60919,17039.6854,17361.73545,17689.87225,18024.21084,18364.86842,18682.79786,19011.02669,19339.25553,19667.48437,19995.71321,20323.94204,20652.17088,20980.39972,21308.62856,21636.85739
NOR,Energy,25289.63517,25846.00714,26414.6193,26995.74093,27589.64723,28196.61946,28816.94509,29450.91789,30098.83808,30761.01252,31437.75479,32129.3854,32836.23188,33558.62898,34296.91881,35051.45103,35822.58295,36374.25073,36934.41419,37503.20417,38080.75351,38667.19712,39262.67195,39867.3171,40481.27378,41104.6854,41737.69756,42336.05707,42950.12848,43564.19989,44178.27129,44792.3427,45406.4141,46020.48551,46634.55692,47248.62832,47862.69973
NOR,Peak,5266.499489,5387.628978,5511.544444,5638.309966,5767.991096,5900.654891,6036.369953,6175.206462,6317.236211,6462.532644,6611.170895,6763.227825,6918.782065,7077.914053,7240.706076,7407.242316,7577.608889,7699.608392,7823.572087,7949.531598,8077.519056,8207.567113,8339.708944,8473.978258,8610.409308,8749.036897,8889.896392,9022.705615,9159.16451,9295.623404,9432.082299,9568.541193,9705.000087,9841.458982,9977.917876,10114.37677,10250.83566
NTE,Energy,29459.28469,30077.92967,30709.56619,31354.46708,32012.91089,32685.18202,33371.57084,34072.37383,34787.89368,35518.43945,36264.32667,37025.87753,37803.42096,38597.2928,39407.83595,40235.40051,41080.34392,41684.22497,42296.98308,42918.74873,43549.65434,44189.83426,44839.42482,45498.56436,46167.39326,46846.05394,47534.69093,48187.29356,48856.23641,49525.17926,50194.1221,50863.06495,51532.0078,52200.95064,52869.89349,53538.83634,54207.77919
NTE,Peak,4941.673534,5060.273699,5181.720268,5306.081554,5433.427512,5563.829772,5697.361686,5834.098367,5974.116728,6117.495529,6264.315422,6414.658992,6568.610808,6726.257467,6887.687646,7052.99215,7222.263961,7343.597996,7466.970442,7592.415546,7719.968127,7849.663591,7981.53794,8115.627777,8251.970324,8390.603425,8531.565563,8664.132989,8800.505814,8936.878639,9073.251463,9209.624288,9345.997112,9482.369937,9618.742761,9755.115586,9891.488411
OCC,Energy,69737.70313,71481.14571,73268.17435,75099.87871,76977.37568,78901.81007,80874.35532,82896.21421,84968.61956,87092.83505,89270.15593,91501.90982,93789.45757,96134.19401,98537.54886,101000.9876,103526.0123,105337.7175,107181.1275,109056.7973,110965.2912,112907.1838,114883.0595,116893.5131,118939.1496,121020.5847,123138.4449,125125.1077,127171.2367,129217.3658,131263.4949,133309.6239,135355.753,137401.8821,139448.0111,141494.1402,143540.2693
OCC,Peak,10435.82113,10717.5883,11006.96319,11304.15119,11609.36327,11922.81608,12244.73212,12575.33988,12914.87406,13263.57566,13621.6922,13989.47789,14367.1938,14755.10803,15153.49594,15562.64033,15982.83162,16284.90714,16592.69189,16906.29376,17225.82272,17551.39076,17883.11205,18221.10287,18565.48171,18916.36932,19273.8887,19607.55493,19952.03037,20296.50581,20640.98124,20985.45668,21329.93212,21674.40755,22018.88299,22363.35843,22707.83387
ORI,Energy,51910.06698,53000.17839,54113.18213,55249.55896,56409.7997,57594.40549,58803.88801,60038.76965,61299.58382,62586.87508,63901.19945,65243.12464,66613.23026,68012.1081,69440.36237,70898.60998,72387.48079,73451.57675,74531.31493,75626.92526,76738.64106,77866.69909,79011.33956,80172.80625,81351.34651,82547.2113,83760.65531,84910.60332,86089.34437,87268.08541,88446.82646,89625.5675,90804.30855,91983.04959,93161.79064,94340.53168,95519.27273
ORI,Peak,7933.491543,8108.028356,8286.40498,8468.70589,8655.017419,8845.427803,9040.027214,9238.907813,9442.163785,9649.891388,9862.188999,10079.15716,10300.89861,10527.51838,10759.12379,10995.82451,11237.73265,11410.79373,11586.51996,11764.95236,11946.13263,12130.10307,12316.90666,12506.58702,12699.18846,12894.75597,13093.33521,13281.04373,13473.68116,13666.31859,13858.95602,14051.59345,14244.23088,14436.86831,14629.50574,14822.14317,15014.7806
PEN,Energy,15102.15743,15676.03941,16271.72891,16890.05461,17531.87668,18198.088,18889.61534,19607.42072,20352.50271,21125.89781,21928.68193,22761.97184,23626.92677,24524.74999,25456.69049,26424.04473,27428.15843,28157.74744,28906.74353,29675.6629,30465.03554,31275.40548,32107.33127,32961.38628,33838.15915,34738.25419,35662.29175,36500.86865,37378.12502,38255.38139,39132.63776,40009.89413,40887.1505,41764.40687,42641.66325,43518.91962,44396.17599
PEN,Peak,2550.018717,2654.569485,2763.406834,2876.706514,2994.651481,3117.432192,3245.246912,3378.302035,3516.812418,3661.001728,3811.102798,3967.358013,4130.019692,4299.350499,4475.623869,4659.124448,4850.14855,4989.347814,5132.542096,5279.846054,5431.377636,5587.258174,5747.612484,5912.568962,6082.259691,6256.820544,6436.391294,6598.116576,6767.916019,6937.715462,7107.514905,7277.314349,7447.113792,7616.913235,7786.712678,7956.512121,8126.311564
SIBC,Energy,12349.73129,12757.27242,13178.26241,13613.14507,14062.37886,14526.43736,15005.80979,15501.00152,16012.53457,16540.94821,17086.7995,17650.66388,18233.13579,18834.82927,19456.37864,20098.43913,20761.68762,21241.28261,21731.95624,22233.96442,22747.569,23273.03785,23810.64502,24360.67092,24923.40242,25499.13301,26088.16299,26629.55749,27192.52381,27755.49013,28318.45645,28881.42277,29444.38908,30007.3554,30570.32172,31133.28804,31696.25436
SIBC,Peak,2572.260251,2654.572579,2739.518901,2827.183506,2917.653379,3011.018287,3107.370872,3206.80674,3309.424555,3415.326141,3524.616578,3637.404308,3753.801246,3873.922886,3997.888418,4125.820848,4257.847115,4353.22289,4450.735083,4550.431549,4652.361215,4756.574107,4863.121367,4972.055285,5083.429324,5197.29814,5313.717619,5420.994832,5532.412601,5643.830371,5755.24814,5866.665909,5978.083678,6089.501447,6200.919216,6312.336986,6423.754755
SIBCS,Energy,2520.382733,2606.075746,2694.682322,2786.30152,2881.035772,2978.990988,3080.276682,3185.006089,3293.296296,3405.26837,3521.047495,3640.76311,3764.549056,3892.543723,4024.89021,4161.736477,4303.235517,4405.652523,4510.507053,4617.857121,4727.76212,4840.282858,4955.481591,5073.422052,5194.169497,5317.790731,5444.354151,5560.386613,5681.187508,5801.988403,5922.789298,6043.590193,6164.391088,6285.191983,6405.992878,6526.793774,6647.594669
SIBCS,Peak,498.6005865,515.0544058,532.0512012,549.6088908,567.7459842,586.4816017,605.8354946,625.8280659,646.4803921,667.814245,689.8521151,712.6172349,736.1336036,760.4260126,785.520071,811.4422333,838.219827,857.582705,877.3928655,897.6606407,918.3966015,939.611563,961.3165901,983.5230033,1006.242385,1029.486584,1053.267724,1075.125658,1097.85452,1120.583382,1143.312244,1166.041106,1188.769968,1211.49883,1234.227692,1256.956553,1279.685415
