z,g,uni,y,value
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2028,0.46851874596551024
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2029,0.5306432462517856
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2030,0.20968527871500012
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2031,0.1119030271799998
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2032,0.021999293404721555
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2033,0.3014927026497314
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2034,0.44797901890391656
South_Africa,DrakensbergPH_HY_ZAF,Variable Cost: $m,2035,0.3841296695837975
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2025,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2026,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2027,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2028,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2029,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2030,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2031,129.375
South_Africa,Duvha_TH_ZAF,Fixed O&M: $m,2032,129.375
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2025,763.6150984245918
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2026,734.1847304334453
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2027,706.0425640573052
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2028,581.7448685905205
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2029,502.00933914803284
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2030,485.85677785138364
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2031,464.4038783550058
South_Africa,Duvha_TH_ZAF,Variable Cost: $m,2032,449.3421564940213
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2025,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2026,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2027,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2028,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2029,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2030,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2031,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2032,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2033,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2034,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Fixed O&M: $m,2035,1.76
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2025,0.07843703999999989
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2026,0.0784370399999999
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2027,0.07843703999999992
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2028,0.07843703999999989
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2029,0.07843703999999994
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2030,0.07843703999999996
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2031,0.07843703999999999
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2032,0.07843703999999994
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2033,0.07843703999999997
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2034,0.07843703999999997
South_Africa,ExistingHydro1985_HY_ZAF,Variable Cost: $m,2035,0.07843703999999997
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2025,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2026,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2027,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2028,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2029,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2030,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2031,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2032,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2033,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2034,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Fixed O&M: $m,2035,0.76
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2025,0.03387054000000001
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2026,0.03387053999999999
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2027,0.03387054
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2028,0.03387053999999999
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2029,0.03387054
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2030,0.03387053999999998
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2031,0.03387053999999998
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2032,0.03387054
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2033,0.03387054000000002
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2034,0.03387054000000002
South_Africa,ExistingHydro2015_HY_ZAF,Variable Cost: $m,2035,0.03387054000000001
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2025,34.35
South_Africa,ExistingSolarPV(PV)_REN_ZAF,Fixed O&M: $m,2026,34.35
