uni,value
Generation costs: $m,31696.005655546305
Fixed O&M: $m,32397.14165032589
Variable O&M: $m,6260.498357551681
Fuel costs: $m,80935.88897021844
Transmission costs: $m,1148.6859244801253
Unmet demand costs: $m,21130.50983945746
Unmet country spinning reserve costs: $m,122.05691053324095
Unmet country planning reserve costs: $m,341.60610721877026
Unmet system planning reserve costs: $m,104.83765863847711
Import costs with internal zones: $m,61886.434963316795
Export revenues with internal zones: $m,-26477.469564455972
Trade shared benefits: $m,-35408.965398860775
NPV of system cost: $m,174137.23107396945
