z,g,y,value
South_Africa,ExistingSolarPV(PV)_REN_ZAF,2034,0.21231609589041098
South_Africa,ExistingSolarPV(PV)_REN_ZAF,2035,0.21231609589041098
South_Africa,ExistingWind_REN_ZAF,2025,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2026,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2027,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2028,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2029,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2030,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2031,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2032,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2033,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2034,0.3645898401826483
South_Africa,ExistingWind_REN_ZAF,2035,0.3645898401826483
South_Africa,Gariep_HY_ZAF,2025,0.36999999999999994
South_Africa,Gariep_HY_ZAF,2026,0.36999999999999994
South_Africa,Gariep_HY_ZAF,2027,0.3700000000000002
South_Africa,Gariep_HY_ZAF,2028,0.3699999999999999
South_Africa,Gariep_HY_ZAF,2029,0.36999999999999994
South_Africa,Gariep_HY_ZAF,2030,0.36999999999999994
South_Africa,Gariep_HY_ZAF,2031,0.37000000000000005
South_Africa,Gariep_HY_ZAF,2032,0.36999999999999994
South_Africa,Gariep_HY_ZAF,2033,0.3699999999999999
South_Africa,Gariep_HY_ZAF,2034,0.3699999999999999
South_Africa,Gariep_HY_ZAF,2035,0.36999999999999994
South_Africa,Gourikwa_TH_ZAF,2025,0.08316961751960569
South_Africa,Gourikwa_TH_ZAF,2033,0.00022831050228310502
South_Africa,Gourikwa_TH_ZAF,2034,0.003577222062412149
South_Africa,Gourikwa_TH_ZAF,2035,0.0033459344650277846
South_Africa,Grootvlei_TH_ZAF,2025,0.66
South_Africa,Grootvlei_TH_ZAF,2026,0.49364383561643843
South_Africa,Grootvlei_TH_ZAF,2027,0.49364383561643843
South_Africa,Grootvlei_TH_ZAF,2028,0.3293039743556101
South_Africa,Grootvlei_TH_ZAF,2029,0.3276827340460117
South_Africa,Grootvlei_TH_ZAF,2030,0.3277328767123288
South_Africa,Hendrina_TH_ZAF,2025,0.38893150684931543
South_Africa,Hendrina_TH_ZAF,2026,0.3889315068493155
South_Africa,Hendrina_TH_ZAF,2027,0.2130592093104976
South_Africa,Hendrina_TH_ZAF,2028,0.0001084474885844749
South_Africa,Hendrina_TH_ZAF,2029,0.00012230689851768024
South_Africa,Hendrina_TH_ZAF,2030,0.0002226027397260274
South_Africa,Ingula_HY_ZAF,2026,1.1275633199519645e-05
South_Africa,Ingula_HY_ZAF,2027,0.0020024560062561216
South_Africa,Ingula_HY_ZAF,2028,0.008400184466210858
South_Africa,Ingula_HY_ZAF,2029,0.01249574101760268
South_Africa,Ingula_HY_ZAF,2030,0.0070175463001283
South_Africa,Ingula_HY_ZAF,2031,0.0026110473412267713
South_Africa,Ingula_HY_ZAF,2032,0.00022831050228310502
South_Africa,Ingula_HY_ZAF,2033,0.006312439497333934
South_Africa,Ingula_HY_ZAF,2034,0.008983041851425014
South_Africa,Ingula_HY_ZAF,2035,0.011033713347754288
South_Africa,JohannesburgLandfillGas_TH_ZAF,2025,0.21191780821917805
South_Africa,JohannesburgLandfillGas_TH_ZAF,2026,0.21191780821917794
South_Africa,JohannesburgLandfillGas_TH_ZAF,2033,0.0050456621004566216
South_Africa,JohannesburgLandfillGas_TH_ZAF,2034,0.007671232876712329
South_Africa,JohannesburgLandfillGas_TH_ZAF,2035,0.007671232876712329
