z,tech,f,y,value
South_Africa,Storage,Water,2026,20.637812849999985
South_Africa,Storage,Water,2027,137.05576184999995
South_Africa,Storage,Water,2028,271.5271133492431
South_Africa,Storage,Water,2029,314.1143315210425
South_Africa,Storage,Water,2030,155.4443175000001
South_Africa,Storage,Water,2031,74.97624091490991
South_Africa,Storage,Water,2032,14.772657149499375
South_Africa,Storage,Water,2033,163.21980493727943
South_Africa,Storage,Water,2034,233.32041566591968
South_Africa,Storage,Water,2035,249.6242085766194
South_Africa,Storage,Battery,2029,78.9004628999999
South_Africa,Storage,Battery,2030,346.3636488
South_Africa,Storage,Battery,2031,561.1151479333333
South_Africa,Storage,Battery,2032,724.4366645333334
South_Africa,Storage,Battery,2033,1045.1408519747138
South_Africa,Storage,Battery,2034,1478.326700194392
South_Africa,Storage,Battery,2035,1488.7369732256932
South_Africa,OCGT,HFO,2025,1524.5692128867595
South_Africa,OCGT,HFO,2033,4.134
South_Africa,OCGT,HFO,2034,89.2456318905225
South_Africa,OCGT,HFO,2035,87.11481872324491
South_Africa,OCGT,Gas,2025,636.7452000000001
South_Africa,OCGT,Gas,2026,358.2852
South_Africa,OCGT,Gas,2033,26.770699247066823
South_Africa,OCGT,Gas,2034,70.00288970716922
South_Africa,OCGT,Gas,2035,70.0896
South_Africa,CCGT,Gas,2034,1383.010780992172
South_Africa,CCGT,Gas,2035,1382.4027651936249
South_Africa,ST,Coal,2025,210531.60194594876
South_Africa,ST,Coal,2026,202549.08701279535
South_Africa,ST,Coal,2027,189751.4718286924
South_Africa,ST,Coal,2028,174226.73694147295
South_Africa,ST,Coal,2029,164477.74791981268
South_Africa,ST,Coal,2030,163269.9568656024
South_Africa,ST,Coal,2031,157445.13829288553
South_Africa,ST,Coal,2032,135645.92143687306
South_Africa,ST,Coal,2033,125176.2452556526
South_Africa,ST,Coal,2034,117362.51954198256
South_Africa,ST,Coal,2035,117756.8958079575
South_Africa,ST,Biomass,2025,305.2860000000002
South_Africa,ST,Biomass,2026,305.2860000000001
South_Africa,ST,Biomass,2027,305.28600000000006
South_Africa,ST,Biomass,2028,305.2860000000001
South_Africa,ST,Biomass,2029,305.2860000000001
South_Africa,ST,Biomass,2030,305.2860000000001
South_Africa,ST,Biomass,2031,305.28600000000006
South_Africa,ST,Biomass,2032,305.2860000000001
South_Africa,ST,Biomass,2033,305.28600000000006
South_Africa,ST,Biomass,2034,305.2860000000001
South_Africa,ST,Biomass,2035,305.2860000000001
South_Africa,ST,Uranium,2025,14664.240000000002
South_Africa,ST,Uranium,2026,14664.240000000002
South_Africa,ST,Uranium,2027,14664.240000000009
South_Africa,ST,Uranium,2028,14664.240000000003
South_Africa,ST,Uranium,2029,14664.240000000002
South_Africa,ST,Uranium,2030,14664.239999999994
South_Africa,ST,Uranium,2031,14664.239999999998
South_Africa,ST,Uranium,2032,14664.239999999998
South_Africa,ST,Uranium,2033,14664.240000000003
South_Africa,ST,Uranium,2034,14664.240000000009
South_Africa,ST,Uranium,2035,14664.240000000003
South_Africa,ReservoirHydro,Water,2025,2148.915600000001
South_Africa,ReservoirHydro,Water,2026,2148.915600000001
South_Africa,ReservoirHydro,Water,2027,2148.915600000005
South_Africa,ReservoirHydro,Water,2028,2148.915600000002
South_Africa,ReservoirHydro,Water,2029,2148.9156000000016
South_Africa,ReservoirHydro,Water,2030,2148.915600000001
South_Africa,ReservoirHydro,Water,2031,2148.915600000002
South_Africa,ReservoirHydro,Water,2032,2148.9156
South_Africa,ReservoirHydro,Water,2033,2148.9156000000007
South_Africa,ReservoirHydro,Water,2034,2148.9156000000016
South_Africa,ReservoirHydro,Water,2035,2148.915600000001
South_Africa,PV,Solar,2025,5468.073660000002
South_Africa,PV,Solar,2026,10580.908521000008
South_Africa,PV,Solar,2027,16288.907861999996
South_Africa,PV,Solar,2028,20938.63036199997
South_Africa,PV,Solar,2029,25588.35286199999
South_Africa,PV,Solar,2030,30238.075362000007
South_Africa,PV,Solar,2031,34750.16607600007
South_Africa,PV,Solar,2032,38150.043168000055
South_Africa,PV,Solar,2033,40939.876668000055
South_Africa,PV,Solar,2034,43729.71016800005
South_Africa,PV,Solar,2035,46519.54366799999
South_Africa,OnshoreWind,Wind,2025,17288.077290999998
South_Africa,OnshoreWind,Wind,2026,26754.521239000114
South_Africa,OnshoreWind,Wind,2027,37932.845739
South_Africa,OnshoreWind,Wind,2028,50858.18266799978
South_Africa,OnshoreWind,Wind,2029,59749.741355999606
South_Africa,OnshoreWind,Wind,2030,66137.3553559996
South_Africa,OnshoreWind,Wind,2031,72524.96935599961
South_Africa,OnshoreWind,Wind,2032,78912.5833559997
South_Africa,OnshoreWind,Wind,2033,85300.1973559998
South_Africa,OnshoreWind,Wind,2034,91365.80841652118
South_Africa,OnshoreWind,Wind,2035,91365.80841652118
South_Africa,OffshoreWind,Wind,2033,3090.5248846248005
South_Africa,OffshoreWind,Wind,2034,7888.484434624805
South_Africa,OffshoreWind,Wind,2035,12686.443984624808
South_Africa,EnergyBalance,HFO,2025,1524.5692128867595
South_Africa,EnergyBalance,HFO,2033,4.134
South_Africa,EnergyBalance,HFO,2034,89.2456318905225
South_Africa,EnergyBalance,HFO,2035,87.11481872324491
South_Africa,EnergyBalance,Solar,2025,5468.073660000002
South_Africa,EnergyBalance,Solar,2026,10580.908521000008
South_Africa,EnergyBalance,Solar,2027,16288.907861999996
South_Africa,EnergyBalance,Solar,2028,20938.63036199997
South_Africa,EnergyBalance,Solar,2029,25588.35286199999
South_Africa,EnergyBalance,Solar,2030,30238.075362000007
South_Africa,EnergyBalance,Solar,2031,34750.16607600007
South_Africa,EnergyBalance,Solar,2032,38150.043168000055
South_Africa,EnergyBalance,Solar,2033,40939.876668000055
South_Africa,EnergyBalance,Solar,2034,43729.71016800005
South_Africa,EnergyBalance,Solar,2035,46519.54366799999
South_Africa,EnergyBalance,Water,2025,2148.915600000001
South_Africa,EnergyBalance,Water,2026,2169.5534128500008
