uni,value
Generation costs: $m,8.879782500787941
Fixed O&M: $m,9.076208990761984
Variable O&M: $m,1.7539075543378873
Fuel costs: $m,22.67456342524035
Transmission costs: $m,0.32180967160179635
Unmet demand costs: $m,5.919810008372733
Unmet country spinning reserve costs: $m,0.034194807700119706
Unmet country planning reserve costs: $m,0.09570253002881864
Unmet system planning reserve costs: $m,0.029370754684940232
Import costs with internal zones: $m,17.337770828143796
Export revenues with internal zones: $m,-7.417785491922391
Trade shared benefits: $m,-9.919985336221393
NPV of system cost: $m,48.785350243516305
