Type of fuel,Hydrogen index
Biomass,0
Gas,0
GasCCS,0
Coal,0
Coke,0
Geothermal,0
Diesel,0
GasResidual,0
LicorNegro,0
Biogas,0
HFO,0
Import,0
Uranium,0
Solar,0
ChemReaction,0
Steam,0
Water,0
Battery,0
Wind,0
Hydrogen,1
