zone,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Angola,Peak,1299.0,1349.0,1374.0,1460.0,1483.5,1507.0,1532.0,1557.0,1582.5,1608.5,1635.0,1661.5,1688.0,1714.5,1741.0,1768.0,1795.0
Burundi,Peak,51.0,51.0,59.6,68.2,76.8,85.4,94.0,102.8,111.6,120.4,129.2,138.0,146.3,154.6,162.9,171.2,179.5
Cameroon,Peak,761.5,804.5,851.0,901.0,955.0,1012.5,1072.5,1138.5,1209.5,1285.5,1366.5,1452.0,1544.5,1644.0,1750.5,1863.5,1982.5
CAR,Peak,38.9,40.0,41.9,43.8,45.7,47.6,49.5,53.8,58.1,62.4,67.7,73.0,75.1,77.2,79.3,81.4,83.5
Chad,Peak,35.0,37.0,38.5,40.5,42.0,43.5,45.5,47.0,48.5,50.5,52.0,54.0,55.5,57.5,59.5,61.0,63.0
Congo,Peak,257.0,268.0,279.5,291.5,303.5,316.0,328.5,342.0,355.5,369.5,383.5,398.5,413.5,429.0,445.0,461.5,478.5
EquatorialGuinea,Peak,67.0,71.0,75.0,79.0,83.0,87.0,91.0,95.5,99.5,104.0,108.5,113.0,117.5,122.0,126.5,131.0,136.0
Gabon,Peak,286.5,297.5,309.0,320.0,331.5,343.0,355.0,366.5,378.5,390.5,402.5,415.0,427.5,440.0,453.0,466.0,479.0
Rwanda,Peak,118.5,128.5,139.5,151.5,164.5,178.5,194.0,211.5,231.5,254.0,279.5,307.5,341.0,379.5,424.0,475.0,532.5
STP,Peak,14.5,15.5,16.5,17.5,18.0,18.5,19.5,20.0,21.0,21.5,22.0,23.0,23.5,24.5,25.0,25.5,26.5
Angola,Energy,8383.0,8485.5,8597.0,8717.5,8847.5,8987.5,9137.5,9299.0,9472.5,9659.0,9860.0,10076.5,10310.0,10562.0,10835.0,11131.0,11411.5
Burundi,Energy,277.0,277.0,328.6,380.2,431.8,483.4,535.0,592.3,649.6,706.9,764.2,821.5,880.9,940.3,999.7,1059.1,1118.5
Cameroon,Energy,4031.5,4217.0,4421.5,4640.5,4871.5,5111.0,5357.0,5625.0,5910.5,6210.0,6520.5,6839.0,7180.5,7540.0,7914.5,8300.5,8695.0
CAR,Energy,115.5,121.5,129.5,137.5,145.5,156.0,167.0,185.0,203.0,221.0,239.0,256.0,270.0,284.0,298.0,317.0,336.5
Chad,Energy,154.0,161.5,169.0,176.0,183.5,191.0,198.0,205.5,213.0,220.5,228.0,236.0,244.0,251.5,260.0,268.0,276.5
Congo,Energy,1448.5,1499.0,1549.5,1600.0,1650.5,1701.5,1753.0,1805.5,1858.0,1912.0,1966.0,2021.5,2077.5,2134.5,2192.5,2251.0,2311.0
EquatorialGuinea,Energy,348.5,353.5,363.5,375.0,388.0,401.0,414.5,434.0,456.5,480.5,505.5,530.5,563.0,599.0,636.5,675.0,714.5
Gabon,Energy,1838.0,1894.5,1950.5,2006.0,2060.5,2115.0,2169.0,2223.0,2276.5,2330.5,2384.0,2437.5,2491.5,2545.5,2600.0,2654.5,2709.5
Rwanda,Energy,681.5,740.5,804.5,874.5,950.5,1032.5,1121.5,1223.0,1338.0,1467.5,1612.5,1774.0,1962.5,2180.0,2429.0,2713.0,3035.5
STP,Energy,65.5,69.5,73.5,78.0,82.0,86.0,90.0,94.0,98.0,102.0,106.0,110.0,114.0,117.5,121.5,125.5,129.5
DRC,Peak,492.0,511.5,531.0,552.0,574.0,596.5,620.5,645.0,671.0,698.0,726.0,755.5,786.0,818.0,851.5,886.0,922.5
DRC_South,Peak,1002.5,1021.0,1040.0,1059.5,1079.5,1100.0,1121.5,1143.5,1166.0,1189.0,1213.0,1237.5,1262.5,1288.5,1315.5,1343.5,1372.0
DRC,Energy,2976.5,3092.5,3213.0,3338.5,3470.0,3608.0,3751.5,3901.0,4057.5,4220.5,4390.5,4568.0,4753.5,4947.0,5149.0,5360.0,5579.5
DRC_South,Energy,6072.0,6183.5,6298.5,6416.5,6538.0,6663.0,6791.5,6923.5,7060.0,7200.0,7344.5,7493.5,7646.5,7804.5,7967.5,8135.0,8308.0
DRC_East,Peak,51.5,54.0,57.0,59.5,62.5,65.0,67.5,70.5,73.5,76.0,79.0,81.5,84.5,87.5,90.0,93.0,96.0
DRC_East,Energy,316.5,332.0,349.0,365.5,382.0,398.5,415.5,432.0,449.5,466.5,484.0,501.0,518.5,536.0,553.5,570.5,588.0
