From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
ALGERIA,MOROCCO,2031.0,2.0,500.0,1.0,30.0,
ALGERIA,TUNISIA,2031.0,2.0,500.0,1.0,30.0,
BAHRAIN,GCCIA,2031.0,2.0,500.0,1.0,30.0,
EGYPT,JORDAN,2031.0,2.0,500.0,1.0,30.0,
EGYPT,LIBYA,2031.0,2.0,500.0,1.0,30.0,
GCCIA,KSA,2031.0,2.0,500.0,1.0,30.0,
GCCIA,KUWAIT,2031.0,2.0,500.0,1.0,30.0,
GCCIA,QATAR,2031.0,2.0,500.0,1.0,30.0,
GCCIA,UAE,2031.0,2.0,500.0,1.0,30.0,
IRAQ,JORDAN,2031.0,2.0,500.0,1.0,30.0,
IRAQ,KSA,2031.0,2.0,500.0,1.0,30.0,
IRAQ,KUWAIT,2031.0,2.0,500.0,1.0,30.0,
IRAQ,SYRIA,2031.0,2.0,500.0,1.0,30.0,
JORDAN,KSA,2031.0,2.0,500.0,1.0,30.0,
JORDAN,PALESTINE,2031.0,2.0,500.0,1.0,30.0,
JORDAN,SYRIA,2031.0,2.0,500.0,1.0,30.0,
KSA,YEMEN,2031.0,2.0,500.0,1.0,30.0,
KUWAIT,KSA,2031.0,2.0,500.0,1.0,30.0,
LEBANON,SYRIA,2031.0,2.0,500.0,1.0,30.0,
LIBYA,TUNISIA,2031.0,2.0,500.0,1.0,30.0,
OMAN,KSA,2031.0,2.0,500.0,1.0,30.0,
OMAN,UAE,2031.0,2.0,500.0,1.0,30.0,
