g,z,book,deca_plant,method,note
KAPCHAGAY_HY_2031,KAZ_S,KZ,HPP Kapshagayskaya,deca_profile,"Same capacity, 364 MW."
UZB_HY_2031,UZB,,,keep_2020,"No usable counterpart in DeCA: the country profile is a single national average, which would say less than the 2020 value."
ANDIJAN-1_HY_2031,UZB,UZ,Andijan HPP,deca_level,"Same capacity, 140 MW."
BAIPAZA_HY_2031,TAJ_S,TJ,Baypazinskaya HPP,deca_level,"Same capacity, 600 MW."
CHARVAK_HY_2031,UZB,UZ,Chavark HPP,deca_level,Charvak. The 2020 model allows 1.75 times the DeCA energy. Levelled down to 2000 GWh over 666 MW.
GAZALKENT_HY_2031,UZB,UZ,Gazalkent HP,deca_level,"Chirchik cascade, same capacity, 120 MW."
KAMBARATA-2_HY_2031,KGZ_N,KG,Kambarata 2,keep_2020,"DeCA gives 1148 GWh against 120 MW, that is 1.09, above one: the yearly production is that of the full three-unit project, 360 MW. Level unusable."
KAMBARATA-2_HY_NEW_2031,KGZ_N,KG,Kambarata 2,keep_2020,Second unit of the same project. Same reason.
KHODZHIKENT_HY_2031,UZB,UZ,Hodjikent HP,deca_level,"Chirchik cascade, same capacity, 165 MW."
KURPSAI_HY_2031,KGZ_S,KG,Kurpsay HPP,deca_level,"Lower Naryn cascade, same capacity, 800 MW."
MOYNAK_HY_2031,KAZ_S,KZ,HPP Moynakskaya,deca_profile,"Same capacity, 300 MW."
SANGTUDA-1_HY_2031,TAJ_S,TJ,Sangtuda-1 HPP,deca_level,"Same capacity, 670 MW."
SANGTUDA-2_HY_2031,TAJ_S,TJ,Sangtuda-2 HPP,deca_level,220 MW in DeCA against 225 MW here.
SHAMALDYSAI_HY_2031,KGZ_S,KG,Shamaldy HPP,deca_level,"Lower Naryn cascade, same capacity, 240 MW."
SHARDARINSKYA_HY_2031,KAZ_S,KZ,HPP Shardaryinskaya,keep_2020,"DeCA carries 50 MW against 126 MW here and no monthly profile, being a storage plant. Its yearly production over its own capacity gives 1.58, above one, so the level cannot be used. Capacity to be settled in phase 5."
SHULBINSKAYA_HY_2031,KAZ_N,KZ,HPP AES Shulbinskaya,deca_profile,"Same capacity, 702 MW. DeCA gives a plant-specific monthly profile whose annual mean, 0.33, matches its own yearly production, 1900 GWh."
TASH-KUMYR_HY_2031,KGZ_S,KG,TashKum HPP,deca_level,"Lower Naryn cascade, same capacity, 450 MW."
TOKTOGUL_HY_2031,KGZ_S,KG,Toktogul HPP,deca_level,"The 2020 model allows 1.64 times the energy DeCA gives to Toktogul. The winter-heavy shape is kept, the level is brought back to 4100 GWh over 1440 MW."
TYUYAMUYUNSKAYA_HY_2031,UZB,UZ,Tuyamuyun,deca_level,150 MW in DeCA against 156 MW here.
UST-KAMENOGORSK _HPP_HY_2031,KAZ_N,KZ,HPP AES Ust-Kamenogorskaya,deca_profile,"DeCA carries 373 MW against 325 MW here, a fleet question for phase 5. The monthly profile is plant-specific and internally consistent."
ALLAI _KHWAR_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
PAK_N_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
PAK_N_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
CHASHMA_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
DASU _DHP-1_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
DIAMER _BASHA_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
DUBER _KHWAR_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
GHAZI-BAROTHA_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
GULPUR_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
KAJAKI I_HY,NEPS_AFG,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
MANGLA_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
PATRIND_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
TARBELA_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
WARSAK_HY_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
TARBELA-V_HY_NEW_2031,PAK_N,,,keep_2020,"Outside the DeCA perimeter, which covers the five Central Asian countries only. Pakistan needs the NTDC IGCEP, Afghanistan the DABS fleet."
