zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,54.976,84.980,63.765,129.198,139.234,157.638,181.007,176.163,149.232,141.567,145.128,144.978,143.657,150.123,158.884,175.854,206.101,227.972,212.417,182.244,174.167,141.567,141.567,141.155
Bulgaria,Q1,d1,2025,61.234,94.525,70.986,143.587,154.721,175.141,201.070,195.695,165.815,157.310,161.261,161.095,159.629,166.802,176.523,195.352,228.912,253.178,235.919,202.442,193.480,157.310,157.310,156.853
Bulgaria,Q1,d1,2026,2.216,38.793,12.931,92.698,104.932,127.367,155.856,149.950,117.121,107.776,112.117,111.934,110.324,118.206,128.886,149.573,186.447,213.108,194.146,157.364,147.517,107.776,107.776,107.274
Bulgaria,Q1,d1,2027,1.017,40.880,12.694,99.628,112.961,137.412,168.460,162.024,126.245,116.061,120.792,120.593,118.837,127.427,139.067,161.613,201.800,230.856,210.190,170.104,159.372,116.061,116.061,115.513
Bulgaria,Q1,d1,2028,0.010,42.967,12.458,106.559,120.992,147.458,181.067,174.100,135.370,124.347,129.468,129.252,127.352,136.651,149.250,173.655,217.155,248.607,226.237,182.845,171.229,124.347,124.347,123.754
Bulgaria,Q1,d1,2029,0.010,45.054,12.221,113.489,129.021,157.503,193.671,186.173,144.494,132.632,138.143,137.911,135.866,145.872,159.432,185.695,232.508,266.355,242.282,195.585,183.084,132.632,132.632,131.994
Bulgaria,Q1,d1,2030,0.010,47.141,11.984,120.419,137.050,167.548,206.275,198.247,153.619,140.917,146.817,146.569,144.379,155.094,169.613,197.735,247.861,284.104,258.327,208.325,194.940,140.917,140.917,140.233
Bulgaria,Q1,d1,2031,0.010,44.323,9.166,117.601,134.232,164.730,203.457,195.429,150.801,138.098,143.999,143.751,141.561,152.276,166.795,194.917,245.042,281.286,255.508,205.507,192.122,138.098,138.098,137.415
Bulgaria,Q1,d1,2032,0.010,41.505,6.348,114.783,131.414,161.912,200.639,192.611,147.983,135.280,141.181,140.933,138.743,149.458,163.977,192.099,242.225,278.468,252.690,202.689,189.304,135.280,135.280,134.597
Bulgaria,Q1,d1,2033,0.010,38.687,3.530,111.965,128.596,159.094,197.821,189.793,145.165,132.462,138.363,138.115,135.925,146.640,161.159,189.281,239.406,275.649,249.872,199.871,186.486,132.462,132.462,131.779
Bulgaria,Q1,d1,2034,0.010,35.868,0.712,109.147,125.778,156.275,195.003,186.975,142.347,129.644,135.545,135.297,133.107,143.822,158.341,186.463,236.588,272.832,247.054,197.053,183.667,129.644,129.644,128.961
Bulgaria,Q1,d1,2035,0.010,33.050,0.010,106.329,122.960,153.458,192.185,184.157,139.529,126.826,132.727,132.479,130.289,141.004,155.523,183.645,233.770,270.014,244.236,194.235,180.850,126.826,126.826,126.143
Bulgaria,Q1,d1,2036,0.010,30.232,0.010,103.511,120.142,150.639,189.367,181.339,136.710,124.008,129.909,129.661,127.471,138.186,152.705,180.827,230.952,267.195,241.418,191.417,178.031,124.008,124.008,123.325
Bulgaria,Q1,d1,2037,0.010,27.414,0.010,100.693,117.324,147.821,186.549,178.521,133.893,121.190,127.091,126.843,124.653,135.368,149.887,178.009,228.134,264.377,238.600,188.599,175.213,121.190,121.190,120.507
Bulgaria,Q1,d1,2038,0.010,24.596,0.010,97.875,114.506,145.003,183.731,175.703,131.074,118.372,124.273,124.025,121.835,132.550,147.069,175.190,225.316,261.559,235.782,185.781,172.395,118.372,118.372,117.689
Bulgaria,Q1,d1,2039,0.010,21.778,0.010,95.057,111.688,142.185,180.913,172.885,128.256,115.554,121.455,121.207,119.017,129.732,144.251,172.373,222.498,258.741,232.964,182.963,169.577,115.554,115.554,114.871
Bulgaria,Q1,d1,2040,0.010,18.960,0.010,92.239,108.870,139.367,178.095,170.067,125.438,112.736,118.637,118.388,116.199,126.914,141.433,169.554,219.680,255.923,230.146,180.145,166.759,112.736,112.736,112.053
Bulgaria,Q1,d1,2041,0.010,17.199,0.010,90.477,107.108,137.606,176.334,168.306,123.677,110.975,116.876,116.627,114.438,125.152,139.671,167.793,217.919,254.162,228.385,178.383,164.998,110.975,110.975,110.292
Bulgaria,Q1,d1,2042,0.010,15.438,0.010,88.716,105.347,135.845,174.572,166.544,121.916,109.214,115.115,114.866,112.676,123.391,137.910,166.032,216.158,252.401,226.624,176.622,163.237,109.214,109.214,108.530
Bulgaria,Q1,d1,2043,0.010,13.677,0.010,86.955,103.586,134.083,172.811,164.783,120.155,107.452,113.353,113.105,110.915,121.630,136.149,164.271,214.396,250.639,224.862,174.861,161.476,107.452,107.452,106.769
Bulgaria,Q1,d1,2044,0.010,11.915,0.010,85.194,101.824,132.322,171.050,163.022,118.393,105.691,111.592,111.343,109.154,119.869,134.387,162.509,212.635,248.878,223.101,173.100,159.714,105.691,105.691,105.008
Bulgaria,Q1,d1,2045,0.010,10.154,0.010,83.432,100.063,130.561,169.289,161.261,116.632,103.930,109.831,109.582,107.393,118.107,132.626,160.748,210.874,247.117,221.340,171.338,157.953,103.930,103.930,103.246
