zext,q,daytype,y,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Seepex,m1,d1,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d2,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d3,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d4,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d5,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d6,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m1,d7,2025,112,112,112,112,112,112,147,147,147,154,154,154,154,154,154,154,154,189,189,189,189,154,154,126
Seepex,m2,d1,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d2,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d3,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d4,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d5,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d6,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m2,d7,2025,108,108,108,108,108,108,142,142,142,149,149,149,149,149,149,149,149,182,182,182,182,149,149,122
Seepex,m3,d1,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d2,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d3,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d4,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d5,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d6,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m3,d7,2025,92,92,92,92,92,92,121,121,121,127,127,127,127,127,127,127,127,155,155,155,155,127,127,104
Seepex,m4,d1,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d2,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d3,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d4,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d5,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d6,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m4,d7,2025,76,76,76,76,76,76,100,100,100,105,105,105,105,105,105,105,105,128,128,128,128,105,105,86
Seepex,m5,d1,2025,68,68,68,68,68,68,89,89,89,94,94,94,94,94,94,94,94,115,115,115,115,94,94,77
Seepex,m5,d2,2025,68,68,68,68,68,68,89,89,89,94,94,94,94,94,94,94,94,115,115,115,115,94,94,77
Seepex,m5,d3,2025,68,68,68,68,68,68,89,89,89,94,94,94,94,94,94,94,94,115,115,115,115,94,94,77
