Internal zone,External zone,Seasons,Import-Export,2026,2028,2030,2032,2035,2040
Senegal,Gambia,q1,Import,150.0,150.0,150.0,150.0,150.0,150.0
Senegal,Guinea,q1,Import,120.0,120.0,120.0,120.0,120.0,120.0
Senegal,GuineaBissau,q1,Import,20.0,20.0,20.0,20.0,20.0,20.0
Senegal,Mali,q1,Import,150.0,150.0,150.0,150.0,150.0,150.0
Senegal,Mauritania_grid,q1,Import,80.0,80.0,80.0,80.0,80.0,80.0
Senegal,Gambia,q1,Export,150.0,150.0,150.0,150.0,150.0,150.0
Senegal,Guinea,q1,Export,120.0,120.0,120.0,120.0,120.0,120.0
Senegal,GuineaBissau,q1,Export,20.0,20.0,20.0,20.0,20.0,20.0
Senegal,Mali,q1,Export,150.0,150.0,150.0,150.0,150.0,150.0
Senegal,Mauritania_grid,q1,Export,80.0,80.0,80.0,80.0,80.0,80.0
