year,value
2028,58.0
2029,64.0
2030,70.0
2031,70.5
2032,71.0
2033,71.5
2034,72.0
2035,72.5
2036,72.89999999999999
2037,73.3
2038,73.69999999999999
2039,74.1
2040,74.5
2041,74.95
2042,75.4
2043,75.85
2044,76.3
2045,76.75
