,1,2,3,4,5,6,7,8,9,10,11,12
Amaria_IPP,0.65,0.62,0.6,0.59,0.62,0.64,0.83,0.98,0.99,0.98,0.68,0.66
Balassa,0.46,0.45,0.4,0.39,0.43,0.44,0.62,0.62,0.67,0.62,0.5,0.46
Banéah,0.27,0.3,0.27,0.28,0.22,0.19,0.24,0.24,0.28,0.24,0.25,0.27
Bonkon_Diaria,0.22,0.21,0.19,0.2,0.22,0.3,0.38,0.56,0.56,0.56,0.3,0.28
Boureya,0.74,0.72,0.71,0.71,0.74,0.93,0.58,0.58,0.58,0.58,0.58,0.9
Diaoya,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diaraguela,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Digan,0.23,0.21,0.2,0.21,0.23,0.3,0.56,0.79,0.79,0.79,0.4,0.3
Donkea,0.72,0.69,0.72,0.74,0.54,0.56,0.63,0.72,0.74,0.72,0.65,0.72
Fello,0.51,0.47,0.45,0.44,0.45,0.4,0.6,0.6,0.57,0.55,0.57,0.19
Fetore,0.17,0.16,0.15,0.15,0.16,0.21,0.4,0.57,0.57,0.57,0.29,0.22
Fomi_IPP,0.22,0.15,0.12,0.11,0.18,0.43,0.93,0.93,0.93,0.93,0.93,0.42
G-Energie_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Garafiri,0.47,0.44,0.38,0.33,0.3,0.3,0.29,0.34,0.46,0.52,0.52,0.52
Gozoguézia,0.57,0.58,0.57,0.57,0.65,0.87,0.87,0.87,0.87,0.87,0.75,0.77
GrandesChutes1,0.45,0.5,0.45,0.46,0.45,0.72,0.7,0.65,0.72,0.7,0.67,0.45
GrandesChutes2,0.45,0.5,0.45,0.46,0.45,0.72,0.7,0.65,0.72,0.7,0.67,0.45
GrandKinkon,0.36,0.33,0.28,0.28,0.28,0.41,0.27,0.27,0.27,0.27,0.27,0.43
GT_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HFO_NEW_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HYD_CAND_GUI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaba,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaleta_IPP,0.55,0.51,0.49,0.48,0.49,0.57,0.66,0.83,0.83,0.83,0.58,0.34
Kaloum1_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum2_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum3,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kaloum5,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Karpowership_GU,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kéno,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kinkon,0.448028674,0,0,0,0,0.925925926,0.896057348,0.896057348,0.925925926,0.896057348,0.925925926,0.896057348
Kipé_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Kogbedou_Franko,0.59,0.47,0.47,0.46,0.57,0.8,0.92,0.92,0.93,0.92,0.69,0.75
Koukoutamba_IPP,0.11,0.08,0.08,0.08,0.11,0.15,0.39,0.78,0.91,0.68,0.29,0.12
Kouravel_IPP,0.23,0.22,0.23,0.23,0.23,0.26,0.42,0.56,0.56,0.56,0.32,0.27
Lafou,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Morisakano,0.74,0.64,0.62,0.61,0.6,0.92,0.81,0.91,0.92,0.91,0.92,0.89
Nzébéla,0.35,0.28,0.3,0.31,0.35,0.46,0.7,0.95,0.93,0.95,0.51,0.45
OFSHORE_WIND_GUI,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Poudaldé,0.63,0.51,0.46,0.42,0.4,0.51,0.7,0.81,0.8,0.81,0.73,0.42
PV_CAND_2024_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
PV_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Sambangalou_GUI_IPP,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Souapiti_IPP,0.61,0.6,0.58,0.57,0.59,0.69,0.57,0.57,0.57,0.61,0.6,0.71
Storage_CAND_2027_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
Storage_CAND_2030_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
TeneI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Tinkisso,0.81,0.5,0,0,0,0.93,0.9,0.9,0.93,0.9,0.93,0.9
Tiopo,0.92,0.92,0.92,0.85,0.82,0.93,0.87,0.92,0.93,0.92,0.93,0.52
WIND_CAND_GUI,1,1,1,1,1,1,1,1,1,1,1,1
