,1,2,3,4,5,6,7,8,9,10,11,12
Amaria_IPP,0.324020737,0.310905612,0.297619048,0.29265873,0.309619816,0.319940476,0.415226575,0.49203149,0.493551587,0.49203149,0.342261905,0.328821045
Balassa,0.228494624,0.223214286,0.201612903,0.194444444,0.215053763,0.222222222,0.309139785,0.309139785,0.333333333,0.309139785,0.25,0.228494624
Banéah,0.134408602,0.148809524,0.134408602,0.138888889,0.107526882,0.097222222,0.120967742,0.120967742,0.138888889,0.120967742,0.125,0.134408602
Bonkon_Diaria,0.112007168,0.102627258,0.096557904,0.099776501,0.112007168,0.151660281,0.189253492,0.281949079,0.279374202,0.281949079,0.147669221,0.139043382
Boureya,0.369623656,0.358072917,0.352822581,0.355902778,0.369623656,0.464409722,0.289818548,0.289818548,0.290798611,0.289818548,0.290798611,0.449428763
Diaoya,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Diaraguela,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Digan,0.115620303,0.104006656,0.101167765,0.104540024,0.115620303,0.149342891,0.281824488,0.397444791,0.395758662,0.397444791,0.201612903,0.151751648
Donkea,0.358422939,0.347222222,0.358422939,0.37037037,0.268817204,0.277777778,0.313620072,0.358422939,0.37037037,0.358422939,0.324074074,0.358422939
Fello,0.256016385,0.236205593,0.224014337,0.220458554,0.224014337,0.198412698,0.298685783,0.298685783,0.28659612,0.277351084,0.28659612,0.096006144
Fetore,0.086715227,0.078004992,0.075875824,0.072804659,0.081295525,0.10640681,0.200528963,0.28724419,0.28561828,0.28724419,0.145609319,0.108394034
Fomi_IPP,0.112007168,0.074404762,0.059737157,0.054012346,0.089605735,0.216049383,0.462962963,0.462962963,0.462962963,0.462962963,0.462962963,0.209080048
G-Energie_IPP,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Garafiri,0.23297491,0.218253968,0.188172043,0.166666667,0.152329749,0.148148148,0.143369176,0.170250896,0.231481481,0.259856631,0.259259259,0.259856631
Gozoguézia,0.286240542,0.289351852,0.286240542,0.282921811,0.323576264,0.437242798,0.435583433,0.435583433,0.437242798,0.435583433,0.372942387,0.385802469
GrandesChutes1,0.224014337,0.248015873,0.224014337,0.231481481,0.224014337,0.360082305,0.348466746,0.323576264,0.360082305,0.348466746,0.33436214,0.224014337
GrandesChutes2,0.224014337,0.248015873,0.224014337,0.231481481,0.224014337,0.360082305,0.348466746,0.323576264,0.360082305,0.348466746,0.33436214,0.224014337
GrandKinkon,0.178439006,0.164203612,0.141360771,0.141283525,0.141360771,0.203544061,0.134408602,0.134408602,0.134099617,0.134408602,0.134099617,0.213199852
GT_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HFO_NEW_Guinea,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
HYD_CAND_GUI,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Kaba,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
