c,z,y,uni,value
AFG,NEPS_AFG,2026,Demand: GWh,6995.100000000003
AFG,NEPS_AFG,2026,Exports exchange: GWh,3174.4870568173383
AFG,NEPS_AFG,2026,Imports exchange: GWh,4432.693240996208
AFG,NEPS_AFG,2026,Net interchange Ratio: GWh,0.1798696493515274
AFG,NEPS_AFG,2026,Net interchange: GWh,1258.20618417887
AFG,NEPS_AFG,2026,Total Demand: GWh,6995.100000000003
AFG,NEPS_AFG,2026,Total production: GWh,5737.121998384662
AFG,NEPS_AFG,2027,Demand: GWh,7411.600000000006
AFG,NEPS_AFG,2027,Exports exchange: GWh,4083.2470850254745
AFG,NEPS_AFG,2027,Imports exchange: GWh,2890.445202985807
AFG,NEPS_AFG,2027,Net interchange Ratio: GWh,-0.1609371636407343
AFG,NEPS_AFG,2027,Net interchange: GWh,-1192.8018820396674
AFG,NEPS_AFG,2027,Total Demand: GWh,7411.600000000006
AFG,NEPS_AFG,2027,Total production: GWh,8604.405283205711
AFG,NEPS_AFG,2028,Demand: GWh,7939.999999999998
AFG,NEPS_AFG,2028,Exports exchange: GWh,4425.108219291766
AFG,NEPS_AFG,2028,Imports exchange: GWh,3463.852862951596
AFG,NEPS_AFG,2028,Net interchange Ratio: GWh,-0.1210649063400717
AFG,NEPS_AFG,2028,Net interchange: GWh,-961.2553563401698
AFG,NEPS_AFG,2028,Total Demand: GWh,7939.999999999998
AFG,NEPS_AFG,2028,Total production: GWh,8903.656997297152
AFG,NEPS_AFG,2029,Demand: GWh,8384.6
AFG,NEPS_AFG,2029,Exports exchange: GWh,4299.175842249276
AFG,NEPS_AFG,2029,Imports exchange: GWh,2800.2134637880804
AFG,NEPS_AFG,2029,Net interchange Ratio: GWh,-0.1787756575699729
AFG,NEPS_AFG,2029,Net interchange: GWh,-1498.9623784611954
AFG,NEPS_AFG,2029,Total Demand: GWh,8384.6
AFG,NEPS_AFG,2029,Total production: GWh,9884.336590663155
AFG,NEPS_AFG,2030,Demand: GWh,8720.100000000011
AFG,NEPS_AFG,2030,Exports exchange: GWh,4976.754778766378
AFG,NEPS_AFG,2030,Imports exchange: GWh,2059.9833882680728
AFG,NEPS_AFG,2030,Net interchange Ratio: GWh,-0.3344882960629237
AFG,NEPS_AFG,2030,Net interchange: GWh,-2916.771390498305
AFG,NEPS_AFG,2030,Total Demand: GWh,8720.100000000011
AFG,NEPS_AFG,2030,Total production: GWh,11639.265159775863
AFG,NEPS_AFG,2031,Demand: GWh,9202.3
AFG,NEPS_AFG,2031,Exports exchange: GWh,6002.673776790042
AFG,NEPS_AFG,2031,Imports exchange: GWh,2545.3662874160163
AFG,NEPS_AFG,2031,Net interchange Ratio: GWh,-0.3757003672314558
AFG,NEPS_AFG,2031,Net interchange: GWh,-3457.307489374026
AFG,NEPS_AFG,2031,Total Demand: GWh,9202.3
AFG,NEPS_AFG,2031,Total production: GWh,12659.607489374015
AFG,NEPS_AFG,2032,Demand: GWh,9711.299999999996
AFG,NEPS_AFG,2032,Exports exchange: GWh,6002.442297526814
AFG,NEPS_AFG,2032,Imports exchange: GWh,2289.3410532247967
AFG,NEPS_AFG,2032,Net interchange Ratio: GWh,-0.3823485263869944
AFG,NEPS_AFG,2032,Net interchange: GWh,-3713.1012443020177
AFG,NEPS_AFG,2032,Total Demand: GWh,9711.299999999996
AFG,NEPS_AFG,2032,Total production: GWh,13424.401244301996
AFG,NEPS_AFG,2033,Demand: GWh,10248.299999999972
AFG,NEPS_AFG,2033,Exports exchange: GWh,6125.529244829502
AFG,NEPS_AFG,2033,Imports exchange: GWh,2293.2112353640728
AFG,NEPS_AFG,2033,Net interchange Ratio: GWh,-0.3739467042792892
AFG,NEPS_AFG,2033,Net interchange: GWh,-3832.318009465429
AFG,NEPS_AFG,2033,Total Demand: GWh,10248.299999999972
AFG,NEPS_AFG,2033,Total production: GWh,14080.618009465414
AFG,NEPS_AFG,2034,Demand: GWh,10815.10000000001
AFG,NEPS_AFG,2034,Exports exchange: GWh,6013.445043964927
AFG,NEPS_AFG,2034,Imports exchange: GWh,2220.65253987638
AFG,NEPS_AFG,2034,Net interchange Ratio: GWh,-0.350694168716752
AFG,NEPS_AFG,2034,Net interchange: GWh,-3792.792504088548
AFG,NEPS_AFG,2034,Total Demand: GWh,10815.10000000001
AFG,NEPS_AFG,2034,Total production: GWh,14607.892504088552
AFG,NEPS_AFG,2035,Demand: GWh,11413.299999999985
AFG,NEPS_AFG,2035,Exports exchange: GWh,6738.95793898382
AFG,NEPS_AFG,2035,Imports exchange: GWh,1421.9629021798555
AFG,NEPS_AFG,2035,Net interchange Ratio: GWh,-0.4658595705715238
AFG,NEPS_AFG,2035,Net interchange: GWh,-5316.9950368039645
AFG,NEPS_AFG,2035,Total Demand: GWh,11413.299999999985
AFG,NEPS_AFG,2035,Total production: GWh,16730.295036803956
AFG,NEPS_AFG,2040,Demand: GWh,14938.299999999996
AFG,NEPS_AFG,2040,Exports exchange: GWh,7603.107480896614
AFG,NEPS_AFG,2040,Imports exchange: GWh,1509.1349475231043
AFG,NEPS_AFG,2040,Net interchange Ratio: GWh,-0.4079428404419185
AFG,NEPS_AFG,2040,Net interchange: GWh,-6093.97253337351
AFG,NEPS_AFG,2040,Total Demand: GWh,14938.299999999996
AFG,NEPS_AFG,2040,Total production: GWh,21032.272533373507
AFG,NEPS_AFG,2045,Demand: GWh,19552.09999999997
AFG,NEPS_AFG,2045,Exports exchange: GWh,7242.623477543005
AFG,NEPS_AFG,2045,Imports exchange: GWh,1436.8346704148094
AFG,NEPS_AFG,2045,Net interchange Ratio: GWh,-0.2969393981786205
AFG,NEPS_AFG,2045,Net interchange: GWh,-5805.788807128196
AFG,NEPS_AFG,2045,Total Demand: GWh,19552.09999999997
AFG,NEPS_AFG,2045,Total production: GWh,25357.383658385406
AFG,NEPS_AFG,2045,Unmet demand: GWh,0.5051487427987713
AFG,NEPS_AFG,2050,Demand: GWh,25590.799999999992
AFG,NEPS_AFG,2050,Exports exchange: GWh,7264.609198340326
AFG,NEPS_AFG,2050,Imports exchange: GWh,1305.213647945175
AFG,NEPS_AFG,2050,Net interchange Ratio: GWh,-0.2328725772697669
AFG,NEPS_AFG,2050,Net interchange: GWh,-5959.395550395151
AFG,NEPS_AFG,2050,Total Demand: GWh,25590.799999999992
AFG,NEPS_AFG,2050,Total production: GWh,31542.442689140684
AFG,NEPS_AFG,2050,Unmet demand: GWh,7.752861254453206
AFG,NEPS_HERAT,2026,Demand: GWh,1839.1
AFG,NEPS_HERAT,2026,Exports exchange: GWh,1.0199999999999996e-09
AFG,NEPS_HERAT,2026,Imports exchange: GWh,4.508000000000012e-09
AFG,NEPS_HERAT,2026,Net interchange Ratio: GWh,1.8965798488391133e-12
AFG,NEPS_HERAT,2026,Net interchange: GWh,3.488000000000012e-09
AFG,NEPS_HERAT,2026,Total Demand: GWh,1839.1
AFG,NEPS_HERAT,2026,Total production: GWh,1839.099999996536
AFG,NEPS_HERAT,2027,Demand: GWh,1949.9000000000035
AFG,NEPS_HERAT,2027,Exports exchange: GWh,2.040000000000001e-09
AFG,NEPS_HERAT,2027,Imports exchange: GWh,4.508000000000012e-09
AFG,NEPS_HERAT,2027,Net interchange Ratio: GWh,1.265705933637626e-12
AFG,NEPS_HERAT,2027,Net interchange: GWh,2.4680000000000113e-09
AFG,NEPS_HERAT,2027,Total Demand: GWh,1949.9000000000035
AFG,NEPS_HERAT,2027,Total production: GWh,1949.8999999975583
AFG,NEPS_HERAT,2028,Demand: GWh,2067.0
AFG,NEPS_HERAT,2028,Exports exchange: GWh,2.040000000000001e-09
AFG,NEPS_HERAT,2028,Imports exchange: GWh,6.1600000000000035e-09
AFG,NEPS_HERAT,2028,Net interchange Ratio: GWh,1.993226898887278e-12
AFG,NEPS_HERAT,2028,Net interchange: GWh,4.120000000000003e-09
AFG,NEPS_HERAT,2028,Total Demand: GWh,2067.0
AFG,NEPS_HERAT,2028,Total production: GWh,2066.999999995912
AFG,NEPS_HERAT,2029,Demand: GWh,2190.5999999999945
AFG,NEPS_HERAT,2029,Exports exchange: GWh,2.046000000000001e-09
AFG,NEPS_HERAT,2029,Imports exchange: GWh,6.213000000000004e-09
AFG,NEPS_HERAT,2029,Net interchange Ratio: GWh,1.902218570254731e-12
AFG,NEPS_HERAT,2029,Net interchange: GWh,4.167000000000003e-09
AFG,NEPS_HERAT,2029,Total Demand: GWh,2190.5999999999945
AFG,NEPS_HERAT,2029,Total production: GWh,2190.5999999958576
AFG,NEPS_HERAT,2030,Demand: GWh,2321.2000000000044
AFG,NEPS_HERAT,2030,Exports exchange: GWh,673.208156934082
AFG,NEPS_HERAT,2030,Imports exchange: GWh,110.5987315346562
AFG,NEPS_HERAT,2030,Net interchange Ratio: GWh,-0.2423786943819683
AFG,NEPS_HERAT,2030,Net interchange: GWh,-562.6094253994258
AFG,NEPS_HERAT,2030,Total Demand: GWh,2321.2000000000044
AFG,NEPS_HERAT,2030,Total production: GWh,2884.362419057099
AFG,NEPS_HERAT,2031,Demand: GWh,2461.2000000000094
AFG,NEPS_HERAT,2031,Exports exchange: GWh,692.045848805116
AFG,NEPS_HERAT,2031,Imports exchange: GWh,310.53552880489485
AFG,NEPS_HERAT,2031,Net interchange Ratio: GWh,-0.155009881358776
AFG,NEPS_HERAT,2031,Net interchange: GWh,-381.5103200002211
AFG,NEPS_HERAT,2031,Total Demand: GWh,2461.2000000000094
AFG,NEPS_HERAT,2031,Total production: GWh,2842.710320000222
AFG,NEPS_HERAT,2032,Demand: GWh,2609.700000000004
AFG,NEPS_HERAT,2032,Exports exchange: GWh,206.3086916350291
AFG,NEPS_HERAT,2032,Imports exchange: GWh,547.0893187110805
AFG,NEPS_HERAT,2032,Net interchange Ratio: GWh,0.1305822995271682
AFG,NEPS_HERAT,2032,Net interchange: GWh,340.7806270760514
AFG,NEPS_HERAT,2032,Total Demand: GWh,2609.700000000004
AFG,NEPS_HERAT,2032,Total production: GWh,2268.919372923946
AFG,NEPS_HERAT,2033,Demand: GWh,2767.1000000000013
AFG,NEPS_HERAT,2033,Exports exchange: GWh,233.06843050042264
AFG,NEPS_HERAT,2033,Imports exchange: GWh,649.731221370898
AFG,NEPS_HERAT,2033,Net interchange Ratio: GWh,0.1505774243325051
AFG,NEPS_HERAT,2033,Net interchange: GWh,416.6627908704753
AFG,NEPS_HERAT,2033,Total Demand: GWh,2767.1000000000013
AFG,NEPS_HERAT,2033,Total production: GWh,2350.437209129524
AFG,NEPS_HERAT,2034,Demand: GWh,2934.000000000005
AFG,NEPS_HERAT,2034,Exports exchange: GWh,473.0430702368078
AFG,NEPS_HERAT,2034,Imports exchange: GWh,486.3971048963559
AFG,NEPS_HERAT,2034,Net interchange Ratio: GWh,0.0045514773890756
AFG,NEPS_HERAT,2034,Net interchange: GWh,13.35403465954812
AFG,NEPS_HERAT,2034,Total Demand: GWh,2934.000000000005
AFG,NEPS_HERAT,2034,Total production: GWh,2920.6459653404563
AFG,NEPS_HERAT,2035,Demand: GWh,3111.1000000000017
AFG,NEPS_HERAT,2035,Exports exchange: GWh,496.3264438355961
AFG,NEPS_HERAT,2035,Imports exchange: GWh,557.4411156751246
AFG,NEPS_HERAT,2035,Net interchange Ratio: GWh,0.0196440718201049
AFG,NEPS_HERAT,2035,Net interchange: GWh,61.11467183952851
AFG,NEPS_HERAT,2035,Total Demand: GWh,3111.1000000000017
AFG,NEPS_HERAT,2035,Total production: GWh,3049.985328160472
AFG,NEPS_HERAT,2040,Demand: GWh,4169.800000000002
AFG,NEPS_HERAT,2040,Exports exchange: GWh,851.1230571906897
AFG,NEPS_HERAT,2040,Imports exchange: GWh,697.3466984133375
AFG,NEPS_HERAT,2040,Net interchange Ratio: GWh,-0.0368785934043244
AFG,NEPS_HERAT,2040,Net interchange: GWh,-153.77635877735213
AFG,NEPS_HERAT,2040,Total Demand: GWh,4169.800000000002
AFG,NEPS_HERAT,2040,Total production: GWh,4323.576358777351
AFG,NEPS_HERAT,2045,Demand: GWh,5588.8
AFG,NEPS_HERAT,2045,Exports exchange: GWh,386.50056525212057
AFG,NEPS_HERAT,2045,Imports exchange: GWh,896.6846082899733
AFG,NEPS_HERAT,2045,Net interchange Ratio: GWh,0.0912868671338843
AFG,NEPS_HERAT,2045,Net interchange: GWh,510.1840430378528
AFG,NEPS_HERAT,2045,Total Demand: GWh,5588.8
AFG,NEPS_HERAT,2045,Total production: GWh,5078.615956962142
AFG,NEPS_HERAT,2050,Demand: GWh,7490.600000000012
