gen,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
Kotu G5,0,0,0,0,0,0,0,0,0,0,0,0
Kotu G6,0,0,0,0,0,0,0,0,0,0,0,0
Kotu G7,0,0,0,0,0,0,,,,,0,0
Kotu G8,0,0,0,0,0,0,0,0,0,0,0,0
Brikama G1,,,,,,,,,,,,
Brikama G3,0,0,0,0,0,0,0,0,0,0,0,0
Brikama G4,0,0,0,0,0,0,0,0,0,0,0,0
Brikama G6,0,0,0,0,0,0,0,0,0,0,0,0
Brikama G7,0,0,0,0,0,0,0,0,0,0,0,0
Brikama II,,,,,,,,,,,,
Brikama III G1,,,,,,,,,,,,
Brikama III G2,,,,,,,,,,,,
Karpower 1,,,,,,,,,,,,
Karpower 2,,,,,,,,,,,,
Farafenni,0,0,0,0,0,0,0,0,0,0,0,0
Basse,0,0,0,0,0,0,0,0,0,0,0,0
Jambur PV,,,,,,,,,,,,
Jambur BESS,,,,,,,,,,,,
Import Guinea,0.648460152,0.678000726,0.654704643,0.719422513,0.765121314,0.83506679,0.768797925,0.720644105,0.741215989,0.848459572,1,0.770941204
Import Senegal,0.555186808,0.263264691,0.824994139,0.819361345,0.938163648,1,0.500116273,0.551358106,0.306592469,0.24058367,0.119717739,0.024798687
New ICE,,,,,,,,,,,,
New Solar,,,,,,,,,,,,
New BESS,,,,,,,,,,,,
